period,varset,model,target,rmse,vs_naive,mape,dir_acc,n
Post-Crisis (2024-07+),parsimonious,XGBoost,Level,366.539071928654,30.16645752983427,5.031212356044274,75.0,9
Post-Crisis (2024-07+),parsimonious,XGBoost,Diff→Level,1662.106092362104,490.2521140328601,24.679845566630874,44.44444444444444,9
Post-Crisis (2024-07+),parsimonious,BVAR,Level,253.43669298694587,-9.998799416919567,3.073503395552553,62.5,9
Post-Crisis (2024-07+),parsimonious,BVAR,Diff→Level,271.2599192504997,-3.6693617057576677,3.4067520426260405,55.55555555555556,9
Post-Crisis (2024-07+),parsimonious,Naive,Level,281.59256914911657,0.0,3.3649465204264093,71.42857142857143,8
Post-Crisis (2024-07+),bop,XGBoost,Level,364.4658313118192,29.43020208705058,4.232469964246312,62.5,9
Post-Crisis (2024-07+),bop,XGBoost,Diff→Level,398.9504507001163,41.67648383109612,5.240876611689119,55.55555555555556,9
Post-Crisis (2024-07+),bop,BVAR,Level,225.7448252460802,-19.83281876783557,3.0146997458988283,50.0,9
Post-Crisis (2024-07+),bop,BVAR,Diff→Level,691.8221102027318,145.68194831745694,10.8253348009201,66.66666666666666,9
Post-Crisis (2024-07+),bop,Naive,Level,281.59256914911657,0.0,3.3649465204264093,71.42857142857143,8
Post-Crisis (2024-07+),monetary,XGBoost,Level,264.0765029276662,5.772128301250512,3.234606183638565,71.42857142857143,8
Post-Crisis (2024-07+),monetary,XGBoost,Diff→Level,1139.7967985213447,356.5295733394985,16.790433962470306,25.0,8
Post-Crisis (2024-07+),monetary,BVAR,Level,265.0487962871453,6.161566728468149,3.1337398555804357,42.857142857142854,8
Post-Crisis (2024-07+),monetary,BVAR,Diff→Level,299.3115549507009,19.88503271328186,3.250774470590656,62.5,8
Post-Crisis (2024-07+),monetary,Naive,Level,249.66549049249306,0.0,2.8722734606216287,66.66666666666666,7
Post-Crisis (2024-07+),pca,XGBoost,Level,465.0370145393403,63.29683378226303,6.003741658042613,50.0,5
Post-Crisis (2024-07+),pca,XGBoost,Diff→Level,623.9153654222532,119.08665447304658,9.305536098142994,60.0,5
Post-Crisis (2024-07+),pca,BVAR,Level,179.9263327015436,-36.81922185630544,2.588031490756339,75.0,5
Post-Crisis (2024-07+),pca,BVAR,Diff→Level,607.9685356168287,113.48695652498111,8.14583265960695,60.0,5
Post-Crisis (2024-07+),pca,Naive,Level,284.7801783832576,0.0,3.3617451513991834,66.66666666666666,4
Post-Crisis (2024-07+),full,XGBoost,Level,245.74578713500415,-1.5699820386697705,3.011645106244999,57.14285714285714,8
Post-Crisis (2024-07+),full,XGBoost,Diff→Level,1205.9850960316244,383.0403647907783,18.563896367269862,37.5,8
Post-Crisis (2024-07+),full,BVAR,Level,309.073583894532,23.795076077534727,3.838455643062148,28.57142857142857,8
Post-Crisis (2024-07+),full,BVAR,Diff→Level,664.1530308778407,166.01715341905071,10.034994873990385,50.0,8
Post-Crisis (2024-07+),full,Naive,Level,249.66549049249306,0.0,2.8722734606216287,66.66666666666666,7
