model,bop,full,monetary,parsimonious,pca
ARIMA,2.790271017566681,29.13771362196238,47.45336411650021,2.8122305726216323,-14.31528369014109
BVAR,4.128191633574674,15.040764911200588,18.128734796413504,0.9027158503903898,28.417886684286707
DMA,33.537387604490945,40.40124841394868,13.784046434827491,462.72867933719226,61.9308340792647
DMS,38.32534386054838,75.8045218258586,606.4990179511466,597.785379425152,192.1002790456
LSTM,68.63011219767256,20.71453228563591,160.1472405578453,20.56244881193927,240.76879352745752
MS-VAR,8.823157800754222,58.91566035907705,9.77582660054579,8.463353742774826,33.026275105465295
MS-VECM,2192.625863919931,900.8175710205904,2472.028837235862,2149.3425084886703,2144.7916014895186
Naive,0.0,0.0,0.0,0.0,0.0
VAR,1.9237375761320452,28.40820581170682,15.073374944676976,4.122664387843722,16.177031840910438
VECM,2161.1913897109916,0.0,2423.774127015206,2147.856012338451,2158.8900116201144
XGBoost,-57.043931800567925,157.16484875912985,-59.68724394508005,-60.78248972583826,52.563870309343244
