variable,adf_p_value,adf_stationary,kpss_stationary,za_stationary,za_break_date,integration_order,effective_nobs
gross_reserves_usd_m,0.5488,False,False,False,2020-08-01,I(1) or higher - Non-stationary,252
net_usable_reserves_usd_m,0.416,False,False,False,2020-08-01,I(1) or higher - Non-stationary,252
exports_usd_m,0.0487,True,True,False,2010-06-01,I(0) - Stationary,224
imports_usd_m,0.0706,False,False,False,2010-11-01,I(1) or higher - Non-stationary,225
remittances_usd_m,0.2277,False,False,True,2021-01-01,I(1) or higher - Non-stationary,202
tourism_usd_m,0.5813,False,False,True,2019-12-01,I(1) or higher - Non-stationary,192
cse_net_usd_m,0.0715,False,False,False,2021-11-01,I(1) or higher - Non-stationary,166
usd_lkr,0.5106,False,False,True,2022-02-01,I(1) or higher - Non-stationary,252
m2_usd_m,0.0594,False,False,False,2020-04-01,I(1) or higher - Non-stationary,217
trade_balance_usd_m,0.0242,True,False,True,2010-11-01,I(0) - Trend-stationary,224
reserve_change_usd_m,0.0015,True,True,True,2020-08-01,I(0) - Stationary,251
