seed,rmse_test_h1,mae_test_h1,n_test
baseline,315.24487674590387,218.28169305684952,27
1,334.6368068177338,250.11321704182035,27
2,360.4119329474179,268.52061177596767,27
3,409.3456782679556,306.9599992661214,27
4,421.39591538709607,328.28140855471463,27
5,323.89237673947576,236.49714345303732,27
6,321.89337641373726,233.17795481472714,27
7,389.6115683293133,285.0496882714815,27
8,367.90182138648504,286.45571190471867,27
9,386.9545162975319,297.5565065434807,27
10,355.769099887673,250.33497750276024,27
11,321.95370809563997,224.82580904355953,27
12,350.72048348700287,254.46131885815265,27
13,380.237223980924,276.82108360398433,27
14,406.4394530147957,312.1020037660349,27
15,328.93058820080734,259.6613020863363,27
16,404.0494172418254,305.49452476826417,27
17,360.4092939121809,267.0364931681171,27
18,323.7156959417895,235.4823858527843,27
19,406.2290839032744,295.7195128204256,27
20,323.07120011928583,234.9204997399959,27
