forecast_date,actual,forecast__MS-VAR__parsimonious,forecast__MS-VAR__bop,forecast__XGBoost__parsimonious,forecast__XGBoost__bop
2023-01-01,2121.0,1931.8841437328424,1980.870614044208,2977.48828125,2729.37890625
2023-02-01,2219.0,1994.887207788612,2027.157304070198,2161.94775390625,2226.358642578125
2023-03-01,2694.0,2503.987181399885,2275.2583330367947,2063.621337890625,2042.8504638671875
2023-04-01,2761.0,2944.770925865507,2730.236986277427,2190.790283203125,2321.293701171875
2023-05-01,3491.0,2618.8837888616185,2607.9919318009984,1899.3800048828125,2179.42041015625
2023-06-01,3724.0,3785.700487378651,3686.683403858059,2632.61083984375,2527.737060546875
2023-07-01,3765.0,3468.6976673220724,3719.245618419511,2973.01904296875,2487.7529296875
2023-08-01,3600.0,3389.855338269561,3721.233519437111,3160.0205078125,2467.45849609375
2023-09-01,3540.0,3834.672047937253,3618.82622399192,2736.803466796875,2463.200439453125
2023-10-01,3569.0,3486.0775395409723,3482.8103320313976,2796.834716796875,2424.176513671875
2023-11-01,3571.0,3283.737618464526,3510.743650908254,2724.619140625,2168.424072265625
2023-12-01,4392.0,3768.839832406421,3606.6172946767447,2749.744140625,2422.278564453125
2024-01-01,4496.0,4103.475995308419,4386.067617944875,3642.603759765625,3022.059814453125
2024-02-01,4520.0,4517.032981097839,4385.093804948188,4302.4736328125,4221.01416015625
2024-03-01,4960.0,4775.806920794457,4607.069544599003,3988.506591796875,3963.11865234375
2024-04-01,5471.0,4883.668286663014,5085.3943309748565,4768.9609375,4244.15185546875
2024-05-01,5410.0,5227.00230047568,5431.32522228495,5473.51806640625,5384.91259765625
2024-06-01,5654.0,5584.678895918423,5557.905760555047,5265.5283203125,5638.087890625
2024-07-01,5652.0,5622.543217316138,5699.336028597858,5553.05908203125,5567.62255859375
2024-08-01,5959.0,5562.056439446242,5516.845490712213,5561.2490234375,5872.521484375
2024-09-01,5994.0,6053.145883411306,6113.2693317286,5845.6826171875,5978.24169921875
2024-10-01,6472.0,5893.672063187359,5929.4199788474325,5749.7880859375,6319.97265625
2024-11-01,6451.0,6457.652066966282,6609.124526450815,6478.92626953125,6915.99267578125
2024-12-01,6122.0,6566.604014831673,6303.750573685237,6251.03271484375,6639.1435546875
2025-01-01,6065.0,6059.057480425453,6048.732795156005,6018.18408203125,6570.92236328125
2025-02-01,6086.0,6150.823343441617,6053.74403587781,6238.3330078125,6065.2626953125
2025-03-01,6531.0,6292.411344001824,6157.370884902531,6390.9716796875,5991.0361328125
