date,portfolio_equity,portfolio_debt,reserve_assets,total_liabilities
2012-12-01,471.80012596053564,4289.83177259816,6301.163155947195,
2013-12-01,536.8734557343763,3213.749361987871,6522.110714202256,
2014-03-01,553.7334548445032,3570.4032415369693,7079.30173631473,
2014-06-01,570.8017872879634,3964.967850148118,8140.846247627538,
2014-09-01,587.4284530647569,3643.541874471872,7838.233287924435,
2014-12-01,603.6967855082171,3442.2459620171453,7237.2124014127585,
2015-03-01,617.2308599422563,3196.6149627163277,5895.88090584003,
2015-06-01,630.4776910558958,3531.546829027674,6607.3112309727,
2015-09-01,643.7245221695352,2628.105955932198,5909.085517557874,
2015-12-01,813.5821191975871,2559.110338804878,6470.381571307831,
2016-03-01,893.0333783814568,2220.160997374357,5260.541327590827,
2016-06-01,972.4000001924577,1935.5696118176936,4278.6712684684335,
2016-09-01,1051.7666220034587,2119.7229329870115,5435.140246274645,
2016-12-01,1213.9452438144594,2478.367538977837,5122.224924251667,
2017-03-01,1324.4524191753583,2224.804757549194,4163.065887983292,
2017-06-01,1338.1526017297244,2154.822681156081,6002.119916682757,
2017-09-01,1351.8527842840906,3290.0628931654364,6287.864290654063,
2017-12-01,1365.5529668384568,3920.6663117539065,6957.9731934530155,
2018-03-01,1377.618705219981,4752.626378446687,6354.68549767627,
2018-06-01,1389.684443601505,4778.6344584965655,8393.484788132955,
2018-09-01,1401.7501819830293,4514.03374857934,6336.224458504304,
2018-12-01,1413.8159203645534,4006.4030300828945,6032.354227830374,
2019-03-01,1426.8403416741507,3776.1041551873677,6737.006106572566,
2019-06-01,1439.864762983748,3707.84832374403,7890.890528225721,
2019-09-01,1452.8891842933454,3861.9897958516876,6636.10181026827,
2019-12-01,1465.9136056029427,4226.615871267956,6614.014611237812,
2020-03-01,1467.68802691254,4808.563286158238,7128.214393549266,
2020-06-01,1469.4624482221373,4430.269743593621,6242.5656950493685,
2020-09-01,1471.2368695317346,3384.9168048524707,6190.120929950426,
2020-12-01,1473.0112908413319,2973.6527042081943,5183.849635884237,
2021-03-01,1475.1601950349,2016.234171386843,3616.7893822767455,
2021-06-01,1477.309099228468,615.9044078906135,3601.876817418638,
2021-09-01,1479.4580034220362,365.35914495113747,2130.3962634804475,
2021-12-01,1481.6069076156043,44.063769512677005,2773.310844715436,
2022-03-01,1483.3790313008706,42.15091690792642,1702.5823690056861,
2022-06-01,1485.1511549861368,30.849565160657136,1746.7275958043306,
2022-09-01,1486.923278671403,29.785142490052362,1683.7848523125933,
2022-12-01,1488.6954023566693,29.99711741070199,1864.376222716147,
2023-03-01,1496.8604488166698,30.566188864469176,2632.1887636531333,
2023-06-01,1508.2248125666697,89.76299285891915,3686.9490536217986,
2023-09-01,1517.3058309266696,279.1993051037794,3503.6924671121214,
2023-12-01,1539.0218126366697,863.1912240126599,4323.397114981047,
2024-03-01,1561.8349396172327,1085.2640168912528,4921.663704496791,
2024-06-01,1596.38582233745,1845.227431760136,5615.1743768449805,
2024-09-01,1627.067286145395,2715.3536178668573,5949.873436860933,
2024-12-01,1645.1422335268844,2651.7946417244248,6075.349688068012,
2025-03-01,1661.1441290944604,1895.224331834112,6475.991429707654,
2025-06-01,1684.188938933958,3480.87240558344,6025.035017895945,
2025-09-01,1703.8912187415092,2990.5144885281275,6180.309214086132,
