date,reserve_money_m0_lkr_m,broad_money_m2_lkr_m
1995-12-01,78587.0,228536.0
1996-01-01,77071.0,228090.0
1996-02-01,79586.0,234199.0
1996-03-01,82915.0,239178.0
1996-04-01,80873.0,241893.0
1996-05-01,83410.0,242072.0
1996-06-01,79834.0,240407.0
1996-07-01,80732.0,240083.0
1996-08-01,81756.0,240097.0
1996-09-01,81614.0,241700.0
1996-10-01,77209.0,242845.0
1996-11-01,81826.0,245227.0
1996-12-01,85509.0,253201.0
1997-01-01,81076.0,253157.0
1997-02-01,81795.0,254967.0
1997-03-01,71828.0,260657.0
1997-04-01,77056.0,261357.0
1997-05-01,80255.0,262189.0
1997-06-01,78342.0,265104.0
1997-07-01,76110.0,267601.0
1997-08-01,79612.0,271989.0
1997-09-01,80221.0,276994.0
1997-10-01,81932.0,279577.0
1997-11-01,80359.0,281697.0
1997-12-01,83736.0,288258.0
1998-01-01,82146.0,289017.0
1998-02-01,84633.0,291450.0
1998-03-01,88608.0,297205.0
1998-04-01,86493.0,297152.0
1998-05-01,88794.0,298472.0
1998-06-01,85297.0,296943.0
1998-07-01,88266.0,298677.0
1998-08-01,88242.0,296505.0
1998-09-01,89761.0,301678.0
1998-10-01,88164.0,303514.0
1998-11-01,89287.0,306637.0
1998-12-01,92866.0,316174.0
1999-01-01,91959.0,317257.0
1999-02-01,94074.0,319410.0
1999-03-01,98074.0,324606.0
1999-04-01,96837.0,326329.0
1999-05-01,96809.0,327371.0
1999-06-01,93446.0,327709.0
1999-07-01,93498.0,330177.0
1999-08-01,94756.0,331125.0
1999-09-01,93053.0,337568.0
1999-10-01,94775.0,341900.0
1999-11-01,94799.0,350033.0
1999-12-01,100444.0,358076.0
2000-01-01,100639.0,359623.0
2000-02-01,98687.0,361256.0
2000-03-01,102943.0,366263.0
2000-04-01,102623.0,369479.0
2000-05-01,101353.0,365197.0
2000-06-01,101524.0,370625.0
2000-07-01,100403.0,373504.0
2000-08-01,94487.0,376499.0
2000-09-01,100936.0,383562.0
2000-10-01,101089.0,388701.0
2000-11-01,98875.0,387452.0
2000-12-01,105163.0,404669.0
2001-01-01,103452.0,398998.0
2001-02-01,101573.0,400994.0
2001-03-01,106331.0,403946.0
2001-04-01,104586.0,407081.0
2001-05-01,103145.0,406112.0
2001-06-01,103444.0,405506.0
2001-07-01,104408.0,410081.0
2001-08-01,104643.0,413279.0
2001-09-01,106927.0,421417.0
2001-10-01,105047.0,426318.0
2001-11-01,106713.0,435733.0
2001-12-01,112522.0,450726.0
2002-01-01,111022.0,451700.0
2002-02-01,108538.0,457016.0
2002-03-01,116958.0,466120.0
2002-04-01,118017.0,468666.0
2002-05-01,116343.0,470681.0
2002-06-01,118700.0,476295.0
2002-07-01,119940.0,481908.0
2002-08-01,120214.0,485384.0
2002-09-01,121716.0,488941.0
2002-10-01,120236.0,493671.0
2002-11-01,123286.0,499616.0
2002-12-01,126411.0,510395.0
2003-01-01,123527.0,512993.0
2003-02-01,127140.0,518190.0
2003-03-01,131778.0,524675.0
2003-04-01,128642.0,530354.0
2003-05-01,132421.0,532806.0
2003-06-01,130725.0,532767.0
2003-07-01,131026.0,539612.0
2003-08-01,135246.0,545485.0
2003-09-01,134600.0,555818.0
2003-10-01,137727.0,557139.0
2003-11-01,140990.0,568711.0
2003-12-01,141447.0,580747.0
2004-01-01,145881.0,588054.0
2004-02-01,146768.0,594925.0
2004-03-01,158659.0,606390.0
2004-04-01,153084.0,608238.0
2004-05-01,152185.0,613308.0
2004-06-01,151130.0,615485.0
2004-07-01,156319.0,624525.0
2004-08-01,155850.0,632862.0
2004-09-01,158241.0,645181.0
2004-10-01,161806.0,656918.0
2004-11-01,163922.0,672063.0
2004-12-01,170967.0,687964.0
2005-01-01,174648.0,701947.0
2005-02-01,174666.0,707352.0
2005-03-01,190755.0,721095.0
2005-04-01,181861.0,728312.0
2005-05-01,179195.0,729253.0
2005-06-01,179817.0,738411.0
2005-07-01,184647.0,749606.0
2005-08-01,184289.0,757307.0
2005-09-01,187894.0,775449.0
2005-10-01,191179.0,799305.0
2005-11-01,190969.0,812386.0
2005-12-01,197932.0,822932.0
2006-01-01,196864.0,834273.0
2006-02-01,203030.0,849000.0
2006-03-01,217168.0,862733.0
2006-04-01,216094.0,878328.0
2006-05-01,212027.0,876163.0
2006-06-01,212418.7,887778.7
2006-07-01,214844.8,895241.6
2006-08-01,213894.9,906552.6
2006-09-01,222140.4,919003.7
2006-10-01,225512.9,952857.7
2006-11-01,226627.3,968095.5
2006-12-01,239863.0,993264.8
2007-01-01,236781.9,996575.1
2007-02-01,237920.3,1013890.5
2007-03-01,252954.0,1032542.4
2007-04-01,249337.1,1046387.7
2007-05-01,246220.0,1050538.0
2007-06-01,247846.0,1063012.0
2007-07-01,247209.0,1068052.0
2007-08-01,257063.8,1085288.3
2007-09-01,256714.9,1097654.7
2007-10-01,256519.0,1106356.6
2007-11-01,264080.4,1132313.4
2007-12-01,264419.4,1147742.4
2008-01-01,260423.9,1144360.9
2008-02-01,273009.2,1155184.8
2008-03-01,276346.0,1188569.0
2008-04-01,280201.0,1192361.3
2008-05-01,277575.9,1187326.5
2008-06-01,271212.0,1201992.0
2008-07-01,281292.0,1220612.0
2008-08-01,282575.7,1229068.0
2008-09-01,280215.0,1248642.0
2008-10-01,276102.6,1249205.4
2008-11-01,253568.8,1253311.8
2008-12-01,268425.2,1282193.7
2009-01-01,263769.6,1288162.5
2009-02-01,258097.0,1304602.1
2009-03-01,266351.0,1324703.7
2009-04-01,261177.0,1343534.7
2009-05-01,268603.1,1360259.7
2009-06-01,262560.940702,1380977.90467836
2009-07-01,275591.476058,1411697.8015732598
2009-08-01,276596.82890100003,1435549.82560029
2009-09-01,274521.32119,1461339.23440299
2009-10-01,288830.491907,1461344.8106734
2009-11-01,288163.967292,1497004.1257850803
2009-12-01,303537.302256,1536755.0233558
2010-01-01,309189.815069,1551744.06835161
2010-02-01,310808.539535,1565386.79999771
2010-03-01,328852.718117,1600964.0323549898
2010-04-01,325004.73781300004,1603309.5265002
2010-05-01,330608.312261,1622304.25147808
2010-06-01,322906.975679,1637896.5471094
2010-07-01,331813.17170799995,1650967.3556188
2010-08-01,336798.125384,1679209.74948479
2010-09-01,338471.172369,1718989.26653129
2010-10-01,348435.009656,1742357.31876087
2010-11-01,344090.51870899997,1763573.9418816504
2010-12-01,360511.371001,1812999.8293559202
2011-01-01,362885.67137399997,1832033.53629889
2011-02-01,366083.853379,1863091.5542227202
2011-03-01,382139.96322399995,1899804.4483429804
2011-04-01,405454.640712,1935746.9147739601
2011-05-01,400028.551853,1957064.3821283004
2011-06-01,397194.453357,1992454.6180428502
2011-07-01,413172.099588,2025945.1122480698
2011-08-01,419936.970645,2059413.2426001104
2011-09-01,422277.78043800005,2091126.7277921601
2011-10-01,425459.41163199994,2116658.19002408
2011-11-01,420345.42790799995,2139727.96907146
2011-12-01,439504.299606,2192603.0825096103
2012-01-01,434898.655471,2216985.78110137
2012-02-01,439406.56956900004,2270719.92801005
2012-03-01,471146.498426,2321171.4914160003
2012-04-01,449306.658279,2353485.2145337802
2012-05-01,449479.40636200004,2351369.8771626703
2012-06-01,457526.1392379999,2381342.88362539
2012-07-01,463412.62748300005,2410233.1574495197
2012-08-01,472950.17370000004,2439376.8422081503
2012-09-01,473141.72944799997,2455009.53678854
2012-10-01,471116.175271,2463315.5733956
2012-11-01,476890.83256600006,2529841.56119952
2012-12-01,484362.439386,2593184.85748289
2013-01-01,484095.99568799994,2627393.92465
2013-02-01,486728.223648,2688229.3947190004
2013-03-01,512395.910826,2749442.043265
2013-04-01,500287.639121,2788337.4671989996
2013-05-01,507211.303089,2799417.2312509995
2013-06-01,500301.22033599997,2843835.271227
2013-07-01,456106.03279100003,2875610.0534099997
2013-08-01,466583.918138,2883489.756548
2013-09-01,465742.69608,2937208.353594
2013-10-01,466851.637248,3002427.41166
2013-11-01,471997.257646,2997741.1264400003
2013-12-01,488585.61292800005,3058792.834393
2014-01-01,485179.780553,3094569.8302880004
2014-02-01,494615.24951100006,3120240.638883
2014-03-01,521552.38107099995,3165810.2590340003
2014-04-01,515339.213267,3175118.511267
2014-05-01,499499.47819500003,3178773.037629
2014-06-01,507666.620321,3214316.422329
