date,gross_reserves_usd_m,usd_lkr,m2_usd_m
2005-01-01,2249.0,98.9288,7095.476746912932
2005-02-01,2293.0,99.2726,7125.349794404498
2005-03-01,2337.0,99.3896,7255.235960301681
2005-04-01,2382.0,99.671,7307.160558236598
2005-05-01,2426.0,99.791,7307.803308915634
2005-06-01,2470.0,99.9455,7388.136534411255
2005-07-01,2514.0,100.283,7474.906015974791
2005-08-01,2558.0,100.7383,7517.567796955081
2005-09-01,2602.0,101.3324,7652.527720650058
2005-10-01,2647.0,101.4845,7876.128866969833
2005-11-01,2691.0,101.7995,7980.255305772622
2005-12-01,2735.0,101.9767,8069.804180758939
2006-01-01,2743.0,102.016,8177.864256587201
2006-02-01,2751.0,102.1942,8307.712179360473
2006-03-01,2759.0,102.6478,8404.788022734048
2006-04-01,2767.0,102.6345,8557.824123467255
2006-05-01,2775.0,102.8382,8519.820455822835
2006-06-01,2784.0,103.5245,8575.542021453857
2006-07-01,2792.0,103.9565,8611.69431444883
2006-08-01,2800.0,103.6691,8744.675124989028
2006-09-01,2808.0,102.595,8957.587601734976
2006-10-01,2816.0,105.7181,9013.193578015494
2006-11-01,2824.0,107.72,8987.14723356851
2006-12-01,2832.0,107.7905,9214.771246074562
2007-01-01,2889.0,108.5219,9183.170401550286
2007-02-01,2946.0,108.6842,9328.77547978455
2007-03-01,3004.0,109.2941,9447.375475894856
2007-04-01,3061.0,109.3595,9568.32922608461
2007-05-01,3118.0,110.7995,9481.432677945299
2007-06-01,3175.0,110.9662,9579.601716558736
2007-07-01,3232.0,111.6724,9564.15372106268
2007-08-01,3290.0,112.1839,9674.189433599653
2007-09-01,3347.0,113.3415,9684.490676407142
2007-10-01,3404.0,112.8583,9803.059234455952
2007-11-01,3461.0,110.4181,10254.780692658178
2007-12-01,3518.0,108.891,10540.287076066892
2008-01-01,3443.0,108.1557,10580.68044495112
2008-02-01,3368.0,107.827,10713.316701753736
2008-03-01,3293.0,107.6838,11037.58411200199
2008-04-01,3218.0,107.7791,11063.010361006913
2008-05-01,3143.0,107.7705,11017.175386585383
2008-06-01,3067.0,107.7633,11154.001408642831
2008-07-01,2992.0,107.6086,11343.07109283087
2008-08-01,2917.0,107.7181,11410.041580755695
2008-09-01,2842.0,107.8233,11580.44689784119
2008-10-01,2767.0,108.1661,11548.95480192038
2008-11-01,2692.0,109.9594,11397.950516281464
2008-12-01,2617.0,111.4464,11505.025734344043
2009-01-01,2845.0,113.7685,11322.664006293482
2009-02-01,3073.0,114.1026,11433.587841118433
2009-03-01,3301.0,114.2836,11591.371815378583
2009-04-01,3529.0,117.3068,11453.169807717883
2009-05-01,3757.0,116.672,11658.835881788262
2009-06-01,3985.0,114.8105,12028.324105185153
2009-07-01,4213.0,114.8002,12296.997754126383
2009-08-01,4441.0,114.7148,12514.076872385167
2009-09-01,4669.0,114.7667,12733.129334580413
2009-10-01,4897.0,114.7838,12731.280988026185
2009-11-01,5126.0,114.4853,13075.950587412362
