model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,255.2761906087624,-7.524331096947948
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7801.4179494433,512.3385252147499,7144.829710365321,8458.00618852128,6797.252892130052,8805.58300675655,134.91950001809877,-7.195310586311417
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7452.280234618695,415.2993800350227,6920.052663964944,7984.507805272447,6638.30840694826,8266.25206228913,303.66497637118516,-7.641814700558813
BVAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7552.426416356432,534.8194360342491,6867.027730822846,8237.825101890017,6504.1995834973095,8600.653249215555,233.1830814051921,-7.465506066958885
XGBoost,2020-01-01,2020-02-01,1,validation,7941.515070351391,7612.57568359375,3.091887987566697,7608.613269702794,7616.538097484706,7606.515694493887,7618.635672693613,327.19497576155936,-5661.237488262836
MS-VAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7613.812145736085,537.9057557980403,6924.45818227744,8303.16610919473,6559.536237295158,8668.088054177013,202.9771089131272,-7.39219638455042
MS-VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7595.194557661869,537.9057557980403,6905.840594203224,8284.548521120514,6540.918649220942,8649.470466102797,211.7089383223204,-7.4138812152945555
Naive,2020-02-01,2020-03-01,1,validation,7533.736569408685,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,126.0330004019932,-7.207384195938466
ARIMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7778.08383786761,512.3385252147499,7121.495598789631,8434.67207694559,6773.918780554362,8782.24889518086,165.3602600142957,-7.271653051931641
VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7452.280234618695,415.2993800350227,6920.052663964944,7984.507805272447,6638.30840694826,8266.25206228913,103.40682155031035,-6.967173411481835
BVAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7594.313020000028,531.7109411147093,6912.898030997067,8275.728009002989,6552.178725229329,8636.447314770727,127.0084355572128,-7.2015282585300815
XGBoost,2020-02-01,2020-03-01,1,validation,7533.736569408685,7864.21533203125,3.091887987566697,7860.252918140294,7868.177745922206,7858.155342931387,7870.275321131113,328.73435162648366,-5714.329364064926
MS-VAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,8117.459954206314,537.9057557980403,7428.105990747669,8806.81391766496,7063.184045765387,9171.735862647241,356.253374212018,-7.795427331960073
MS-VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,8155.563232955015,537.9057557980403,7466.20926949637,8844.91719641366,7101.287324514088,9209.839141395943,384.3522443941518,-7.874806257152713
Naive,2020-03-01,2020-04-01,1,validation,7209.520101152639,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,192.14301582766018,-7.365496507659152
ARIMA,2020-03-01,2020-04-01,1,validation,7209.520101152639,7916.385703132882,512.3385252147499,7259.797464054903,8572.973942210861,6912.220645819633,8920.55076044613,457.0955099206905,-8.109688996992363
VECM,2020-03-01,2020-04-01,1,validation,7209.520101152639,7452.280234618695,415.2993800350227,6920.052663964944,7984.507805272447,6638.30840694826,8266.25206228913,152.10623218754736,-7.1187831520047276
BVAR,2020-03-01,2020-04-01,1,validation,7209.520101152639,7570.927509346866,536.5680493753379,6883.287885648475,8258.567133045257,6519.273457316323,8622.581561377408,218.9953086781343,-7.430969236707987
XGBoost,2020-03-01,2020-04-01,1,validation,7209.520101152639,8114.677734375,3.091887987566697,8110.715320484044,8118.640148265956,8108.617745275137,8120.737723474863,903.4132222262796,-42854.031983397086
MS-VAR,2020-03-01,2020-04-01,1,validation,7209.520101152639,7515.652840971789,537.9057557980403,6826.298877513144,8205.006804430435,6461.376932530862,8569.928749412717,193.39505694920413,-7.368570495531589
MS-VECM,2020-03-01,2020-04-01,1,validation,7209.520101152639,7678.051543743477,537.9057557980403,6988.697580284832,8367.405507202122,6623.77563530255,8732.327452184405,278.9534923517344,-7.585967549033253
Naive,2020-04-01,2020-05-01,1,validation,6499.857251537734,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,721.8234996232096,-8.979465491811045
ARIMA,2020-04-01,2020-05-01,1,validation,6499.857251537734,7929.90433800203,512.3385252147499,7273.316098924051,8586.49257708001,6925.739280688782,8934.069395315279,1141.7940404857773,-11.053365308159654
VECM,2020-04-01,2020-05-01,1,validation,6499.857251537734,7452.280234618695,415.2993800350227,6920.052663964944,7984.507805272447,6638.30840694826,8266.25206228913,721.2166049180106,-9.57764404132571
