model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,259.064787584953,-7.592599042469658
Naive,2020-01-01,2020-04-01,3,validation,7209.520101152639,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,203.71859483372825,-7.475203179943804
Naive,2020-01-01,2020-07-01,6,validation,7095.831822594811,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,253.11497049604813,-7.579767365116714
Naive,2020-01-01,2021-01-01,12,validation,4841.863004371764,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,2317.8709254216797,-16.4688816344205
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7553.333908961428,567.0568771560401,6826.621280289046,8280.04653763381,6441.922852549867,8664.74496537299,234.57604312119227,-7.493705364067822
ARIMA,2020-01-01,2020-04-01,3,validation,7209.520101152639,7555.359440434068,777.0770257563121,6559.495161527015,8551.223719341122,6032.316456738235,9078.402424129901,242.00891357905095,-7.673513454562052
ARIMA,2020-01-01,2020-07-01,6,validation,7095.831822594811,7555.359440434068,1017.9912062030787,6250.75121641347,8859.967664454667,5560.1333396976015,9550.585541170536,319.27636700997994,-7.946408904287615
ARIMA,2020-01-01,2021-01-01,12,validation,4841.863004371764,7555.359440434068,1378.847663740939,5788.295058318802,9322.423822549335,4852.867679334708,10257.851201533429,1961.0693028846722,-10.084345798302152
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7226.883011861832,584.5750814272775,6477.719901080109,7976.046122643555,6081.13690600483,8372.629117718834,447.4453550448651,-8.037053926111609
VECM,2020-01-01,2020-04-01,3,validation,7209.520101152639,-19534183.96473205,584.5750814272775,-19534933.127842832,-19533434.80162127,-19535329.710837908,-19533038.218626194,19541063.673661456,-558728046.0662585
VECM,2020-01-01,2020-07-01,6,validation,7095.831822594811,-7.619000464970163e+17,584.5750814272775,-7.619000464970171e+17,-7.619000464970156e+17,-7.619000464970175e+17,-7.619000464970152e+17,7.619000464970231e+17,-8.493474883272161e+29
VECM,2020-01-01,2021-01-01,12,validation,4841.863004371764,7.888920125573251e+33,584.5750814272775,7.888920125573251e+33,7.888920125573251e+33,7.888920125573251e+33,7.888920125573251e+33,7.888920125573251e+33,-9.105934550919229e+61
XGBoost,2020-01-01,2020-02-01,1,validation,7941.515070351391,7594.79052734375,1.1815491606794812,7593.276311167113,7596.304743520387,7592.474733542855,7597.106321144645,346.057925278736,-43057.27420195585
XGBoost,2020-01-01,2020-04-01,3,validation,7209.520101152639,7704.90185546875,1.1815491606794812,7703.387639292113,7706.416071645387,7702.586061667855,7707.217649269645,494.7151365872063,-87892.49458834197
XGBoost,2020-01-01,2020-07-01,6,validation,7095.831822594811,7871.29248046875,1.1815491606794812,7869.778264292113,7872.806696645387,7868.976686667855,7873.608274269645,774.7940401450345,-215371.45411133554
XGBoost,2020-01-01,2021-01-01,12,validation,4841.863004371764,8071.24560546875,1.1815491606794812,8069.731389292113,8072.759821645387,8068.929811667855,8073.561399269645,3228.715983368081,-3735128.442030371
MS-VAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7704.944878794226,625.6800939755537,6903.103574829512,8506.786182758939,6478.634428758538,8931.255328829913,181.48349697593173,-7.429257877868715
MS-VAR,2020-01-01,2020-04-01,3,validation,7209.520101152639,7736.535419094966,625.6800939755537,6934.694115130252,8538.376723059679,6510.224969059278,8962.845869130653,313.54033459013317,-7.712519083860174
MS-VAR,2020-01-01,2020-07-01,6,validation,7095.831822594811,7790.880443236967,625.6800939755537,6989.039139272253,8592.72174720168,6564.569993201279,9017.190893272655,426.0849257676547,-7.9747927098576765
MS-VAR,2020-01-01,2021-01-01,12,validation,4841.863004371764,7855.356204080822,625.6800939755537,7053.514900116108,8657.197508045536,6629.045754045133,9081.66665411651,2660.491178545347,-18.95638277442365
LSTM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7293.539005863148,,,,,,,
LSTM,2020-01-01,2020-04-01,3,validation,7209.520101152639,7263.686393694578,,,,,,,
LSTM,2020-01-01,2020-07-01,6,validation,7095.831822594811,7222.725267092159,,,,,,,
LSTM,2020-01-01,2021-01-01,12,validation,4841.863004371764,7195.919663288641,,,,,,,
LocalLevelSV,2020-01-01,2020-02-01,1,validation,7941.515070351391,7549.05706351784,578.043887961322,6808.26401394729,8289.85011308839,6416.111861630174,8682.002265405506,237.48396359073325,-7.509069136332832
LocalLevelSV,2020-01-01,2020-04-01,3,validation,7209.520101152639,7549.05706351784,811.1908942648987,6509.474103016811,8588.64002401887,5959.1521261718435,9138.962000863838,245.45485703245743,-7.705040706948035
LocalLevelSV,2020-01-01,2020-07-01,6,validation,7095.831822594811,7549.05706351784,1069.5207163639016,6178.411115078872,8919.703011956808,5452.834978725172,9645.279148310508,325.4364508338925,-7.9836927378891955
LocalLevelSV,2020-01-01,2021-01-01,12,validation,4841.863004371764,7549.05706351784,1454.4972857719904,5685.043789855792,9413.070337179888,4698.2947677935545,10399.819359242127,1922.1224369863323,-9.933493984584574
BoPIdentity,2020-01-01,2020-02-01,1,validation,7941.515070351391,7363.2191744277925,,,,,,,
BoPIdentity,2020-01-01,2020-04-01,3,validation,7209.520101152639,7064.19046441786,,,,,,,
BoPIdentity,2020-01-01,2020-07-01,6,validation,7095.831822594811,6615.647399402962,,,,,,,
BoPIdentity,2020-01-01,2021-01-01,12,validation,4841.863004371764,5718.5612693731655,,,,,,,
Naive,2020-02-01,2020-03-01,1,validation,7533.736569408685,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,146.4995404200552,-7.358341158305324
Naive,2020-02-01,2020-05-01,3,validation,6499.857251537734,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,687.6905984404266,-8.668100028375115
Naive,2020-02-01,2020-08-01,6,validation,7430.083006707859,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,150.56758765103586,-7.366502562930503
Naive,2020-02-01,2021-02-01,12,validation,4582.993424023525,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,2576.73825445847,-18.320628968971825
ARIMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7626.997163190934,567.0568771560401,6900.284534518552,8353.709791863315,6515.586106779372,8738.408219602496,138.62358034799954,-7.2729223919446175
ARIMA,2020-02-01,2020-05-01,3,validation,6499.857251537734,7629.022694663574,777.0770257563121,6633.158415756519,8624.886973570628,6105.97971096774,9152.065678359408,741.3908006993738,-8.630218123944594
ARIMA,2020-02-01,2020-08-01,6,validation,7430.083006707859,7629.022694663574,1017.9912062030787,6324.414470642975,8933.630918684172,5633.796593927107,9624.24879540004,253.3601469943801,-7.863620318564321
ARIMA,2020-02-01,2021-02-01,12,validation,4582.993424023525,7629.022694663574,1378.847663740939,5861.958312548308,9396.08707677884,4926.530933564212,10331.514455762936,2281.2296016794717,-10.58803041207273
VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7226.883011861832,584.5750814272775,6477.719901080109,7976.046122643555,6081.13690600483,8372.629117718834,199.43519101188326,-7.427592831670508
VECM,2020-02-01,2020-05-01,3,validation,6499.857251537734,-19534183.96473205,584.5750814272775,-19534933.127842832,-19533434.80162127,-19535329.710837908,-19533038.218626194,19540354.010811843,-558687465.4052439
VECM,2020-02-01,2020-08-01,6,validation,7430.083006707859,-7.619000464970163e+17,584.5750814272775,-7.619000464970171e+17,-7.619000464970156e+17,-7.619000464970175e+17,-7.619000464970152e+17,7.619000464970234e+17,-8.493474883272167e+29
VECM,2020-02-01,2021-02-01,12,validation,4582.993424023525,7.888920125573251e+33,584.5750814272775,7.888920125573251e+33,7.888920125573251e+33,7.888920125573251e+33,7.888920125573251e+33,7.888920125573251e+33,-9.105934550919229e+61
XGBoost,2020-02-01,2020-03-01,1,validation,7533.736569408685,7483.30615234375,1.1815491606794812,7481.791936167113,7484.820368520387,7480.990358542855,7485.621946144645,49.76379933602981,-911.9455579816956
XGBoost,2020-02-01,2020-05-01,3,validation,6499.857251537734,7686.45751953125,1.1815491606794812,7684.943303354613,7687.971735707887,7684.141725730355,7688.773313332145,1185.9336502646113,-504285.21053231234
XGBoost,2020-02-01,2020-08-01,6,validation,7430.083006707859,7670.283203125,1.1815491606794812,7668.768986948363,7671.797419301637,7667.967409324105,7672.598996925895,239.53357868823642,-20665.0256006318
XGBoost,2020-02-01,2021-02-01,12,validation,4582.993424023525,7727.39990234375,1.1815491606794812,7725.885686167113,7728.914118520387,7725.084108542855,7729.715696144645,3143.7398605913195,-3541146.630110931
MS-VAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,8020.70839079768,625.6800939755537,7218.867086832966,8822.549694762394,6794.397940761992,9247.018840833369,290.2287295525667,-7.6606594116435565
MS-VAR,2020-02-01,2020-05-01,3,validation,6499.857251537734,8073.627251820721,625.6800939755537,7271.785947856007,8875.468555785434,6847.316801785033,9299.937701856408,1223.1593328165886,-10.521132163199969
MS-VAR,2020-02-01,2020-08-01,6,validation,7430.083006707859,8125.035405560721,625.6800939755537,7323.194101596007,8926.876709525435,6898.724955525033,9351.34585559641,426.0143623400707,-7.974621883895535
MS-VAR,2020-02-01,2021-02-01,12,validation,4582.993424023525,8189.127920740625,625.6800939755537,7387.286616775911,8990.969224705339,6962.817470704937,9415.438370776314,3253.132305820043,-23.966995114212295
MS-VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,8099.183732614912,623.8792547446238,7299.650296985891,8898.717168243933,6876.402862613793,9321.96460261603,337.3252614280241,-7.76562211706513
MS-VECM,2020-02-01,2020-05-01,3,validation,6499.857251537734,8229.205466549578,623.8792547446238,7429.6720309205575,9028.738902178598,7006.424596548459,9451.986336550697,1378.4049855010715,-11.196687089279996
MS-VECM,2020-02-01,2020-08-01,6,validation,7430.083006707859,8401.459351270192,623.8792547446238,7601.925915641172,9200.992786899213,7178.678481269073,9624.240221271311,651.4620410098239,-8.567010758975272
MS-VECM,2020-02-01,2021-02-01,12,validation,4582.993424023525,8706.07845099531,623.8792547446238,7906.54501536629,9505.61188662433,7483.297580994191,9928.85932099643,3771.0988500559997,-29.19292732473366
LSTM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7337.060184670167,,,,,,,
LSTM,2020-02-01,2020-05-01,3,validation,6499.857251537734,7255.824447882982,,,,,,,
LSTM,2020-02-01,2020-08-01,6,validation,7430.083006707859,7143.87522219726,,,,,,,
LSTM,2020-02-01,2021-02-01,12,validation,4582.993424023525,7070.530709770355,,,,,,,
LocalLevelSV,2020-02-01,2020-03-01,1,validation,7533.736569408685,7549.05706351784,578.043887961322,6808.26401394729,8289.85011308839,6416.111861630174,8682.002265405506,135.2479377342966,-7.278939561598098
LocalLevelSV,2020-02-01,2020-05-01,3,validation,6499.857251537734,7549.05706351784,811.1908942648987,6509.474103016811,8588.64002401887,5959.1521261718435,9138.962000863838,666.4394587392669,-8.453892505324273
LocalLevelSV,2020-02-01,2020-08-01,6,validation,7430.083006707859,7549.05706351784,1069.5207163639016,6178.411115078872,8919.703011956808,5452.834978725172,9645.279148310508,255.2160897968025,-7.900091660005624
LocalLevelSV,2020-02-01,2021-02-01,12,validation,4582.993424023525,7549.05706351784,1454.4972857719904,5685.043789855792,9413.070337179888,4698.2947677935545,10399.819359242127,2167.672351795423,-10.28059645515388
BoPIdentity,2020-02-01,2020-03-01,1,validation,7533.736569408685,7466.249178820705,,,,,,,
BoPIdentity,2020-02-01,2020-05-01,3,validation,6499.857251537734,7373.280477596598,,,,,,,
BoPIdentity,2020-02-01,2020-08-01,6,validation,7430.083006707859,7233.827425760437,,,,,,,
BoPIdentity,2020-02-01,2021-02-01,12,validation,4582.993424023525,6954.9213220881165,,,,,,,
Naive,2020-03-01,2020-04-01,1,validation,7209.520101152639,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,203.71859483372825,-7.475203179943804
Naive,2020-03-01,2020-06-01,3,validation,6694.648013475818,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,521.1509330525349,-8.212574241930858
Naive,2020-03-01,2020-09-01,6,validation,6666.320938200717,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,544.2798265500762,-8.272795575759567
Naive,2020-03-01,2021-03-01,12,validation,4055.2,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,3104.531340991293,-22.626339457902013
ARIMA,2020-03-01,2020-04-01,1,validation,7209.520101152639,8013.9812787137,567.0568771560401,7287.268650041318,8740.693907386081,6902.570222302138,9125.392335125262,524.4396046106433,-8.265696913164696
ARIMA,2020-03-01,2020-06-01,3,validation,6694.648013475818,8016.00681018634,777.0770257563121,7020.142531279285,9011.871089093394,6492.963826490506,9539.049793882174,911.3329463870157,-9.02019533893854
ARIMA,2020-03-01,2020-09-01,6,validation,6666.320938200717,8016.00681018634,1017.9912062030787,6711.398586165741,9320.615034206938,6020.780709449873,10011.232910922807,863.063722721698,-8.723441061022804
ARIMA,2020-03-01,2021-03-01,12,validation,4055.2,8016.00681018634,1378.847663740939,6248.942428071074,9783.071192301606,5313.515049086978,10718.498571285701,3184.5161725415387,-12.273709424467086
VECM,2020-03-01,2020-04-01,1,validation,7209.520101152639,7226.883011861832,584.5750814272775,6477.719901080109,7976.046122643555,6081.13690600483,8372.629117718834,136.81798522084466,-7.290264857349293
VECM,2020-03-01,2020-06-01,3,validation,6694.648013475818,-19534183.96473205,584.5750814272775,-19534933.127842832,-19533434.80162127,-19535329.710837908,-19533038.218626194,19540548.80157378,-558698603.9814641
VECM,2020-03-01,2020-09-01,6,validation,6666.320938200717,-7.619000464970163e+17,584.5750814272775,-7.619000464970171e+17,-7.619000464970156e+17,-7.619000464970175e+17,-7.619000464970152e+17,7.619000464970227e+17,-8.493474883272151e+29
VECM,2020-03-01,2021-03-01,12,validation,4055.2,7.888920125573251e+33,584.5750814272775,7.888920125573251e+33,7.888920125573251e+33,7.888920125573251e+33,7.888920125573251e+33,7.888920125573251e+33,-9.105934550919229e+61
BVAR,2020-03-01,2020-04-01,1,validation,7209.520101152639,7526.1742635788,610.5731385972084,6743.693301929823,8308.655225227776,6329.472902000722,8722.875625156878,206.77331467549473,-7.467818886786868
BVAR,2020-03-01,2020-06-01,3,validation,6694.648013475818,7490.158523917358,921.064208747299,6309.76724522979,8670.549802604926,5684.90584732382,9295.411200510896,473.50211635796455,-8.11744526944678
BVAR,2020-03-01,2020-09-01,6,validation,6666.320938200717,7497.837849422421,1222.7387463653374,5930.835094765392,9064.840604079449,5101.313944044769,9894.361754800073,503.0295341180025,-8.259017374463356
BVAR,2020-03-01,2021-03-01,12,validation,4055.2,7796.6413120263915,1528.3372513038341,5837.99831493722,9755.284309115563,4801.155343240018,10792.127280812765,2886.356963212197,-11.247341072063334
XGBoost,2020-03-01,2020-04-01,1,validation,7209.520101152639,7979.79052734375,1.1815491606794812,7978.276311167113,7981.304743520387,7977.474733542855,7982.106321144645,769.6038084622063,-212498.11359210243
XGBoost,2020-03-01,2020-06-01,3,validation,6694.648013475818,7748.1181640625,1.1815491606794812,7746.603947885863,7749.632380239137,7745.802370261605,7750.433957863395,1052.8035328577773,-397477.05918829393
XGBoost,2020-03-01,2020-09-01,6,validation,6666.320938200717,7372.67041015625,1.1815491606794812,7371.156193979613,7374.184626332887,7370.354616355355,7374.986203957145,705.6828542266279,-178693.3130045083
XGBoost,2020-03-01,2021-03-01,12,validation,4055.2,7439.35888671875,1.1815491606794812,7437.844670542113,7440.873102895387,7437.043092917855,7441.674680519645,3383.492268989845,-4101738.9549871646
MS-VAR,2020-03-01,2020-04-01,1,validation,7209.520101152639,8066.7195850130765,625.6800939755537,7264.878281048363,8868.56088897779,6840.409134977388,9293.030035048765,553.1963825663743,-8.296266619003937
MS-VAR,2020-03-01,2020-06-01,3,validation,6694.648013475818,7821.25716197723,625.6800939755537,7019.415858012516,8623.098465941943,6594.946711941542,9047.567612012917,791.4433261649627,-8.97888546634075
MS-VAR,2020-03-01,2020-09-01,6,validation,6666.320938200717,7729.645734015664,625.6800939755537,6927.80443005095,8531.487037980378,6503.335283979975,8955.956184051352,733.2368309151741,-8.801877551705116
MS-VAR,2020-03-01,2021-03-01,12,validation,4055.2,7802.963190983068,625.6800939755537,7001.121887018354,8604.80449494778,6576.65274094738,9029.273641018755,3394.7609995094044,-25.297247856007573
MS-VECM,2020-03-01,2020-04-01,1,validation,7209.520101152639,8409.885830891964,623.8792547446238,7610.352395262944,9209.419266520985,7187.104960890845,9632.666700893084,861.334949613364,-9.205851362416581
MS-VECM,2020-03-01,2020-06-01,3,validation,6694.648013475818,8296.532663101043,623.8792547446238,7496.9992274720225,9096.066098730063,7073.751793099924,9519.313533102162,1251.9224159016019,-10.651230779873092
MS-VECM,2020-03-01,2020-09-01,6,validation,6666.320938200717,8353.516696542381,623.8792547446238,7553.983260913361,9153.050132171402,7130.735826541262,9576.2975665435,1336.5134191601144,-11.011684068236478
MS-VECM,2020-03-01,2021-03-01,12,validation,4055.2,8840.844800707477,623.8792547446238,8041.311365078456,9640.378236336497,7618.0639307063575,10063.625670708596,4433.658623789023,-36.77538104414582
LSTM,2020-03-01,2020-04-01,1,validation,7209.520101152639,6199.2952729778035,,,,,,,
LSTM,2020-03-01,2020-06-01,3,validation,6694.648013475818,6129.005561962492,,,,,,,
LSTM,2020-03-01,2020-09-01,6,validation,6666.320938200717,6019.1453097428375,,,,,,,
LSTM,2020-03-01,2021-03-01,12,validation,4055.2,5968.888025436562,,,,,,,
LocalLevelSV,2020-03-01,2020-04-01,1,validation,7209.520101152639,7549.05706351784,578.043887961322,6808.26401394729,8289.85011308839,6416.111861630174,8682.002265405506,212.4401079760436,-7.451101594957388
LocalLevelSV,2020-03-01,2020-06-01,3,validation,6694.648013475818,7549.05706351784,811.1908942648987,6509.474103016811,8588.64002401887,5959.1521261718435,9138.962000863838,518.7467324325811,-8.1721385998485
LocalLevelSV,2020-03-01,2020-09-01,6,validation,6666.320938200717,7549.05706351784,1069.5207163639016,6178.411115078872,8919.703011956808,5452.834978725172,9645.279148310508,525.1590388778642,-8.234511300791713
LocalLevelSV,2020-03-01,2021-03-01,12,validation,4055.2,7549.05706351784,1454.4972857719904,5685.043789855792,9413.070337179888,4698.2947677935545,10399.819359242127,2681.1085630782186,-11.086411433805795
BoPIdentity,2020-03-01,2020-04-01,1,validation,7209.520101152639,7455.99434361645,,,,,,,
BoPIdentity,2020-03-01,2020-06-01,3,validation,6694.648013475818,7342.515971983833,,,,,,,
BoPIdentity,2020-03-01,2020-09-01,6,validation,6666.320938200717,7172.298414534906,,,,,,,
BoPIdentity,2020-03-01,2021-03-01,12,validation,4055.2,6831.863299637055,,,,,,,
Naive,2020-04-01,2020-05-01,1,validation,6499.857251537734,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,687.6905984404266,-8.668100028375115
Naive,2020-04-01,2020-07-01,3,validation,7095.831822594811,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,253.11497049604813,-7.579767365116714
Naive,2020-04-01,2020-10-01,6,validation,5855.74394110227,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,1305.5563840155814,-10.86452840013359
