model,split,horizon,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n
ARIMA,test,1,1105.2029582356054,1249.8610855014506,25.25612434659103,29.14215583738342,3.2529717170182066,2159.0893438168073,880.1567375521588,-10.248740068514893,0.25925925925925924,0.3333333333333333,27
ARIMA,test,3,1389.373654238232,1463.8503099751138,31.60431708602205,36.476009415635886,4.089378487388849,2675.7812190735062,994.9770761847877,-9.34143494198544,0.2222222222222222,0.7407407407407407,27
ARIMA,test,6,1610.7785337488547,1833.9665990717344,33.46471993348948,42.29217776746749,4.741045048440836,3194.645459153622,1165.1296689045319,-9.331946120950674,0.37037037037037035,0.7407407407407407,27
ARIMA,test,12,2052.389195311283,2448.621752529004,39.75955813393671,53.42042240283903,6.04084883677818,4087.002557682154,1506.3912683265144,-9.529756959263118,0.5555555555555556,0.6666666666666666,27
ARIMA,validation,1,1365.5277167977074,1549.7345212941673,48.727303861062275,35.98287014989349,4.019192138825642,1369.5304916807956,1101.85615783532,-11.698108595755953,0.17142857142857143,0.34285714285714286,35
ARIMA,validation,3,1713.9046537868055,1921.3437032299137,60.13832696816493,42.98793363695304,5.044578756226809,1713.9046537868055,1313.963865546295,-10.601623119118816,0.21212121212121213,0.6060606060606061,33
ARIMA,validation,6,1907.6676528467751,2163.271210299771,68.58377287803374,47.36307445707043,5.614886273999792,1908.6473135465849,1430.6210272272576,-9.880265607257877,0.3333333333333333,0.5666666666666667,30
ARIMA,validation,12,3342.876300137976,3493.4123031770127,139.57746830770438,78.7092403949917,9.839172051438846,3342.876300137976,2506.1526824647594,-10.83492207269498,0.0,0.5833333333333334,24
BVAR,test,1,1196.9005137863676,1361.4883418164966,27.019093767913965,32.7917591182969,3.5228674429602886,2376.728939786367,960.3723494148176,-10.566935845156722,0.25925925925925924,0.37037037037037035,27
BVAR,test,3,1467.1117879596654,1597.3466249935675,32.13339566099812,39.56228435700294,4.318187095296768,2900.653343497261,1085.1695972586404,-9.58608404562226,0.2222222222222222,0.6296296296296297,27
BVAR,test,6,1660.852340832783,1888.5868910771862,35.061124851681456,44.479702006471825,4.888428546642368,3274.8516733166757,1198.8300295678127,-9.380860384185688,0.25925925925925924,0.7407407407407407,27
BVAR,test,12,2033.313924071637,2487.095566114122,39.64576690993039,52.962008305573036,5.984704110260183,3992.76094861598,1515.7295005418064,-9.583585803725159,0.5185185185185185,0.6666666666666666,27
BVAR,validation,1,1198.9996653453816,1476.2826406802662,42.311955291057934,31.134447639347115,3.529045928640519,1209.7350971731505,954.9901205191879,-11.084541343766086,0.34285714285714286,0.5714285714285714,35
BVAR,validation,3,1654.9017966881104,1940.3826540148443,59.052511807213904,40.977066278948584,4.870914160113408,1654.9017966881104,1286.287630982662,-10.612318790019017,0.45454545454545453,0.5454545454545454,33
BVAR,validation,6,2356.7587175573594,2608.830315342074,88.50618087564627,55.81437774863507,6.936707321422012,2356.7587175573594,1848.5041961584684,-11.005998551101317,0.3,0.36666666666666664,30
BVAR,validation,12,4004.328790384557,4076.4633045379715,171.9915249028557,88.47672833622865,11.78604183394326,4004.328790384557,3227.9884443719952,-12.52858041612069,0.0,0.0,24
BoPIdentity,test,1,953.2558228663992,1136.4280594206068,21.27173840967362,25.006417448805497,2.805741884565483,1867.5958402809274,,,,,27
