model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1105.2029582356054,1249.8610855014506,25.25612434659103,29.14215583738342,3.2529717170182066,2159.0893438168073,880.1567375521588,-10.248740068514893,0.25925925925925924,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27
ARIMA,validation,1,all,1365.527716797707,1549.7345212941673,48.727303861062275,35.98287014989349,4.019192138825641,1369.5304916807956,1101.85615783532,-11.69810859575595,0.17142857142857143,0.34285714285714286,35,common_dates,2020-02-01,2022-12-01,35
BVAR,test,1,all,1190.9719001096005,1359.5617455191311,26.809361121198876,32.55570320428417,3.5054176049301415,2366.2130132693032,956.0237029346297,-10.539575701231422,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27
BVAR,validation,1,all,1197.961217644384,1474.6167340914978,42.424067288180225,31.18620305717175,3.525989439354298,1209.0780363299543,954.7025415363269,-11.203334309603493,0.3142857142857143,0.5714285714285714,35,common_dates,2020-02-01,2022-12-01,35
MS-VAR,test,1,all,218.28169305684952,315.24487674590387,5.15766261271038,5.478484936976179,0.6424740076613246,409.6054073664217,191.16594064929888,-7.374133069624112,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27
MS-VAR,validation,1,all,370.8404648791057,513.725953777221,11.357730970478096,10.861334937463733,1.0915040850989564,473.30802535134455,282.1429534756004,-7.674233139268075,0.8571428571428571,0.9428571428571428,35,common_dates,2020-02-01,2022-12-01,35
MS-VECM,test,1,all,226.05339371852983,323.40454920365477,5.391833037166779,5.73967457382404,0.6653486500581723,427.5178453673512,194.0435142080571,-7.383078532804657,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27
MS-VECM,validation,1,all,441.26002478200115,572.4653549079552,13.236446774379651,12.447969209934671,1.2987717502658052,557.8877206095488,321.80534659590626,-7.7837193484967235,0.7428571428571429,0.9142857142857143,35,common_dates,2020-02-01,2022-12-01,35
Naive,test,1,all,1180.5794522485394,1350.8071814239772,26.25437736988761,31.865134947187993,3.4748292512610672,2352.246118915206,945.0203125250403,-10.377929218444754,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27
Naive,validation,1,all,1029.3448030071818,1328.0723215695268,35.694347746002094,26.73888522198556,3.0296964971824,1042.1957910327405,812.7124533194565,-10.257678944961604,0.5142857142857142,0.6857142857142857,35,common_dates,2020-02-01,2022-12-01,35
VECM,test,1,all,1393.163120527872,1556.3436578458402,32.04516902281409,40.29267391655631,4.100532119010024,2767.0223835968095,1168.1354442029149,-12.905066956064793,0.18518518518518517,0.2222222222222222,27,common_dates,2023-01-01,2025-03-01,27
VECM,validation,1,all,1253.9735967994736,1538.7930352095273,45.23516773067173,32.76274296117052,3.6908520863791385,1270.2790588144076,1040.2704716853625,-13.28372642451442,0.17142857142857143,0.5142857142857142,35,common_dates,2020-02-01,2022-12-01,35
XGBoost,test,1,all,690.4889368127893,886.1322330488664,17.46798934180099,20.212379914138314,2.0323334873730468,1303.059497974537,685.9830071898983,-7022.465428352288,0.037037037037037035,0.1111111111111111,27,common_dates,2023-01-01,2025-03-01,27
XGBoost,validation,1,all,1542.4998241650148,2087.1588621251017,56.58934115342987,36.31126164341453,4.5400786019654165,1579.6753876527735,1540.1977752701741,-147508.29600868624,0.0,0.0,35,common_dates,2020-02-01,2022-12-01,35
