model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,896.2363082988318,1170.390372884875,21.60856574591753,25.90452789136864,3.0025975081752287,1785.5782432023416,734.1573779598625,-10.123757812328735,0.4166666666666667,0.5,36,full,2023-01-01,2025-12-01,
ARIMA,validation,1,all,1723.674571215295,1986.2690197211512,70.3572020058127,71.77998636086049,5.774705760648993,2426.5672874655834,1482.7443906137153,-15.949787312898444,0.14285714285714285,0.2857142857142857,35,full,2020-02-01,2022-12-01,
BVAR,test,1,all,959.6627573585653,1209.0448135381062,21.29110105754055,25.88918569370829,3.21509068228089,1907.2539754873287,788.7392000280255,-10.196938317749611,0.4166666666666667,0.4722222222222222,36,full,2023-01-01,2025-12-01,
BVAR,validation,1,all,1132.7284097455686,1418.0811537588265,39.70745685681378,29.436762694268108,3.7949003728682866,1144.54159196129,910.3160279420018,-11.38633784295752,0.34285714285714286,0.6571428571428571,35,full,2020-02-01,2022-12-01,
MS-VAR,test,1,all,230.34319753015643,311.7527123873274,5.198389638189099,5.4176609156162066,0.7717026241014026,408.41478249038164,186.63875348964342,-7.325030399410827,0.9722222222222222,1.0,36,full,2023-01-01,2025-12-01,
MS-VAR,validation,1,all,504.3739025540329,701.3278980085158,17.405839773430618,20.424462598148896,1.689768433809533,753.7395219371721,384.8240959688924,-8.108010071188074,0.7142857142857143,0.8571428571428571,35,full,2020-02-01,2022-12-01,
MS-VECM,test,1,all,274.124785963903,357.68705043470067,6.192081192624011,6.549897418077273,0.9183810024686497,518.1356437958564,206.9340322062015,-7.386259267476662,0.9166666666666666,1.0,36,full,2023-01-01,2025-12-01,
MS-VECM,validation,1,all,453.8431029039376,579.4612985656078,14.273769562834579,14.413931491595909,1.5204786474991923,592.121809981401,328.006347556016,-7.813201870417243,0.7142857142857143,0.8857142857142857,35,full,2020-02-01,2022-12-01,
Naive,test,1,all,935.851255853071,1178.9472483420434,20.469342901823072,24.702506698324086,3.135316682472718,1864.1568114086267,761.484488425461,-9.881838123669574,0.4444444444444444,0.5277777777777778,36,full,2023-01-01,2025-12-01,
Naive,validation,1,all,1029.3448030071818,1328.0723215695268,35.694347746002094,26.73888522198556,3.4485415419389054,1042.1957910327405,821.9659196694427,-10.690235890502956,0.5142857142857142,0.6571428571428571,35,full,2020-02-01,2022-12-01,
VECM,test,1,all,956.8061834190105,1194.5289114704553,21.642132461299944,26.192983508917564,3.205520503396812,1892.3366781255863,782.3888174252925,-10.295799669976427,0.3611111111111111,0.5277777777777778,36,full,2023-01-01,2025-12-01,
VECM,validation,1,all,1289.6143681793678,1532.197993408865,46.567986935265345,33.98836450051657,4.320504372058131,1298.4011323416198,1056.4855374958267,-12.556502171894998,0.2,0.34285714285714286,35,full,2020-02-01,2022-12-01,
XGBoost,test,1,all,475.7449645996094,640.5828291390734,11.819138413645256,13.064275287313777,1.5938549152791128,900.8351440429688,466.4312168067368,-928.9466861074696,0.027777777777777776,0.05555555555555555,36,full,2023-01-01,2025-12-01,
XGBoost,validation,1,all,1037.3165315782123,1183.4709771766918,37.81890948333689,29.183451210165266,3.4752486638459157,1065.8057535995783,1031.3325074773263,-6336.134676858972,0.02857142857142857,0.02857142857142857,35,full,2020-02-01,2022-12-01,
