model,split,horizon,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n
ARIMA,test,1,2142.661362239349,2334.711764642105,36.5660679290222,46.38024759919763,8.176791899765194,4285.322724478698,1916.5407126052353,-20.309449092458433,0.07692307692307693,0.15384615384615385,13
ARIMA,test,3,2942.5333091152474,2980.979493264661,49.25136800366535,65.68997695126392,11.229251131693818,5885.066618230495,2541.5093120150773,-16.275196112268173,0.0,0.0,11
ARIMA,test,6,1974.6656519725918,2010.1267420187685,32.177948934188606,38.555818527448665,7.535689209852091,3949.3313039451837,1409.508962180345,-9.657879419164757,0.125,0.625,8
ARIMA,test,12,1782.5697035861235,1784.4213382834594,29.33807214013805,34.39483714748962,6.802615555552104,3565.139407172247,1107.9577852244283,-8.937259445146458,1.0,1.0,2
ARIMA,validation,1,1790.379913737767,2119.4791186020498,50.96637672092259,35.84577967777539,6.832420761465127,1792.6447193519114,1567.1362344149445,-19.324419045886604,0.11538461538461539,0.19230769230769232,26
ARIMA,validation,3,2336.690659633367,2645.545520205724,69.77289740050693,46.25371899339759,8.917243571321173,2336.690659633367,1994.9656858386036,-16.216734967888275,0.125,0.25,24
ARIMA,validation,6,2504.043043052889,2811.5147609550168,76.78646594504285,50.977187539682745,9.55589120704509,2504.043043052889,2074.1228540643197,-13.01646162814675,0.14285714285714285,0.2857142857142857,21
ARIMA,validation,12,4117.100516269876,4368.98176001637,149.35588981795252,78.49373340884765,15.711616751594766,4117.100516269876,3445.4399849496763,-14.710654157358583,0.0,0.0,15
BVAR,test,1,2025.9414565076243,2176.492860352542,34.77405038637731,43.217190657853955,7.731367159977539,4051.5291404431405,1772.6566778765086,-16.504375771967194,0.07692307692307693,0.15384615384615385,13
BVAR,test,3,2304.577537728752,2331.589513765927,38.584536370166305,47.94327541878303,8.794693960965855,4609.155075457504,1879.8836467963288,-12.345909451263525,0.0,0.0,11
BVAR,test,6,2472.663725026536,2485.0979818904348,40.43681500626517,50.74473914191043,9.436141927957014,4945.327450053072,1895.300521614653,-10.735214146317432,0.0,0.125,8
BVAR,test,12,2350.826616752379,2351.128001807293,38.69259450529784,47.9766477634558,8.971188997184159,4701.653233504758,1589.7923364683413,-9.490655870106357,0.0,1.0,2
BVAR,validation,1,1262.1839974701984,1567.8818734435638,38.924599230771356,27.80139503210395,4.8167274905919975,1274.1261512440442,1064.0149774123768,-13.069237094706022,0.34615384615384615,0.46153846153846156,26
BVAR,validation,3,1761.7999210906091,2015.746377714456,55.492934947649516,38.379341801279445,6.72335422557147,1761.7999210906091,1431.3070145831086,-11.868860457531222,0.25,0.4166666666666667,24
BVAR,validation,6,2313.372107690822,2515.060466313465,69.83765647542643,48.2363975860989,8.828255665906768,2313.372107690822,1833.918105239294,-11.485717819753344,0.14285714285714285,0.3333333333333333,21
BVAR,validation,12,4135.453519485741,4364.290571426128,144.86584257212542,78.03172001371941,15.781655205023082,4135.453519485741,3447.077787336047,-14.33146297261919,0.0,0.2,15
BoPIdentity,test,1,1138.3846153846155,1297.8160649574108,19.130008202625476,21.765200227021502,4.344286160163857,2276.769230769231,,,,,13
BoPIdentity,test,3,1443.6363636363637,1483.4858212393476,24.05316129661887,27.48242916202594,5.509183267322894,2887.2727272727275,,,,,11
BoPIdentity,test,6,1604.125,1623.3086197639684,26.173477512497623,30.183870148261896,6.121637575292047,3208.25,,,,,8
BoPIdentity,test,12,1579.5,1579.5348998993343,25.997639223886047,29.88206270092455,6.027664022550479,3159.0,,,,,2
BoPIdentity,validation,1,1194.1254311098585,1505.6367026986793,37.40212711153329,26.79020330310126,4.557003418495394,1211.4248380673414,,,,,26
BoPIdentity,validation,3,1704.1522193919234,1972.3804528775536,55.31703357696301,37.92182340111248,6.503359937814655,1704.1522193919234,,,,,24
BoPIdentity,validation,6,2227.528077069384,2424.681746294306,70.82636145553595,47.95161613930935,8.500658973961492,2227.528077069384,,,,,21
BoPIdentity,validation,12,3732.9621648663674,3871.414071048099,134.11762847368217,75.00118982744198,14.245673782024156,3732.9621648663674,,,,,15
LSTM,test,1,1363.8175970569105,1412.6758463206882,23.84629641091013,27.324852591379468,5.204580096930159,2698.8221520118286,,,,,13
LSTM,test,3,2138.974716944002,2164.8198348617325,36.10476905426657,44.345101762790314,8.162722979720453,4277.949433888004,,,,,11
LSTM,test,6,3102.514353172034,3109.97355806732,50.829376011986604,68.2063575242517,11.839768373574891,6205.028706344068,,,,,8
LSTM,test,12,3591.577576647527,3591.6700658295103,59.1151964055898,83.92138855752567,13.706124053787487,7183.155153295054,,,,,2
LSTM,validation,1,1277.835840494419,1572.6545394404461,42.7898580194647,31.36219254800831,4.8764578173306505,1368.921990498117,,,,,26
LSTM,validation,3,1867.3581893593637,2110.468100416763,62.93028336099896,41.31862440299225,7.126184093204458,1884.8110715536393,,,,,24
LSTM,validation,6,2512.986085464836,2713.0658963672104,84.54840781918976,52.958951170936125,9.590019510304751,2512.986085464836,,,,,21
LSTM,validation,12,3973.350434571334,4050.1939069469736,144.36127847892428,78.74868114847067,15.163039862900249,3973.350434571334,,,,,15
LocalLevelSV,test,1,1753.0152914210203,1900.3147488977852,29.972641573592195,36.16141267455295,6.689830454624456,3505.419349227474,1505.8312985720745,-14.450193629553924,0.07692307692307693,0.15384615384615385,13
LocalLevelSV,test,3,2110.5740929266876,2138.0288195293983,35.319133750269124,43.01881293282981,8.054340947680473,4221.148185853375,1709.9679286337675,-11.983746091804905,0.0,0.0,11
LocalLevelSV,test,6,2271.0627292903246,2284.6530983382613,37.12492174497447,45.64817775993963,8.666795255649628,4542.125458580649,1742.3029126797037,-10.670234347500237,0.0,0.125,8
LocalLevelSV,test,12,2246.4377292903246,2246.462268006981,36.97516735069762,45.36150233205356,8.572821702908062,4492.875458580649,1557.8170835514131,-9.583813642664193,0.0,1.0,2
LocalLevelSV,validation,1,1308.4080196347243,1616.2849229514763,41.15664782984106,29.076085195948977,4.993126905203386,1323.6632918211394,1107.0755939599173,-13.642023657545373,0.3076923076923077,0.38461538461538464,26
LocalLevelSV,validation,3,1823.099004199352,2086.3362392198705,59.44546353642115,40.01811163954093,6.957282859867072,1823.099004199352,1509.6252186716956,-12.662540906191253,0.16666666666666666,0.375,24
LocalLevelSV,validation,6,2334.074530343156,2527.286894092307,74.88340538150207,49.75252178701902,8.90725993827214,2334.074530343156,1904.4319794505388,-12.06822587914443,0.14285714285714285,0.19047619047619047,21
LocalLevelSV,validation,12,3799.827557232438,3926.9349316664698,136.81885963034355,75.99622064948957,14.50084448156115,3799.827557232438,3151.708086725659,-13.82571309007425,0.0,0.0,15
MS-VAR,test,1,509.30550546972637,1126.416691660298,10.20808301312242,15.486015570896852,1.9436039707545147,947.7385691928301,441.3187704502737,-9.523593313385314,0.9230769230769231,0.9230769230769231,13
MS-VAR,test,3,958.4238059429765,1724.669774362598,16.75785797280448,26.03111621915309,3.657522439657095,1830.1514951756747,765.3444586415321,-12.689537165174151,0.7272727272727273,0.9090909090909091,11
MS-VAR,test,6,1515.500034686881,2269.3489695694043,25.634259668885246,38.686469943854945,5.783428322416028,3031.000069373762,1263.8040538844343,-16.725566835574984,0.25,0.5,8
MS-VAR,test,12,4015.5940895795857,4749.679139857577,66.1672294049563,113.83117120435165,15.324249460541447,8031.188179159171,3723.036385349795,-49.024631213276024,0.0,0.0,2
MS-VAR,validation,1,566.3863520614008,710.701901336055,16.105426026161318,15.849768919160018,2.1614350346211553,769.6408066645928,413.3498012198767,-8.22889786019233,0.6538461538461539,0.7692307692307693,26
MS-VAR,validation,3,995.0882204452579,1200.577409914584,29.99840187084758,24.67497865318109,3.7974406240213114,1185.9142437622584,787.5101670146414,-10.410547835825122,0.375,0.5833333333333334,24
MS-VAR,validation,6,1387.3082824128699,1615.2367989191391,41.16397136221999,31.449617880786096,5.294224895274679,1404.332736263033,1146.152316491861,-13.146387588128082,0.14285714285714285,0.42857142857142855,21
MS-VAR,validation,12,3126.24038990242,3273.165678181931,106.67183781436688,66.26630246743893,11.930311316276669,3126.24038990242,2865.4241161817367,-32.195681160211265,0.0,0.0,15
MS-VECM,test,1,519.9357818631731,1183.3185190404276,10.484720803166619,16.613849014870503,1.9841710708283018,982.19967751326,455.86302873782745,-9.767490501241964,0.9230769230769231,0.9230769230769231,13
MS-VECM,test,3,963.0435992785843,1838.2827547095803,16.875678428375398,25.534947260817592,3.675152425146593,1847.7297274424723,782.1978480341003,-13.440539786935439,0.7272727272727273,0.9090909090909091,11
MS-VECM,test,6,1560.2273568297514,2541.940545671803,26.514337154624556,37.33474447811621,5.954116053030529,3120.454713659503,1312.1733175995705,-19.158764473287178,0.25,0.75,8
MS-VECM,test,12,4754.14152808652,6050.233494981872,78.35771668494033,109.06830869192007,18.14268303068077,9508.28305617304,4466.29129399734,-75.08329931554515,0.0,0.5,2
MS-VECM,validation,1,567.0638852620694,710.0812380679874,16.343109964148198,15.859542337878487,2.164020626579214,765.2672932320643,414.65910040827873,-8.226666576646776,0.6153846153846154,0.7692307692307693,26
MS-VECM,validation,3,945.8824703227601,1108.807050372834,27.75724044907205,24.633015807151224,3.609662384251771,1184.5476282999973,739.0270910770406,-9.92059664502034,0.3333333333333333,0.5416666666666666,24
MS-VECM,validation,6,1073.6317927162982,1345.4025896004227,29.72210489017555,25.511360055991624,4.097177417171513,1172.328406583553,872.1279714322078,-11.29653573629375,0.38095238095238093,0.47619047619047616,21
MS-VECM,validation,12,2618.7882776447964,2872.392114437697,86.83320250375624,57.94658013832723,9.993780236680262,2746.280800214726,2365.500166957607,-26.434568412023008,0.06666666666666667,0.2,15
Naive,test,1,1138.3846153846155,1297.8160649574108,19.130008202625476,21.765200227021502,4.344286160163857,2276.769230769231,916.8072911394728,-10.29441534750412,0.23076923076923078,0.38461538461538464,13
Naive,test,3,1443.6363636363637,1483.4858212393476,24.05316129661887,27.48242916202594,5.509183267322894,2887.2727272727275,1154.394266153829,-11.254023612393379,0.0,0.18181818181818182,11
Naive,test,6,1604.125,1623.3086197639684,26.173477512497623,30.183870148261896,6.121637575292047,3208.25,1312.1077562200835,-12.05994739903284,0.0,0.0,8
Naive,test,12,1579.5,1579.5348998993343,25.997639223886047,29.88206270092455,6.027664022550479,3159.0,1286.9492042018649,-11.79984003990167,0.0,0.0,2
Naive,validation,1,1194.1254311098585,1505.6367026986793,37.40212711153329,26.79020330310126,4.557003418495394,1211.4248380673414,999.2147592902872,-12.314222278929568,0.34615384615384615,0.5384615384615384,26
Naive,validation,3,1704.1522193919234,1972.3804528775536,55.31703357696301,37.92182340111248,6.503359937814655,1704.1522193919234,1471.807060847226,-16.091069997368844,0.16666666666666666,0.3333333333333333,24
Naive,validation,6,2227.528077069384,2424.681746294306,70.82636145553595,47.95161613930935,8.500658973961492,2227.528077069384,1984.953760698422,-20.750633730738265,0.09523809523809523,0.14285714285714285,21
Naive,validation,12,3732.9621648663674,3871.414071048099,134.11762847368217,75.00118982744198,14.245673782024156,3732.9621648663674,3472.1397235501327,-42.19840752897858,0.0,0.0,15
VECM,test,1,5538.969519825841,5782.690199139826,96.74522806618268,184.72735909760738,21.137731748438068,11071.074308809299,5308.727025367518,-91.36266856967362,0.07692307692307693,0.07692307692307693,13
VECM,test,3,3691.305948653712,3707.072138220571,62.02099924853349,89.97237316774816,14.086705959434346,7382.611897307424,3440.1123984934015,-41.68045470421851,0.0,0.0,11
VECM,test,6,2690.706154690651,2702.1867941104942,44.01567236375777,56.4912546960258,10.268232151873367,5381.412309381302,2439.5126093697327,-25.43516377412711,0.0,0.0,8
VECM,test,12,3255.7577013211144,3255.7746328196226,53.588170177379055,73.20204968372755,12.424573322187356,6511.515402642229,3004.564151160807,-33.75447538880159,0.0,0.0,2
VECM,validation,1,1300.220929192274,1573.7014066081126,40.4052165411184,29.15409033492642,4.961883454421921,1310.2178036693158,1092.7587888433243,-13.701711159056858,0.2692307692307692,0.4230769230769231,26
VECM,validation,3,1733.8643468599196,1987.7190117058137,54.218674953104454,37.7910901320647,6.616746909497007,1733.8643468599196,1510.0211431152456,-17.782240923712855,0.125,0.25,24
VECM,validation,6,2227.0046245014173,2437.569748960834,66.87769488624711,46.73490735794522,8.4986613821847,2227.0046245014173,1991.0035421974342,-23.371527262921102,0.047619047619047616,0.09523809523809523,21
VECM,validation,12,3979.957739652479,4198.0464075555055,139.92357965004487,76.43440126750377,15.188254560667664,3979.957739652479,3740.2466780959344,-56.14171040942636,0.0,0.0,15
XGBoost,test,1,242.8076171875,307.13804317207587,4.390871921802293,4.478476749143787,0.9265987581654341,430.0861253004808,235.14784965212232,-252.18316707518528,0.07692307692307693,0.07692307692307693,13
XGBoost,test,3,434.2061878551136,475.69227454763706,7.308206814814805,7.532495130469786,1.6570110901570518,768.953125,426.4375113485177,-600.2718247604976,0.0,0.0,11
XGBoost,test,6,532.5307006835938,593.7504925670839,8.618388411825345,9.01530327617266,2.032235609632223,984.4583740234375,524.7620235100104,-933.2223875704645,0.0,0.0,8
XGBoost,test,12,669.294189453125,670.5412273206923,11.01515175269348,11.121475801554727,2.5541503680080315,1024.379150390625,661.5255122795417,-1189.2472248650354,0.0,0.0,2
XGBoost,validation,1,1066.703129795007,1250.967243103359,30.577857788468965,24.274886513862665,4.070736358472528,1090.3196941803485,1060.4077350089733,-6817.443688686426,0.0,0.0,26
XGBoost,validation,3,2041.1021823780773,2245.2370336699514,65.43328627611147,43.466401413818325,7.7892232928582485,2041.5573621823107,2035.0634362193925,-20987.879166723895,0.041666666666666664,0.041666666666666664,24
XGBoost,validation,6,2855.7893280943135,3039.0986930284885,91.47575714782397,56.89962424423183,10.89822006263862,2855.7893280943135,2849.782961464729,-41059.61275883511,0.0,0.0,21
XGBoost,validation,12,4170.637864143724,4300.895452458763,150.46015745798596,80.26886025951595,15.915925169221842,4170.637864143724,4164.905585000656,-93934.07612024045,0.0,0.0,15
