model,split,horizon,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n
ARIMA,test,1,896.2363082988318,1170.390372884875,21.60856574591753,25.90452789136864,3.0025975081752287,1785.5782432023416,734.1573779598625,-10.123757812328735,0.4166666666666667,0.5,36
ARIMA,test,3,1239.6356375518887,1561.6280451957725,32.332927226725886,40.32682577406421,4.153064143789904,2476.5940335449436,967.718907542929,-9.801708477052657,0.3888888888888889,0.7222222222222222,36
ARIMA,test,6,1983.1131569118343,2452.974551496281,51.280271551684464,63.257885674105815,6.643884618639642,3965.806752237889,1551.4220773132959,-10.700227805718308,0.4166666666666667,0.6388888888888888,36
ARIMA,test,12,2996.842831635115,3444.595281726299,67.489281140908,92.32803489726729,10.040111893860127,5983.868998446406,2308.9954281356204,-10.959900230222512,0.3888888888888889,0.5,36
ARIMA,validation,1,1723.674571215295,1986.2690197211512,70.3572020058127,71.77998636086049,5.774705760648993,2426.5672874655834,1482.7443906137153,-15.949787312898444,0.14285714285714285,0.2857142857142857,35
ARIMA,validation,3,1992.2123716388019,2192.7899765706866,77.30378000866774,72.13978135153442,6.674369078165058,2546.378237815831,1625.3606862447698,-12.330156097686475,0.15151515151515152,0.36363636363636365,33
ARIMA,validation,6,2117.083535715212,2332.7607494546933,83.83607861536372,68.2786529426633,7.092716162105953,2514.2416160090866,1655.20550647952,-10.698636412792093,0.2,0.4,30
ARIMA,validation,12,3230.668540857196,3348.617242443657,136.31202903791208,77.61439830238639,10.82348173210086,3230.668540857196,2491.8289786451405,-11.328524047243704,0.0,0.2916666666666667,24
BVAR,test,1,964.3535382059895,1214.8836503068123,21.407119595963696,26.04250306314831,3.2308058756439064,1917.191156265234,792.1099672192958,-10.177932133118592,0.3888888888888889,0.5,36
BVAR,test,3,1179.7125380856014,1438.0386170106135,25.336039917831705,31.542311272844724,3.952307995580364,2343.4673085999143,916.6091626097563,-9.3752530145081,0.4166666666666667,0.5277777777777778,36
BVAR,test,6,1488.436134598377,1793.4804426700234,30.3895998327042,39.15331742245648,4.986602961116479,2963.303654702967,1118.4801573160553,-9.374572282756183,0.3333333333333333,0.8055555555555556,36
BVAR,test,12,2149.843348077387,2488.9309704901543,40.664056108116256,55.142807354715714,7.202469058809796,4292.508076327356,1560.4866459524528,-9.704176563193473,0.5833333333333334,0.7222222222222222,36
BVAR,validation,1,1128.914475289933,1412.7223389173037,39.58631407357757,29.37505678686644,3.782122816339059,1139.899906546707,907.1724830710485,-11.410579335232441,0.34285714285714286,0.6285714285714286,35
BVAR,validation,3,1476.1851229374731,1786.425407339311,51.52028849063325,36.592678875273556,4.945559257859825,1476.1851229374731,1153.4425919945154,-10.454460870924496,0.5151515151515151,0.5757575757575758,33
BVAR,validation,6,2064.3971796396872,2348.9628408759972,75.07724898434492,49.35558032275726,6.916204766615317,2064.3971796396872,1611.7782403714143,-10.528294267697495,0.3,0.4,30
