model,split,horizon,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n
ARIMA,test,1,1219.321948114888,1341.4688611456693,20.733208498324363,23.581848984564978,2.934026436549862,2438.643896229776,945.0027924161408,-10.05211212010395,0.2,0.4,10
ARIMA,test,3,1599.1231877197297,1639.3463421886424,26.90595754353996,31.232752593771444,3.847933448030981,3198.2463754394594,1135.0809505690822,-9.41440677424814,0.125,0.75,8
ARIMA,test,6,2090.941632116524,2112.644622114499,34.0867531919376,41.17976562750572,5.0313848901000435,4181.883264233048,1446.244751479545,-9.497778175658452,0.0,0.8,5
ARIMA,test,12,,,,,,,,,,,0
ARIMA,validation,1,1426.2450252329224,1678.1266223580965,40.706188856610616,29.35520257632663,3.4319406908903027,1436.9291380862699,1155.2532462443216,-11.670762265103633,0.30434782608695654,0.43478260869565216,23
ARIMA,validation,3,1802.0207440330612,2053.136472136271,50.69514043827754,35.9152647348615,4.336161183991154,1802.0207440330612,1403.1791028009873,-10.737293021845446,0.2857142857142857,0.47619047619047616,21
ARIMA,validation,6,2276.0116652841393,2498.6791130294555,65.0166165901773,45.0143868402972,5.476714666018897,2276.0116652841393,1753.374406050004,-10.518500845707212,0.2222222222222222,0.5,18
ARIMA,validation,12,4166.427311358463,4283.916849907928,142.40988007174496,76.65343986760564,10.02557847530624,4166.427311358463,3329.208619833182,-12.309668032201165,0.0,0.08333333333333333,12
BVAR,test,1,1365.2325937991832,1483.172342931928,23.297331476990507,26.85475345611048,3.285127876553995,2730.4651875983664,1046.8410201383379,-10.03023129228463,0.2,0.4,10
BVAR,test,3,1619.748763175894,1664.6229653161572,27.232162053245094,31.693272693680267,3.897564297168897,3239.497526351788,1107.7861701822364,-9.175754838609883,0.25,0.75,8
BVAR,test,6,1900.9516181405568,1923.3522497118618,30.971078099374406,36.731099480600996,4.574216277210085,3801.9032362811135,1233.416262420786,-9.10876395751053,0.6,1.0,5
BVAR,test,12,,,,,,,,,,,0
BVAR,validation,1,1278.869426675403,1565.4421181054236,38.425540560539474,27.383273247284848,3.0773141683884875,1298.5884651094575,1019.894242809539,-10.590580704347403,0.30434782608695654,0.5652173913043478,23
BVAR,validation,3,1586.6153103986699,1866.9131853726562,46.37477567374688,32.94369038504126,3.8178360297225113,1586.6153103986699,1195.0735621594315,-9.679018028978911,0.42857142857142855,0.6190476190476191,21
BVAR,validation,6,2130.3178762217112,2357.3794095403746,61.69959016885799,43.046913428415195,5.126135043129992,2131.570261220002,1557.000326772681,-9.703440552528026,0.2777777777777778,0.6111111111111112,18
BVAR,validation,12,3916.732696941675,4030.350270501698,134.0839161160686,73.9291224171878,9.424744051800928,3916.732696941675,2922.381367478852,-10.841708180504476,0.0,0.4166666666666667,12
BoPIdentity,test,1,1158.3,1295.7687679520602,19.59153602465402,22.226162026896805,2.787190722441986,2316.6,,,,,10
BoPIdentity,test,3,1386.875,1439.3703050292513,23.253693510691917,26.489419826585426,3.3372055021900455,2773.75,,,,,8
BoPIdentity,test,6,1609.6,1639.957926289574,26.166518784541744,30.215919803298636,3.8731435611176903,3219.2,,,,,5
BoPIdentity,test,12,,,,,,,,,,,0
BoPIdentity,validation,1,1220.5218895966404,1512.1070757425653,36.61127330456262,26.293157027017,2.936913828214727,1240.077740939882,,,,,23
BoPIdentity,validation,3,1569.7123776166745,1854.93585960917,45.73914166295855,32.56942172120968,3.777162890266379,1569.7123776166745,,,,,21
BoPIdentity,validation,6,2157.91090461117,2384.5615631736164,62.23704220229289,43.37877963578889,5.192531514451046,2157.91090461117,,,,,18
BoPIdentity,validation,12,4004.8949281282926,4120.14765036541,137.05646634835418,74.90432849419442,9.636886806556282,4004.8949281282926,,,,,12
LSTM,test,1,1726.6239796718826,1739.8862726862562,30.642531931679507,36.27633912455069,4.154735679260409,3453.247959343765,,,,,10
LSTM,test,3,2436.7833545907533,2441.2011278719747,41.53455009387273,52.50787283306788,5.8635758944283936,4873.566709181507,,,,,8
LSTM,test,6,3287.248675239206,3292.8814176032406,53.82296087765711,73.64581980771797,7.910031088652702,6574.497350478412,,,,,5
LSTM,test,12,,,,,,,,,,,0
LSTM,validation,1,1437.8713967151095,1732.582631347729,44.62185094702013,30.96568100515895,3.4599169619175116,1598.406738463271,,,,,23
LSTM,validation,3,1921.5101612939636,2202.8349649192705,58.47846976727896,39.25123753327585,4.623685828055374,2105.5748756437583,,,,,21
LSTM,validation,6,2299.0482880620634,2710.060433855688,74.98760362316716,46.186610071748724,5.53214716302574,2396.4076549623146,,,,,18
LSTM,validation,12,3166.2074797740206,3506.3895683791975,112.96981599401776,63.43811086924546,7.6187724362881575,3166.2074797740206,,,,,12
LocalLevelSV,test,1,1538.1002258241158,1644.113777899874,26.384052211488246,30.871074390113655,3.7010952944857975,3076.2004516482316,1217.0840083347389,-10.92059311807852,0.1,0.2,10
LocalLevelSV,test,3,1766.6752258241158,1808.1775252766777,29.736848434136316,35.09571416606394,4.251110074233857,3533.3504516482317,1280.8760092683265,-9.70745073298436,0.0,0.5,8
LocalLevelSV,test,6,1989.4002258241158,2014.0414838103618,32.40361238752477,38.77212700291693,4.787048133161502,3978.8004516482315,1360.5360176297272,-9.379974998970102,0.2,1.0,5
LocalLevelSV,test,12,,,,,,,,,,,0
LocalLevelSV,validation,1,1341.1108667754854,1630.0401106505756,40.31904715266009,28.49899104192001,3.2270843180892372,1358.223005285938,1087.7554914796979,-11.250824459214797,0.30434782608695654,0.5652173913043478,23
LocalLevelSV,validation,3,1685.8096586256502,1960.2261075597687,49.40767258467143,34.62495335349367,4.0565251146719365,1685.8096586256502,1315.863074244145,-10.46083068207093,0.38095238095238093,0.47619047619047616,21
LocalLevelSV,validation,6,2256.0315354355357,2475.5339587800167,65.67770427917651,45.02292501500414,5.428636937842073,2256.0315354355357,1739.619204045403,-10.49458358046474,0.16666666666666666,0.4444444444444444,18
LocalLevelSV,validation,12,4040.097283306523,4154.373518840674,138.16723992936807,75.29834583425341,9.721593426396455,4040.097283306523,3219.204670696225,-12.19781690450075,0.0,0.08333333333333333,12
MS-VAR,test,1,636.3094755031577,734.9470136924153,11.690330704877935,10.783278854116052,1.5311368960755654,636.3094755031577,427.07577086674854,-8.039588826236356,0.8,0.9,10
MS-VAR,test,3,259.19512290977445,275.16481577118645,4.456933724112052,4.3998045958811876,0.6236952791818472,316.32114609115854,195.75798074460678,-7.473287255455114,1.0,1.0,8
MS-VAR,test,6,384.6255258827101,495.2370791025984,6.235050333621257,6.5871127599268275,0.9255155808984371,767.4548979248048,286.07376907477953,-7.680019780574689,0.8,1.0,5
MS-VAR,test,12,,,,,,,,,,,0
MS-VAR,validation,1,567.0030250864264,665.691204377573,15.4274557770887,14.16334347665381,1.364366374097754,677.427737831655,384.9609253286091,-7.928420365269968,0.7391304347826086,0.9130434782608695,23
MS-VAR,validation,3,955.0706938640341,1109.1905126137733,26.025077716607925,21.18585797561438,2.2981647044928484,977.0241696129659,714.4332713668188,-8.946845698120157,0.38095238095238093,0.6190476190476191,21
MS-VAR,validation,6,1700.9117657804998,1831.931294727031,49.2887549829809,36.37657383773525,4.092864968726431,1700.9117657804998,1367.1240799205002,-11.706529300068878,0.1111111111111111,0.2222222222222222,18
MS-VAR,validation,12,3570.2551957289293,3618.624033257741,116.82554139705042,70.05944979620823,8.591023187676742,3570.2551957289293,3217.7028781157237,-24.123660336228497,0.0,0.0,12
MS-VECM,test,1,367.2281150985903,444.4650402791147,6.697163754278075,6.651220121144396,0.8836525903674771,550.2812016641122,262.60330751836125,-7.621844167748813,0.9,1.0,10
MS-VECM,test,3,599.5195577279628,705.7302754180196,10.175853921858673,10.948290994513151,1.442610160771735,1176.003140501432,411.85834053491925,-7.988264341602347,0.625,1.0,8
MS-VECM,test,6,1350.472943480901,1545.0675592229816,21.964822386999895,25.486317350206757,3.2496120685305083,2584.7925336275057,1043.0641686096947,-10.291822390767505,0.4,0.6,5
MS-VECM,test,12,,,,,,,,,,,0
MS-VECM,validation,1,565.7921872213583,656.9643002055439,15.114655495158951,14.365742169471476,1.3614527627156428,717.666167482722,378.1948513263255,-7.913284016883615,0.782608695652174,0.9130434782608695,23
