model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1105.2029582356054,1249.8610855014506,25.25612434659103,29.14215583738342,3.2529717170182066,2159.0893438168073,880.1567375521588,-10.248740068514893,0.25925925925925924,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27
ARIMA,test,1,crisis,1124.8271430733414,1242.034130119167,33.073922058850194,38.19876780491121,3.3107320747615527,2144.7455659000716,889.5358503164906,-10.166151864922425,0.25,0.25,12,common_dates,2023-01-01,2023-12-01,12
ARIMA,test,1,tranquil,1089.5036103654165,1256.0875348425584,19.001886176783692,21.896866263361193,3.2067634308235298,2170.564366150196,872.6534473406936,-10.314810631388866,0.26666666666666666,0.4,15,common_dates,2024-01-01,2025-03-01,15
ARIMA,validation,1,all,1365.527716797707,1549.7345212941673,48.727303861062275,35.98287014989349,4.019192138825641,1369.5304916807956,1101.85615783532,-11.69810859575595,0.17142857142857143,0.34285714285714286,35,common_dates,2020-02-01,2022-12-01,35
ARIMA,validation,1,crisis,1401.569793147402,1572.1760006988202,50.108574246741334,36.98884251739975,4.1252756903710885,1401.569793147402,1130.2954713005322,-11.830543831327851,0.14705882352941177,0.3235294117647059,34,common_dates,2020-03-01,2022-12-01,34
ARIMA,validation,1,tranquil,140.0971209080908,140.0971209080908,1.7641107479745912,1.7798096546804447,0.41235138628044393,280.1942418161816,134.91950001809877,-7.195310586311417,1.0,1.0,1,common_dates,2020-02-01,2020-02-01,1
BVAR,test,1,all,1190.9719001096005,1359.5617455191311,26.809361121198876,32.55570320428417,3.5054176049301415,2366.2130132693032,956.0237029346297,-10.539575701231422,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27
BVAR,test,1,crisis,1228.5246854030083,1368.9298055982133,34.883165988166695,43.343504673933865,3.615947664178021,2421.6551001687462,978.053145842027,-10.516324280735551,0.3333333333333333,0.3333333333333333,12,common_dates,2023-01-01,2023-12-01,12
BVAR,test,1,tranquil,1160.9296718748742,1352.0205625870183,20.350317227624625,23.925462028564418,3.416993557531838,2321.8593437497484,938.4001486087124,-10.558176837628121,0.26666666666666666,0.4,15,common_dates,2024-01-01,2025-03-01,15
BVAR,validation,1,all,1197.961217644384,1474.6167340914978,42.424067288180225,31.18620305717175,3.525989439354298,1209.0780363299543,954.7025415363269,-11.203334309603493,0.3142857142857143,0.5714285714285714,35,common_dates,2020-02-01,2022-12-01,35
BVAR,validation,1,crisis,1221.7515871634848,1494.6563440895825,43.5277332084785,31.955724855909867,3.5960122334541205,1221.7515871634848,975.9237021284188,-11.313270434387157,0.29411764705882354,0.5588235294117647,34,common_dates,2020-03-01,2022-12-01,34
BVAR,validation,1,tranquil,389.0886539949588,389.0886539949588,4.899425998038718,5.022461900075666,1.1452144399603257,778.1773079899176,233.1830814051921,-7.465506066958885,1.0,1.0,1,common_dates,2020-02-01,2020-02-01,1
MS-VAR,test,1,all,218.28169305684952,315.24487674590387,5.15766261271038,5.478484936976179,0.6424740076613246,409.6054073664217,191.16594064929888,-7.374133069624112,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27
MS-VAR,test,1,crisis,239.95368952545314,372.4599163954379,7.249986972843791,7.860510056284013,0.7062617409806715,463.2357337651538,214.63495872301255,-7.451700650403873,0.8333333333333334,1.0,12,common_dates,2023-01-01,2023-12-01,12
MS-VAR,test,1,tranquil,200.9440958819666,260.57952089359384,3.483803124603653,3.572864841529913,0.591443821005847,366.7011462474359,172.3907261903279,-7.3120790050003075,1.0,1.0,15,common_dates,2024-01-01,2025-03-01,15
MS-VAR,validation,1,all,370.8404648791057,513.725953777221,11.357730970478096,10.861334937463733,1.0915040850989564,473.30802535134455,282.1429534756004,-7.674233139268075,0.8571428571428571,0.9428571428571428,35,common_dates,2020-02-01,2022-12-01,35
MS-VAR,validation,1,crisis,372.10921606333505,518.1872600044032,11.570415602687985,11.056862871959158,1.0952384324307987,467.9522070019543,284.47136066861424,-7.682528337936244,0.8529411764705882,0.9411764705882353,34,common_dates,2020-03-01,2022-12-01,34
MS-VAR,validation,1,tranquil,327.7029246153061,327.7029246153061,4.126453475341778,4.213385164619262,0.9645362758163105,655.4058492306121,202.9771089131272,-7.39219638455042,1.0,1.0,1,common_dates,2020-02-01,2020-02-01,1
MS-VECM,test,1,all,226.05339371852983,323.40454920365477,5.391833037166779,5.73967457382404,0.6653486500581723,427.5178453673512,194.0435142080571,-7.383078532804657,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27
MS-VECM,test,1,crisis,252.8415526951776,380.7357450282286,7.692829808865607,8.354931049928831,0.7441949134097819,491.48923743469953,217.9922498453166,-7.462398939014119,0.8333333333333334,1.0,12,common_dates,2023-01-01,2023-12-01,12
MS-VECM,test,1,tranquil,204.6228665372116,268.87755274167864,3.551035619807716,3.6474693929402076,0.6022716393768845,376.34073171347256,174.88452569824955,-7.319622207837086,1.0,1.0,15,common_dates,2024-01-01,2025-03-01,15
MS-VECM,validation,1,all,441.26002478200115,572.4653549079552,13.236446774379651,12.447969209934671,1.2987717502658052,557.8877206095488,321.80534659590626,-7.7837193484967235,0.7428571428571429,0.9142857142857143,35,common_dates,2020-02-01,2022-12-01,35
MS-VECM,validation,1,crisis,444.05236337295645,577.7782622821526,13.497492644769697,12.68296555749858,1.30699051080479,553.9243881163283,325.0434762510117,-7.79459694064973,0.7352941176470589,0.9117647058823529,34,common_dates,2020-03-01,2022-12-01,34
MS-VECM,validation,1,tranquil,346.3205126895218,346.3205126895218,4.360887181118175,4.458093392761787,1.0193338919403243,692.6410253790436,211.7089383223204,-7.4138812152945555,1.0,1.0,1,common_dates,2020-02-01,2020-02-01,1
Naive,test,1,all,1180.5794522485394,1350.8071814239772,26.25437736988761,31.865134947187993,3.4748292512610672,2352.246118915206,945.0203125250403,-10.377929218444754,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27
Naive,test,1,crisis,1186.3037675592134,1338.9154540596755,33.35151232577741,41.518922462171226,3.4916777727621717,2352.5537675592136,941.8575065922843,-10.280587889376372,0.3333333333333333,0.3333333333333333,12,common_dates,2023-01-01,2023-12-01,12
Naive,test,1,tranquil,1176.0,1360.2457130974535,20.576669405175778,24.142104935201406,3.4613504340601833,2352.0,947.550557271245,-10.455802281699459,0.26666666666666666,0.4,15,common_dates,2024-01-01,2025-03-01,15
Naive,validation,1,all,1029.3448030071818,1328.0723215695268,35.694347746002094,26.73888522198556,3.0296964971824,1042.1957910327405,812.7124533194565,-10.257678944961604,0.5142857142857142,0.6857142857142857,35,common_dates,2020-02-01,2022-12-01,35
Naive,validation,1,crisis,1047.0084283627275,1345.4532320367318,36.58538029616291,27.36211584099153,3.0816862907976166,1047.6261648326079,829.1076375168295,-10.338071528726712,0.5,0.6764705882352942,34,common_dates,2020-03-01,2022-12-01,34
Naive,validation,1,tranquil,428.78154091863234,428.78154091863234,5.399241040534346,5.54904417578246,1.262043514265053,857.5630818372647,255.2761906087624,-7.524331096947948,1.0,1.0,1,common_dates,2020-02-01,2020-02-01,1
VECM,test,1,all,1393.163120527872,1556.3436578458402,32.04516902281409,40.29267391655631,4.100532119010024,2767.0223835968095,1168.1354442029149,-12.905066956064793,0.18518518518518517,0.2222222222222222,27,common_dates,2023-01-01,2025-03-01,27
VECM,test,1,crisis,1504.0015251055593,1629.082414358634,43.424611316996724,56.35849213486174,4.4267655882238985,2964.5693709285165,1260.2079386698883,-13.436620320858077,0.16666666666666666,0.16666666666666666,12,common_dates,2023-01-01,2023-12-01,12
VECM,test,1,tranquil,1304.492396865722,1495.6077146606665,22.941615187468,27.440019341911995,3.8395453436389246,2608.984793731444,1094.477448629336,-12.479824264230166,0.2,0.26666666666666666,15,common_dates,2024-01-01,2025-03-01,15
VECM,validation,1,all,1253.9735967994736,1538.7930352095273,45.23516773067173,32.76274296117052,3.6908520863791385,1270.2790588144076,1040.2704716853625,-13.28372642451442,0.17142857142857143,0.5142857142857142,35,common_dates,2020-02-01,2022-12-01,35
VECM,validation,1,crisis,1276.4659133014377,1559.0022210472882,46.384423478772156,33.539404221292614,3.757054288323945,1278.8616878540843,1061.935339194603,-13.449665004630761,0.14705882352941177,0.5,34,common_dates,2020-03-01,2022-12-01,34
VECM,validation,1,tranquil,489.2348357326955,489.2348357326955,6.160472295257486,6.356260117019222,1.439977220255721,978.469671465391,303.66497637118516,-7.641814700558813,1.0,1.0,1,common_dates,2020-02-01,2020-02-01,1
XGBoost,test,1,all,690.4889368127893,886.1322330488664,17.46798934180099,20.212379914138314,2.0323334873730468,1303.059497974537,685.9830071898983,-7022.465428352288,0.037037037037037035,0.1111111111111111,27,common_dates,2023-01-01,2025-03-01,27
