date,gross_reserves_usd_m,import_cover_months,fx_reserves_usd_m,imf_position_usd_m,sdrs_usd_m,gold_usd_m,exports_usd_m,imports_usd_m,tourism_usd_m,remittances_usd_m,cse_net_usd_m,m0_lkr_m,m2_lkr_m,usd_lkr,inflation_yoy_pct,govt_short_term_usd_m,total_short_term_usd_m,portfolio_liabilities_usd_b,total_short_term_debt_lkr_m,trade_balance_usd_m,ca_proxy_usd_m,net_usable_reserves_usd_m,gg_ratio,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2005-01-01,2249.0,1.4993333333333334,,,,,,,,,,174648.0,701947.0,,,,,,,,0.0,2249.0,,,,
2005-02-01,2293.0,1.5286666666666666,,,,,,,,,,174666.0,707352.0,,,,,,,,0.0,2293.0,,,44.0,1.9564250778123515
2005-03-01,2337.0,1.558,,,,,,,,,,190755.0,721095.0,,,,,,,,0.0,2337.0,,,44.0,1.918883558656792
2005-04-01,2382.0,1.588,,,,,,,,,,181861.0,728312.0,,,,,,,,0.0,2382.0,,,45.0,1.9255455712451797
2005-05-01,2426.0,1.6173333333333333,,,,,,,,,,179195.0,729253.0,,,,,,,,0.0,2426.0,,,44.0,1.8471872376154552
2005-06-01,2470.0,1.6466666666666667,,,,,,,,,,179817.0,738411.0,,,,,,,,0.0,2470.0,,,44.0,1.813685078318228
2005-07-01,2514.0,1.676,,,,,,,,,,184647.0,749606.0,,,,,,,,0.0,2514.0,,,44.0,1.7813765182186136
2005-08-01,2558.0,1.7053333333333334,,,,,,,,,,184289.0,757307.0,,,,,,,,0.0,2558.0,,,44.0,1.7501988862370643
2005-09-01,2602.0,1.7346666666666666,,,,,,,,,,187894.0,775449.0,,,,,,,,0.0,2602.0,,,44.0,1.7200938232994512
2005-10-01,2647.0,1.7646666666666666,,,,,,,,,,191179.0,799305.0,,,,,,,,0.0,2647.0,,,45.0,1.7294388931591076
2005-11-01,2691.0,1.794,,,,,,,,,,190969.0,812386.0,,,,,,,,0.0,2691.0,,,44.0,1.6622591613147053
2005-12-01,2735.0,1.8233333333333333,,,,,,,,,,197932.0,822932.0,,,,,,262153.0,,0.0,2735.0,,,44.0,1.635079895949465
2006-01-01,2743.0,1.8286666666666669,,,,,,,,,,196864.0,834273.0,,,,,,262153.0,,0.0,2743.0,,,8.0,0.2925045703839224
2006-02-01,2751.0,1.834,,,,,,,,,,203030.0,849000.0,,,,,,262153.0,,0.0,2751.0,,,8.0,0.2916514764855993
2006-03-01,2759.0,1.8393333333333333,,,,,,,,,,217168.0,862733.0,,,,,,262153.0,,0.0,2759.0,,,8.0,0.290803344238455
2006-04-01,2767.0,1.844666666666667,,,,,,,,,,216094.0,878328.0,,,,,,262153.0,,0.0,2767.0,,,8.0,0.2899601304820587
2006-05-01,2775.0,1.85,,,,,,,,,,212027.0,876163.0,,,,,,262153.0,,0.0,2775.0,,,8.0,0.2891217925551137
2006-06-01,2784.0,1.856,,,,,,,,,,212418.7,887778.7,,,,,,262153.0,,0.0,2784.0,,,9.0,0.324324324324321
2006-07-01,2792.0,1.8613333333333333,,,,,,,,,,214844.8,895241.6,,,,,,262153.0,,0.0,2792.0,,,8.0,0.2873563218390718
2006-08-01,2800.0,1.8666666666666667,,,,,,,,,,213894.9,906552.6,,,,,,262153.0,,0.0,2800.0,,,8.0,0.2865329512893977
2006-09-01,2808.0,1.872,,,,,,,,,,222140.4,919003.7,,,,,,262153.0,,0.0,2808.0,,,8.0,0.28571428571428914
2006-10-01,2816.0,1.8773333333333333,,,,,,,,,,225512.9,952857.7,,,,,,262153.0,,0.0,2816.0,,,8.0,0.2849002849002913
2006-11-01,2824.0,1.8826666666666667,,,,,,,,,,226627.3,968095.5,,,,,,262153.0,,0.0,2824.0,,,8.0,0.28409090909091717
2006-12-01,2832.0,1.888,,,,,,,,,,239863.0,993264.8,,,,,,313218.0,,0.0,2832.0,,,8.0,0.28328611898016387
2007-01-01,2889.0,1.926,,,,,487.4234681377972,809.4078342645455,,,,236781.9,996575.1,,,,,,313218.0,-321.9843661267483,-321.9843661267483,2889.0,,,57.0,2.0127118644067687
2007-02-01,2946.0,1.964,,,,,585.7982236391804,747.4933008651399,,,,237920.3,1013890.5,,,,,,313218.0,-161.6950772259595,-161.6950772259595,2946.0,,,57.0,1.9730010384215957
2007-03-01,3004.0,2.002666666666667,,,,,630.6943269616814,874.3359661525996,,,,252954.0,1032542.4,,,,,,313218.0,-243.6416391909181,-243.6416391909181,3004.0,,,58.0,1.9687712152070658
2007-04-01,3061.0,2.040666666666666,,,,,531.6992666092641,969.4795165992095,,,,249337.1,1046387.7,,,,,,313218.0,-437.78024998994545,-437.78024998994545,3061.0,,,57.0,1.897470039946736
2007-05-01,3118.0,2.078666666666667,,,,,637.2478349971178,1014.3077728947776,,,,246220.0,1050538.0,,,,,,313218.0,-377.0599378976598,-377.0599378976598,3118.0,,,57.0,1.8621365566808157
2007-06-01,3175.0,2.1166666666666667,,,,,667.3012361647559,860.382857133588,,,,247846.0,1063012.0,,,,,,313218.0,-193.0816209688321,-193.0816209688321,3175.0,,,57.0,1.828094932649127
2007-07-01,3232.0,2.1546666666666665,,,,,683.9632990518871,830.4256217891368,,,,247209.0,1068052.0,,,,,,313218.0,-146.46232273724968,-146.46232273724968,3232.0,,,57.0,1.7952755905511708
2007-08-01,3290.0,2.193333333333334,,,,,652.8681287223121,938.1046786205826,,,,257063.8,1085288.3,,,,,,313218.0,-285.2365498982705,-285.2365498982705,3290.0,,,58.0,1.7945544554455406
2007-09-01,3347.0,2.231333333333333,,,,,719.3911267809434,1006.3504001983434,,,,256714.9,1097654.7,,,,,,313218.0,-286.9592734174,-286.9592734174,3347.0,,,57.0,1.7325227963525869
2007-10-01,3404.0,2.2693333333333334,,,,,624.1546987860158,1075.7674384981094,,,,256519.0,1106356.6,,,,,,313218.0,-451.61273971209357,-451.61273971209357,3404.0,,,57.0,1.7030176277263331
2007-11-01,3461.0,2.3073333333333332,,,,,577.8998385201782,1009.2311463627842,,,,264080.4,1132313.4,,,,,,313218.0,-431.33130784260607,-431.33130784260607,3461.0,,,57.0,1.6745005875440588
