feature,importance
gross_reserves_usd_m_ma3,0.75032413
gross_reserves_usd_m_lag1,0.04792277
gross_reserves_usd_m_lag2,0.039905943
gross_reserves_usd_m_lag3,0.022523122
gross_reserves_usd_m_std3,0.021055264
gross_reserves_usd_m_mom3,0.01512148
gross_reserves_usd_m_mom1,0.015106925
remittances_usd_m_lag1,0.013529435
remittances_usd_m_lag3,0.011446285
exports_usd_m_lag3,0.010623496
tourism_usd_m_lag3,0.01041316
gross_reserves_usd_m_lag12,0.00862436
exports_usd_m_lag1,0.008450775
gross_reserves_usd_m_lag6,0.007241052
tourism_usd_m_lag1,0.0056702713
imports_usd_m_lag3,0.005665462
gross_reserves_usd_m_ma6,0.0042444193
imports_usd_m_lag1,0.0021315373
