shock_variable,response_variable,peak_abs_response_regime0,peak_abs_response_regime1,peak_abs_delta_regime1_minus_regime0,half_life_horizon_regime0,half_life_horizon_regime1,half_life_delta_regime1_minus_regime0
exports_usd_m,exports_usd_m,106.4731273288959,100.77708243559917,-5.69604489329673,24.0,24.0,0.0
exports_usd_m,gross_reserves_usd_m,133.9955911732764,56.112777678037695,-77.88281349523871,24.0,3.0,-21.0
exports_usd_m,imports_usd_m,68.32673303837069,42.85797066475277,-25.46876237361792,1.0,24.0,23.0
exports_usd_m,remittances_usd_m,29.710349672735674,22.448865039666543,-7.261484633069131,24.0,24.0,0.0
exports_usd_m,tourism_usd_m,7.305889524896997,33.43402502150487,26.128135496607875,24.0,24.0,0.0
gross_reserves_usd_m,exports_usd_m,50.05529949163908,10.075077116306762,-39.98022237533232,24.0,24.0,0.0
gross_reserves_usd_m,gross_reserves_usd_m,173.2633208693739,558.8448679239085,385.5815470545346,24.0,24.0,0.0
gross_reserves_usd_m,imports_usd_m,29.822608973462454,3.951074547781089,-25.871534425681364,24.0,1.0,-23.0
gross_reserves_usd_m,remittances_usd_m,14.557866349872226,10.745639826828214,-3.8122265230440124,24.0,24.0,0.0
gross_reserves_usd_m,tourism_usd_m,3.149656003199414,4.04143640635649,0.891780403157076,24.0,24.0,0.0
imports_usd_m,exports_usd_m,41.9453760793454,27.064423971080796,-14.880952108264605,24.0,1.0,-23.0
imports_usd_m,gross_reserves_usd_m,14.796682820209206,25.244960201401845,10.44827738119264,24.0,3.0,-21.0
imports_usd_m,imports_usd_m,160.31689915105494,148.15426417252064,-12.1626349785343,1.0,24.0,23.0
imports_usd_m,remittances_usd_m,12.10957361730707,25.44331642116795,13.33374280386088,1.0,1.0,0.0
imports_usd_m,tourism_usd_m,1.1876102987170891,12.356293141018545,11.168682842301456,1.0,24.0,23.0
remittances_usd_m,exports_usd_m,65.40821465667858,38.479137923441876,-26.929076733236705,24.0,1.0,-23.0
remittances_usd_m,gross_reserves_usd_m,87.4069343491485,97.7372509030061,10.3303165538576,24.0,24.0,0.0
remittances_usd_m,imports_usd_m,51.99924665939543,64.11461495012058,12.11536829072515,24.0,24.0,0.0
remittances_usd_m,remittances_usd_m,38.32164256523935,58.79370601257365,20.4720634473343,24.0,24.0,0.0
remittances_usd_m,tourism_usd_m,1.630974921640145,16.273663640511824,14.642688718871678,1.0,24.0,23.0
tourism_usd_m,exports_usd_m,64.85918142329992,34.96847923830382,-29.890702184996094,24.0,1.0,-23.0
tourism_usd_m,gross_reserves_usd_m,62.43277606595908,60.34433686129999,-2.088439204659089,24.0,24.0,0.0
tourism_usd_m,imports_usd_m,37.89308246085911,49.37232255831729,11.479240097458181,24.0,24.0,0.0
tourism_usd_m,remittances_usd_m,17.306726227871525,15.376121989995204,-1.930604237876322,24.0,24.0,0.0
tourism_usd_m,tourism_usd_m,24.122064646096145,75.67114693111043,51.54908228501428,24.0,24.0,0.0
