model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7695.780474724397,562.8888067558433,6974.409443198689,8417.151506250106,6592.538686182248,8799.022263266546,173.6749575134293,-7.347312847301722
BVAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7538.3200358057975,617.8752285504149,6746.481069345538,8330.159002266057,6327.306840907563,8749.333230704033,245.78631312490907,-7.558136411233479
DMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7547.971379627282,,,,,,,
DMS,2020-01-01,2020-02-01,1,validation,7941.515070351391,7695.780474724397,,,,,,,
MS-VAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7588.754390746039,624.8830524493102,6787.934536597087,8389.57424489499,6364.006113395971,8813.502668096105,223.43349910990827,-7.515845999286082
MS-VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7552.2340208869655,624.8830524493102,6751.414166738014,8353.053875035917,6327.485743536898,8776.982298237033,239.7676357263311,-7.550546521270017
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,259.01176965519574,-7.591923763697553
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7532.556795638758,570.9916728583682,6800.801523373957,8264.312067903558,6413.43368136411,8651.679909913406,245.54024891778286,-7.5228019883780135
XGBoost,2020-01-01,2020-02-01,1,validation,7941.515070351391,7415.42041015625,1.4660475271823123,7413.541594652626,7417.299225659874,7412.547009803348,7418.293810509152,525.2675314513186,-64388.82070962324
ARIMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7735.172757529458,562.8888067558433,7013.80172600375,8456.543789055166,6631.930968987309,8838.414546071606,159.9994865047334,-7.316053038754144
BVAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7519.245391400002,630.3657536360892,6711.399172961717,8327.091609838286,6283.7512171858525,8754.73956561415,147.44620585776764,-7.365502981565668
DMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7713.898895115578,,,,,,,
DMS,2020-02-01,2020-03-01,1,validation,7533.736569408685,7735.172757529458,,,,,,,
MS-VAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7985.734819807528,624.8830524493102,7184.914965658576,8786.55467395648,6760.98654245746,9210.483097157596,271.0615364002985,-7.618108036697633
MS-VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7846.055514969293,624.8830524493102,7045.235660820341,8646.875369118245,6621.307237619225,9070.80379231936,207.04152031772188,-7.481404985707955
Naive,2020-02-01,2020-03-01,1,validation,7533.736569408685,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,146.31363447939054,-7.357067904159567
VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7532.556795638758,570.9916728583682,6800.801523373957,8264.312067903558,6413.43368136411,8651.679909913406,133.43885848789947,-7.266315293876751
XGBoost,2020-02-01,2020-03-01,1,validation,7533.736569408685,7865.79345703125,1.4660475271823123,7863.914641527626,7867.672272534874,7862.920056678348,7868.666857384152,331.22975887874304,-25651.981978591924
ARIMA,2020-03-01,2020-04-01,1,validation,7209.520101152639,7870.113405130617,562.8888067558433,7148.7423736049095,8591.484436656325,6766.871616588468,8973.355193672765,409.6761513173302,-7.9406620170882665
BVAR,2020-03-01,2020-04-01,1,validation,7209.520101152639,7502.64503465341,631.6008614143353,6693.215961908298,8312.074107398523,6264.730093676873,8740.559975629947,200.9200357448375,-7.474889830335892
DMA,2020-03-01,2020-04-01,1,validation,7209.520101152639,7664.587765222839,,,,,,,
DMS,2020-03-01,2020-04-01,1,validation,7209.520101152639,7870.113405130617,,,,,,,
MS-VAR,2020-03-01,2020-04-01,1,validation,7209.520101152639,7694.2630418537055,624.8830524493102,6893.443187704754,8495.082896002657,6469.514764503638,8919.011319203773,288.9536425644704,-7.6573845581107545
MS-VECM,2020-03-01,2020-04-01,1,validation,7209.520101152639,7640.082823288124,624.8830524493102,6839.262969139172,8440.902677437076,6415.334545938056,8864.831100638192,259.91714045972765,-7.593883726371007
Naive,2020-03-01,2020-04-01,1,validation,7209.520101152639,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,203.60287373496195,-7.474228232133838
VECM,2020-03-01,2020-04-01,1,validation,7209.520101152639,7532.556795638758,570.9916728583682,6800.801523373957,8264.312067903558,6413.43368136411,8651.679909913406,204.46322219086844,-7.426347863072426
XGBoost,2020-03-01,2020-04-01,1,validation,7209.520101152639,7899.7197265625,1.4660475271823123,7897.840911058876,7901.598542066124,7896.846326209598,7902.593126915402,689.372496666039,-110822.6277823216
ARIMA,2020-01-01,2020-04-01,3,validation,7209.520101152639,7686.62084327319,812.6421531163246,6645.178019719105,8728.063666827275,6093.871490846153,9279.370195700227,298.5537219466206,-7.791571535683521
BVAR,2020-01-01,2020-04-01,3,validation,7209.520101152639,7553.387091908583,999.6639936213663,6272.266135864154,8834.508047953012,5594.08166776928,9512.692516047886,280.345150389125,-7.885519753953594
DMA,2020-01-01,2020-04-01,3,validation,7209.520101152639,7503.056293644901,,,,,,,
DMS,2020-01-01,2020-04-01,3,validation,7209.520101152639,7686.62084327319,,,,,,,
MS-VAR,2020-01-01,2020-04-01,3,validation,7209.520101152639,7609.184095707585,624.8830524493102,6808.364241558633,8410.003949856537,6384.435818357517,8833.932373057653,244.6697815358226,-7.5610356598072705
MS-VECM,2020-01-01,2020-04-01,3,validation,7209.520101152639,7541.397730689897,624.8830524493102,6740.577876540945,8342.217584838849,6316.649453339829,8766.146008039965,214.74274921943464,-7.497538558500819
Naive,2020-01-01,2020-04-01,3,validation,7209.520101152639,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,203.60287373496195,-7.474228232133838
VECM,2020-01-01,2020-04-01,3,validation,7209.520101152639,7547.576135596042,570.9916728583682,6815.8208633312415,8279.331407860842,6428.453021321395,8666.69924987069,211.03165716191523,-7.441575190384671
XGBoost,2020-01-01,2020-04-01,3,validation,7209.520101152639,7070.49462890625,1.4660475271823123,7068.615813402626,7072.373444409874,7067.621228553348,7073.368029259152,138.19834350256653,-4497.677940889574
ARIMA,2020-04-01,2020-05-01,1,validation,6499.857251537734,7933.79743773846,562.8888067558433,7212.426406212751,8655.168469264168,6830.555649196311,9037.039226280609,1118.309877949329,-10.496812554830761
BVAR,2020-04-01,2020-05-01,1,validation,6499.857251537734,7511.60470145526,611.8030308132701,6727.547569511337,8295.661833399181,6312.492795428834,8710.716607481685,691.6021658629584,-8.702734490448748
DMA,2020-04-01,2020-05-01,1,validation,6499.857251537734,7469.1034046797695,,,,,,,
DMS,2020-04-01,2020-05-01,1,validation,6499.857251537734,7933.79743773846,,,,,,,
