model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1105.2029582356054,1249.8610855014506,25.25612434659103,29.14215583738342,3.2529717170182066,2159.0893438168073,880.1567375521588,-10.248740068514893,0.25925925925925924,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27
ARIMA,test,3,all,1389.373654238232,1463.8503099751138,31.60431708602205,36.476009415635886,4.089378487388849,2675.7812190735062,994.9770761847877,-9.34143494198544,0.2222222222222222,0.7407407407407407,27,common_dates,2023-01-01,2025-03-01,27
ARIMA,test,6,all,1610.7785337488547,1833.9665990717344,33.46471993348948,42.29217776746749,4.741045048440836,3194.645459153622,1165.1296689045319,-9.331946120950674,0.37037037037037035,0.7407407407407407,27,common_dates,2023-01-01,2025-03-01,27
ARIMA,test,12,all,2052.389195311283,2448.621752529004,39.75955813393671,53.42042240283903,6.04084883677818,4087.002557682154,1506.3912683265148,-9.529756959263116,0.5555555555555556,0.6666666666666666,27,common_dates,2023-01-01,2025-03-01,27
ARIMA,validation,1,all,1365.5277167977074,1549.7345212941673,48.727303861062275,35.98287014989349,4.019192138825642,1369.5304916807956,1101.85615783532,-11.698108595755953,0.17142857142857143,0.34285714285714286,35,common_dates,2020-02-01,2022-12-01,35
ARIMA,validation,3,all,1713.9046537868055,1921.3437032299137,60.13832696816493,42.98793363695304,5.044578756226809,1713.9046537868055,1313.963865546295,-10.601623119118816,0.21212121212121213,0.6060606060606061,33,common_dates,2020-04-01,2022-12-01,33
ARIMA,validation,6,all,1907.6676528467751,2163.271210299771,68.58377287803374,47.36307445707043,5.614886273999792,1908.6473135465849,1430.6210272272576,-9.880265607257877,0.3333333333333333,0.5666666666666667,30,common_dates,2020-07-01,2022-12-01,30
ARIMA,validation,12,all,3342.876300137976,3493.4123031770127,139.57746830770438,78.7092403949917,9.839172051438846,3342.876300137976,2506.1526824647594,-10.83492207269498,0.0,0.5833333333333334,24,common_dates,2021-01-01,2022-12-01,24
BVAR,test,1,all,1200.016360259383,1365.2692373092534,27.093663034378107,32.91547795244341,3.5320383924006262,2381.9866621484,959.8290274599249,-10.462528253943614,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27
BVAR,test,3,all,1466.5407174476682,1595.0081305307642,32.18775197325998,39.63002336486352,4.316506249068383,2898.883742140367,1082.2971654080545,-9.562837945349305,0.2222222222222222,0.6296296296296297,27,common_dates,2023-01-01,2025-03-01,27
BVAR,test,6,all,1662.170431776514,1891.7631077602757,35.163386338272645,44.67660829823837,4.892308116931666,3277.7317542198457,1201.4780422798208,-9.391235779460715,0.2962962962962963,0.7407407407407407,27,common_dates,2023-01-01,2025-03-01,27
BVAR,test,12,all,2036.3682414809587,2494.7256145863144,39.6555061672177,53.23365585343118,5.993693959656878,4002.2348721235057,1523.0204126137364,-9.604220430480067,0.5555555555555556,0.6666666666666666,27,common_dates,2023-01-01,2025-03-01,27
BVAR,validation,1,all,1195.844531638431,1473.5971096060628,42.325261930717836,31.116659911395086,3.51975934409454,1206.2693812632049,953.8127002841615,-11.173221132631742,0.3142857142857143,0.5714285714285714,35,common_dates,2020-02-01,2022-12-01,35
BVAR,validation,3,all,1653.801526367286,1946.5289774382732,59.08978134858497,40.8978643653683,4.8676757067523795,1653.801526367286,1287.5047991916929,-10.653426810281976,0.45454545454545453,0.5454545454545454,33,common_dates,2020-04-01,2022-12-01,33
BVAR,validation,6,all,2357.307282362501,2613.246766957732,88.46401128716327,55.73407010924432,6.938321926036287,2357.307282362501,1851.860100824308,-11.036508266161924,0.3,0.36666666666666664,30,common_dates,2020-07-01,2022-12-01,30
BVAR,validation,12,all,4026.1336881571806,4095.632633400984,173.1134477881732,88.77894701753989,11.850220739019713,4026.1336881571806,3252.416523911155,-12.573051883699456,0.0,0.0,24,common_dates,2021-01-01,2022-12-01,24
DMA,test,1,all,222.50003543669956,321.6910294462016,5.30104246352007,5.642729099198643,0.6548899610860767,420.9773344362813,,,,,27,common_dates,2023-01-01,2025-03-01,27
DMA,test,3,all,580.0839701227634,680.100873268757,14.065907993631447,15.739407549370275,1.7073757668161407,1117.8583669406755,,,,,27,common_dates,2023-01-01,2025-03-01,27
DMA,test,6,all,1295.7710206290508,1471.7441191246494,33.46704740623144,47.07826417709279,3.8138754971913023,2587.733674092464,,,,,27,common_dates,2023-01-01,2025-03-01,27
DMA,test,12,all,2961.2287792405514,3248.5431883636484,67.33167007508838,101.78666237931245,8.715859286033833,5920.914842811033,,,,,27,common_dates,2023-01-01,2025-03-01,27
DMA,validation,1,all,535.6478779257861,735.7703239840663,14.953650849091868,13.821753737942092,1.576585896906323,605.4211598291191,,,,,35,common_dates,2020-02-01,2022-12-01,35
DMA,validation,3,all,930.1520508927636,1238.0119577120922,26.23757042519402,21.481227960624015,2.7377399703228202,972.2353826628225,,,,,33,common_dates,2020-04-01,2022-12-01,33
DMA,validation,6,all,1459.6383816742816,1785.8172813280687,47.31925655282267,36.50300466341206,4.296190430254403,1514.9339233914502,,,,,30,common_dates,2020-07-01,2022-12-01,30
DMA,validation,12,all,2999.905748793923,3303.197621009302,120.5564585394558,70.37865048863834,8.82969818514242,2999.905748793923,,,,,24,common_dates,2021-01-01,2022-12-01,24
DMS,test,1,all,228.04450298707306,325.960073019016,5.422361083500371,5.7719965434106815,0.6712091321422994,432.2441892489599,,,,,27,common_dates,2023-01-01,2025-03-01,27
DMS,test,3,all,579.4074777878523,679.540118158199,14.037530865990336,15.703333082217206,1.7053846298798454,1116.4878932987194,,,,,27,common_dates,2023-01-01,2025-03-01,27
DMS,test,6,all,1251.9854918276708,1456.7866391253772,32.60445541521253,46.76147007503731,3.685000446917313,2502.539173163415,,,,,27,common_dates,2023-01-01,2025-03-01,27
DMS,test,12,all,2961.1891387979063,3249.788421872424,67.33635034608481,101.83728487902486,8.715742611320096,5920.835561943382,,,,,27,common_dates,2023-01-01,2025-03-01,27
DMS,validation,1,all,733.6893102524863,1071.0188310690548,18.385944748528342,16.456775570847665,2.159486235125646,810.0433668690579,,,,,35,common_dates,2020-02-01,2022-12-01,35
DMS,validation,3,all,1040.8247400003954,1484.5862566115532,27.7879435039402,22.261260606597002,3.063485685017811,1064.6062922710057,,,,,33,common_dates,2020-04-01,2022-12-01,33
DMS,validation,6,all,1506.5192398317834,1882.9838897053503,47.94617832854613,36.895053396250624,4.434176041421565,1562.8439689040467,,,,,30,common_dates,2020-07-01,2022-12-01,30
DMS,validation,12,all,3018.485138280402,3315.0643700425735,121.3638156746504,70.62144338055361,8.88438337040058,3018.485138280402,,,,,24,common_dates,2021-01-01,2022-12-01,24
MS-VAR,test,1,all,218.28169305684952,315.24487674590387,5.15766261271038,5.478484936976179,0.6424740076613246,409.6054073664217,191.16594064929888,-7.374133069624112,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27
MS-VAR,test,3,all,579.4074777878523,679.540118158199,14.037530865990336,15.703333082217206,1.7053846298798454,1116.4878932987194,404.1084186404151,-8.002175046638639,0.5925925925925926,0.9259259259259259,27,common_dates,2023-01-01,2025-03-01,27
MS-VAR,test,6,all,1015.6908095762965,1150.6609304679257,23.713177946994897,28.334029075291006,2.9895083542498746,2029.949808660665,772.7657808125269,-9.45663059147523,0.25925925925925924,0.5925925925925926,27,common_dates,2023-01-01,2025-03-01,27
MS-VAR,test,12,all,1911.3578314319643,2050.3984396418887,40.8176559550164,53.194828201376055,5.625747669618503,3815.4393899310994,1630.4242650152364,-14.293378727248287,0.07407407407407407,0.14814814814814814,27,common_dates,2023-01-01,2025-03-01,27
MS-VAR,validation,1,all,370.8404648791057,513.725953777221,11.357730970478096,10.861334937463733,1.0915040850989564,473.30802535134455,282.1429534756004,-7.674233139268075,0.8571428571428571,0.9428571428571428,35,common_dates,2020-02-01,2022-12-01,35
MS-VAR,validation,3,all,691.2343523034882,913.6793456897451,20.765714809895822,17.581107338148776,2.0345274875705686,753.8590498312799,534.9095370108055,-8.657986928491994,0.6363636363636364,0.7878787878787878,33,common_dates,2020-04-01,2022-12-01,33
MS-VAR,validation,6,all,1175.262053870719,1419.3481299177029,38.61149865881818,29.77052663329436,3.459178418622343,1182.5495645564517,940.1309632745496,-10.69422343443457,0.26666666666666666,0.5333333333333333,30,common_dates,2020-07-01,2022-12-01,30
MS-VAR,validation,12,all,2628.799930299451,2849.620069677688,102.79253745919961,64.54874893266388,7.7374130780607,2628.799930299451,2342.9630647797135,-21.242672255676144,0.041666666666666664,0.125,24,common_dates,2021-01-01,2022-12-01,24
MS-VECM,test,1,all,226.05339371852983,323.40454920365477,5.391833037166779,5.73967457382404,0.6653486500581723,427.5178453673512,194.0435142080571,-7.383078532804657,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27
MS-VECM,test,3,all,731.5558568672662,842.7716218578438,18.583109457875548,21.989301210937736,2.15320678801597,1434.7039362251633,528.0163731822562,-8.420960592382073,0.4444444444444444,0.7037037037037037,27,common_dates,2023-01-01,2025-03-01,27
MS-VECM,test,6,all,1552.6370803483583,1696.9521123247914,38.98048268117459,55.75684858891945,4.569915843538882,3090.3800973965413,1265.0801961842576,-12.026815244470182,0.07407407407407407,0.18518518518518517,27,common_dates,2023-01-01,2025-03-01,27
MS-VECM,test,12,all,2961.1891387979063,3249.788421872424,67.33635034608481,101.83728487902486,8.715742611320096,5920.835561943382,2669.7248747449344,-24.666891429074077,0.07407407407407407,0.07407407407407407,27,common_dates,2023-01-01,2025-03-01,27
MS-VECM,validation,1,all,441.26002478200115,572.4653549079552,13.236446774379651,12.447969209934671,1.2987717502658052,557.8877206095488,321.80534659590626,-7.7837193484967235,0.7428571428571429,0.9142857142857143,35,common_dates,2020-02-01,2022-12-01,35
MS-VECM,validation,3,all,942.8376045864165,1246.5012901686912,27.28540978507069,24.29199077680302,2.775077680173007,1131.5564185469168,749.8329963084213,-9.895415841487619,0.5454545454545454,0.6363636363636364,33,common_dates,2020-04-01,2022-12-01,33
MS-VECM,validation,6,all,1565.361553723562,2049.885993204153,48.86326668805244,38.19897721821582,4.607368106668516,1720.0636634087487,1330.3626704743576,-14.47026972865422,0.3,0.43333333333333335,30,common_dates,2020-07-01,2022-12-01,30
MS-VECM,validation,12,all,3537.0533219824265,4296.391431022535,139.2003525178722,78.85765542746877,10.410698172906365,3767.3834261644406,3245.2896602595733,-39.109100219568575,0.08333333333333333,0.08333333333333333,24,common_dates,2021-01-01,2022-12-01,24
Naive,test,1,all,1180.5794522485394,1350.8071814239772,26.25437736988761,31.865134947187993,3.4748292512610672,2352.246118915206,945.0203125250403,-10.377929218444754,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27
