model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1717.4678558381838,2025.372971428822,29.12832907646387,36.44111028310849,6.55417486832715,3434.9357116763676,1499.277299015845,-16.825165666667697,0.23529411764705882,0.35294117647058826,17,common_dates,2024-02-01,2025-06-01,17
ARIMA,test,3,all,2416.1573873670377,2642.621596442222,39.99130391317728,52.52589565449344,9.220503296392437,4832.314774734075,2056.2021366400086,-14.409308457324304,0.2,0.2,15,common_dates,2024-04-01,2025-06-01,15
ARIMA,test,6,all,2181.109164699107,2216.7335007940837,35.173897184723884,42.92891647283886,8.323515822293091,4362.218329398214,1604.6016875597377,-10.046528421934406,0.08333333333333333,0.3333333333333333,12,common_dates,2024-07-01,2025-06-01,12
ARIMA,test,12,all,2169.8504819234345,2187.0344046220966,34.75335283112418,42.17601361926521,8.28055060728313,4339.700963846869,1428.6571867140608,-9.291464051772733,0.3333333333333333,1.0,6,common_dates,2025-01-01,2025-06-01,6
ARIMA,validation,1,all,1766.6028822011763,2100.085254273967,50.239214862116754,35.41628090458483,6.741683213154804,1768.867687815321,1540.0135888084646,-18.75484565787247,0.15384615384615385,0.19230769230769232,26,common_dates,2020-02-01,2022-03-01,26
ARIMA,validation,3,all,2302.877191013155,2614.698240452514,68.29732310927949,45.669072659002325,8.788205123534095,2302.877191013155,1955.1870346798412,-15.785214390461737,0.125,0.25,24,common_dates,2020-04-01,2022-03-01,24
ARIMA,validation,6,all,2456.3123770107527,2772.896321714179,74.72907906276586,50.07421942452381,9.37374216084404,2456.3123770107527,2019.5195229717415,-12.779500732290538,0.19047619047619047,0.2857142857142857,21,common_dates,2020-07-01,2022-03-01,21
ARIMA,validation,12,all,4106.147844853354,4362.363613983163,148.813078508097,78.29600868164613,15.669819332507599,4106.147844853354,3429.552824539157,-14.663835563228329,0.0,0.13333333333333333,15,common_dates,2021-01-01,2022-03-01,15
BVAR,test,1,all,1654.466225063882,1967.6480211536627,28.351661180677425,35.3175517372096,6.313748997367815,3307.1684231707186,1450.3285016069426,-14.85518038384607,0.29411764705882354,0.29411764705882354,17,common_dates,2024-02-01,2025-06-01,17
BVAR,test,3,all,1962.1818257923594,2185.7262277168525,32.559130250300264,40.713003159556955,7.4880486211022586,3919.5508299876724,1626.7346098212777,-11.652876500510917,0.2,0.2,15,common_dates,2024-04-01,2025-06-01,15
BVAR,test,6,all,2646.478427828704,2658.579177954229,42.80610774025354,54.527126250300796,10.099450969217495,5292.956855657408,2064.044862419164,-11.130992017134297,0.0,0.0,12,common_dates,2024-07-01,2025-06-01,12
BVAR,test,12,all,2829.2391271041347,2836.929800845445,45.36184561894095,58.71587751594322,10.796899586981777,5658.478254208269,2052.315654648665,-10.160836203825614,0.0,0.5,6,common_dates,2025-01-01,2025-06-01,6
BVAR,validation,1,all,1280.7365796462243,1585.9660696074438,39.50688628876208,28.144933278231523,4.887527574231024,1292.3686957981122,1080.3157750109472,-13.295174761256431,0.34615384615384615,0.38461538461538464,26,common_dates,2020-02-01,2022-03-01,26
BVAR,validation,3,all,1783.7770212885691,2028.3340395376538,56.13767548645482,38.81631899954393,6.807222903117043,1783.7770212885691,1448.5943600665378,-11.92529883988369,0.25,0.4166666666666667,24,common_dates,2020-04-01,2022-03-01,24
BVAR,validation,6,all,2336.1333388731177,2527.937484972248,70.64282827036207,48.67502610824445,8.91511673226098,2336.1333388731177,1851.905298091896,-11.54293806583957,0.14285714285714285,0.3333333333333333,21,common_dates,2020-07-01,2022-03-01,21
BVAR,validation,12,all,4155.012777442212,4370.968204766755,145.8293849538162,78.46167637480663,15.85629694955743,4155.012777442212,3460.2639181464565,-14.286980326192126,0.0,0.2,15,common_dates,2021-01-01,2022-03-01,15
DMA,test,1,all,310.88662105263,464.42591460229727,5.736935157958996,6.221397073938955,1.186400823558862,566.8614872145977,,,,,17,common_dates,2024-02-01,2025-06-01,17
DMA,test,3,all,665.4931295830308,952.7642332319583,11.410345578706075,13.225875352704453,2.5396448207927564,1270.630941919559,,,,,15,common_dates,2024-04-01,2025-06-01,15
DMA,test,6,all,851.5380931074136,1338.2008262853735,14.217034061440623,18.07599221333788,3.2496267981353575,1693.7176013907513,,,,,12,common_dates,2024-07-01,2025-06-01,12
DMA,test,12,all,2479.7376381498398,2917.6191689864245,40.03338834074853,59.228051662564845,9.463137288281157,4959.4752762996795,,,,,6,common_dates,2025-01-01,2025-06-01,6
DMA,validation,1,all,839.9716402415675,1014.377880481849,21.531480367107246,20.04067869220573,3.2054870755598674,975.0198693439828,,,,,26,common_dates,2020-02-01,2022-03-01,26
DMA,validation,3,all,1172.438564041533,1469.8935938552743,31.856528310161575,26.629182066832026,4.4742423242316525,1251.129203069053,,,,,24,common_dates,2020-04-01,2022-03-01,24
DMA,validation,6,all,1658.6791222094525,1985.6834473181018,45.00097822724348,35.03535320738629,6.329826191767982,1721.9222384469765,,,,,21,common_dates,2020-07-01,2022-03-01,21
DMA,validation,12,all,3430.9668840749355,3777.797701966462,117.62453308934819,66.14247487442867,13.093203956758854,3459.2784451701027,,,,,15,common_dates,2021-01-01,2022-03-01,15
DMS,test,1,all,278.4686445006978,363.6329084875325,5.017652745550393,5.243365630506601,1.0626878315069677,502.1544891963604,,,,,17,common_dates,2024-02-01,2025-06-01,17
DMS,test,3,all,703.7782470126087,1011.6582893841257,12.10734526028884,14.128587051040132,2.6857479071678036,1323.799070597147,,,,,15,common_dates,2024-04-01,2025-06-01,15
DMS,test,6,all,842.296201558465,1332.39893013599,14.066615740539682,17.905986289596317,3.2143580313168005,1674.9212251410179,,,,,12,common_dates,2024-07-01,2025-06-01,12
DMS,test,12,all,2182.0987866937726,2756.3744269234558,35.228153486711975,52.409397394689655,8.327292402788924,4364.197573387545,,,,,6,common_dates,2025-01-01,2025-06-01,6
DMS,validation,1,all,1273.623672823622,1691.8274602248416,28.645936675962698,25.356711749795295,4.8603834067410885,1427.8430873871698,,,,,26,common_dates,2020-02-01,2022-03-01,26
