split_label,varset,best_model,split,horizon,segment,best_mae,best_rmse,best_mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,train_end,valid_end,rank_within_split_varset
baseline,bop,MS-VAR,test,1,all,218.28169305684952,315.24487674590387,5.15766261271038,5.478484936976179,0.6424740076613246,409.6054073664217,191.16594064929888,-7.374133069624112,0.9259259259259259,1.0,27,full,2023-01-01,2025-03-01,,2019-12-01,2022-12-01,1.0
baseline,full,XGBoost,test,1,all,323.9544154575893,381.7186958836492,5.618569435443884,5.655910876718056,0.7757825505308418,533.4311174665179,321.68752100765,-4341.9384520083495,0.07142857142857142,0.07142857142857142,14,full,2024-02-01,2025-03-01,,2019-12-01,2022-12-01,1.0
baseline,monetary,DMS,test,1,all,278.4686445006978,363.6329084875325,5.017652745550393,5.243365630506601,1.0626878315069677,502.1544891963604,209.87691324734809,-7.41174843655881,0.9411764705882353,1.0,17,full,2024-02-01,2025-06-01,,2019-12-01,2022-12-01,1.0
baseline,parsimonious,MS-VAR,test,1,all,230.34319753015643,311.7527123873274,5.198389638189099,5.4176609156162066,0.7717026241014026,408.41478249038164,186.63875348964342,-7.325030399410827,0.9722222222222222,1.0,36,full,2023-01-01,2025-12-01,,2019-12-01,2022-12-01,1.0
baseline,pca,DMA,test,1,all,276.67435830734775,332.4494325153441,5.087938172368471,4.965209369689075,0.6657551624033752,356.47441091274897,237.29408347523764,-7.560598770549456,1.0,1.0,10,full,2024-02-01,2024-11-01,,2019-12-01,2022-12-01,1.0
early,bop,MS-VAR,test,1,all,189.33165804153884,275.93341669354044,5.608377491214984,5.784247675848541,0.6110609483853409,335.10949200717306,177.60003833987224,-7.345498730324264,0.9487179487179487,1.0,39,full,2022-01-01,2025-03-01,,2018-12-01,2021-12-01,1.0
early,full,BVAR,test,1,all,538.6578795910618,602.184020653101,8.584533405108017,9.061756026236797,1.3956581990972148,1077.3157591821237,351.22693239392436,-7.82433156678165,0.7777777777777778,1.0,9,full,2024-07-01,2025-03-01,,2018-12-01,2021-12-01,1.0
early,monetary,MS-VAR,test,1,all,333.10594722551434,457.18306395789443,8.565801929007169,8.06281867449517,1.4166034936202547,532.8522703463323,250.64652582803402,-7.584420551967648,0.9,0.95,20,full,2022-01-01,2025-06-01,,2018-12-01,2021-12-01,1.0
early,parsimonious,DMS,test,1,all,269.33594293373665,361.4383867049772,8.031192926523083,8.81755578671491,0.9970482299709943,490.7231816668071,207.8517276684854,-7.3965722052462155,0.9166666666666666,1.0,48,full,2022-01-01,2025-12-01,,2018-12-01,2021-12-01,1.0
early,pca,DMA,test,1,all,276.8343706077144,310.25389331573854,5.091108657177508,4.959710409862687,0.7222974398504423,337.92382162368824,237.29408347523767,-7.560598770549456,1.0,1.0,10,full,2024-02-01,2024-11-01,,2018-12-01,2021-12-01,1.0
late,bop,DMS,test,1,all,200.9440958819666,260.57952089359384,3.483803124603653,3.572864841529913,0.5814259775130728,366.7011462474359,172.3907261903279,-7.312079005000306,1.0,1.0,15,full,2024-01-01,2025-03-01,,2020-12-01,2023-12-01,1.0
late,full,XGBoost,test,1,all,323.9544154575893,381.7186958836492,5.618569435443884,5.655910876718056,0.7774683996769359,533.4311174665179,321.68752100765,-4341.9384520083495,0.07142857142857142,0.07142857142857142,14,full,2024-02-01,2025-03-01,,2020-12-01,2023-12-01,1.0
late,monetary,MS-VAR,test,1,all,278.4686445006978,363.6329084875325,5.017652745550393,5.243365630506601,1.0263974385693586,502.1544891963604,209.87691324734809,-7.41174843655881,0.9411764705882353,1.0,17,full,2024-02-01,2025-06-01,,2020-12-01,2023-12-01,1.0
late,parsimonious,MS-VAR,test,1,all,199.04424865378044,280.0340492450888,3.3829394884468003,3.4550953716763986,0.6494850581184428,342.18705600188963,174.04403350289286,-7.282020379556795,1.0,1.0,24,full,2024-01-01,2025-12-01,,2020-12-01,2023-12-01,1.0
late,pca,MS-VAR,test,1,all,345.94121713914063,383.8241897271762,6.039509365985626,5.86965751831652,0.8338090410347674,382.65248575016466,237.29408347523764,-7.560598770549456,1.0,1.0,10,full,2024-02-01,2024-11-01,,2020-12-01,2023-12-01,1.0
