model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,varset,split_label,train_end,valid_end
ARIMA,test,1,all,896.2363082988318,1170.390372884875,21.60856574591753,25.90452789136864,3.0025975081752287,1785.5782432023416,734.1573779598625,-10.123757812328735,0.4166666666666667,0.5,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
ARIMA,test,3,all,1239.6356375518887,1561.6280451957725,32.332927226725886,40.32682577406421,4.153064143789904,2476.5940335449436,967.718907542929,-9.801708477052657,0.3888888888888889,0.7222222222222222,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
ARIMA,test,6,all,1983.1131569118343,2452.974551496281,51.280271551684464,63.257885674105815,6.643884618639642,3965.806752237889,1551.4220773132959,-10.700227805718308,0.4166666666666667,0.6388888888888888,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
ARIMA,test,12,all,2996.842831635115,3444.595281726299,67.489281140908,92.32803489726729,10.040111893860127,5983.868998446406,2308.9954281356204,-10.959900230222512,0.3888888888888889,0.5,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
ARIMA,validation,1,all,1723.674571215295,1986.2690197211512,70.3572020058127,71.77998636086049,5.774705760648993,2426.5672874655834,1482.7443906137153,-15.949787312898444,0.14285714285714285,0.2857142857142857,35,full,2020-02-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
ARIMA,validation,3,all,1992.2123716388019,2192.7899765706866,77.30378000866774,72.13978135153442,6.674369078165058,2546.378237815831,1625.3606862447698,-12.330156097686475,0.15151515151515152,0.36363636363636365,33,full,2020-04-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
ARIMA,validation,6,all,2117.083535715212,2332.7607494546933,83.83607861536372,68.2786529426633,7.092716162105953,2514.2416160090866,1655.20550647952,-10.698636412792093,0.2,0.4,30,full,2020-07-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
ARIMA,validation,12,all,3230.668540857196,3348.617242443657,136.31202903791208,77.61439830238639,10.82348173210086,3230.668540857196,2491.8289786451405,-11.328524047243704,0.0,0.2916666666666667,24,full,2021-01-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
BVAR,test,1,all,964.7284064390828,1211.399893004602,21.360812975253722,25.953032248779714,3.2320617703361405,1915.676717398659,790.4850560890529,-10.188369633381665,0.4166666666666667,0.5,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
BVAR,test,3,all,1174.5003868419165,1431.211584166059,25.269704337846242,31.406801555570862,3.9348460916253387,2331.570053563299,912.7327409691056,-9.37046728737566,0.3888888888888889,0.5277777777777778,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
BVAR,test,6,all,1490.0174196280636,1793.982862354855,30.37714548213279,39.101906749044204,4.991900629204557,2966.4462998527733,1119.959207284135,-9.378491100925766,0.3333333333333333,0.8055555555555556,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
BVAR,test,12,all,2152.0964635822343,2496.680289341896,40.66202661641025,55.244662204970176,7.210017513316539,4299.616137243934,1559.2321613968759,-9.674614586315906,0.5833333333333334,0.7222222222222222,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
BVAR,validation,1,all,1134.8828996621899,1420.1929641127401,39.854770211141926,29.533450029946945,3.8021184089990867,1145.3379532096806,914.1893066308022,-11.435835640398453,0.34285714285714286,0.6,35,full,2020-02-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
BVAR,validation,3,all,1477.3387241387727,1787.1017156018038,51.552356375609996,36.60689493706265,4.949424086879111,1477.3387241387727,1152.6470390142763,-10.377244223189473,0.5151515151515151,0.5757575757575758,33,full,2020-04-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
BVAR,validation,6,all,2066.7015593246088,2354.6082299173668,75.43968517438316,49.52606380438731,6.9239249679012564,2066.7015593246088,1616.04172310849,-10.543944286516481,0.3333333333333333,0.4,30,full,2020-07-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
BVAR,validation,12,all,3646.4837405631847,3759.450138882249,154.01415317112483,83.38460908747096,12.216558168457743,3646.4837405631847,2865.7459311681364,-11.79018260848332,0.0,0.08333333333333333,24,full,2021-01-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMA,test,1,all,274.07643576725985,357.6605055621414,6.191319360882019,6.548959546021935,0.9182190182033213,517.9135174810269,,,,,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMA,test,3,all,554.9631950235437,687.4039244604381,12.305552438893308,13.777080405342954,1.859254184501362,1061.301644210227,,,,,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMA,test,6,all,856.902974937496,1051.9954551242301,18.989887396277346,22.405567784804923,2.8708218061138546,1664.8858112738292,,,,,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMA,test,12,all,1861.8485029254439,2147.946967989322,42.15762196585081,58.140653769651536,6.237620171955496,3698.7915427017997,,,,,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMA,validation,1,all,588.3545729619348,777.1295984122202,17.024794952376098,16.771340498801386,1.9711229709631133,711.9581232774078,,,,,35,full,2020-02-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMA,validation,3,all,905.1571840065812,1182.8632519200482,27.43277373771597,24.487785685327488,3.0324844910198228,1001.874298261614,,,,,33,full,2020-04-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMA,validation,6,all,1471.3056603249415,1815.2483938320263,49.12294766756302,39.68434811945544,4.929211937241415,1625.451545507658,,,,,30,full,2020-07-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMA,validation,12,all,2774.532651823985,3138.680089456912,107.42509775043952,65.11118102939315,9.295321724390314,2804.6748753595894,,,,,24,full,2021-01-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMS,test,1,all,274.124785963903,357.68705043470067,6.192081192624011,6.549897418077273,0.9183810024686497,518.1356437958564,,,,,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMS,test,3,all,556.2299850144151,688.7772083848699,12.324745682916054,13.801888019279762,1.863498221966427,1065.7516918373108,,,,,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMS,test,6,all,853.699282906917,1049.7727687183008,18.91864787799848,22.32232498494305,2.860088701887988,1657.7290844447464,,,,,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
DMS,test,12,all,1864.4417486083285,2151.067929145676,42.23345640275733,58.317963962183526,6.246308140690321,3703.975945121924,,,,,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
