model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7865.332486311103,447.64802181841236,7291.648463136594,8439.016509485611,6987.958485796438,8742.706486825768,109.77295957347268,-7.037427108352184
BVAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7575.58819618922,481.45823438746345,6958.574642165435,8192.601750213005,6631.947396729574,8519.228995648866,218.41989191983038,-7.384587406902427
DMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7613.145250031533,,,,,,,
DMS,2020-01-01,2020-02-01,1,validation,7941.515070351391,7865.332486311103,,,,,,,
MS-VAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7513.583714434369,495.70737452821083,6878.309152555538,8148.858276313199,6542.015113488194,8485.152315380543,254.7089599858583,-7.49754543286761
MS-VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7601.340538243213,495.70737452821083,6966.065976364383,8236.615100122042,6629.771937297039,8572.909139189387,205.48444988344923,-7.360387403952243
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,495.70737452821083,6877.458967553928,8148.008091311589,6541.164928486584,8484.302130378932,255.22968460524908,-7.499027500383785
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7633.978324672564,454.39371696025495,7051.649345328337,8216.307304016791,6743.383004629201,8524.573644715925,186.19634285592758,-7.266936278035921
XGBoost,2020-01-01,2020-02-01,1,validation,7941.515070351391,7589.4599609375,8.757997340276559,7578.23613573503,7600.68378613997,7572.294601573861,7606.625320301139,347.11393854176794,-811.0337050422877
ARIMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7865.422337909149,447.64802181841236,7291.73831473464,8439.106361083657,6988.048337394484,8742.796338423814,198.40753996019586,-7.297450842635901
BVAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7580.83745193646,486.3902661618549,6957.503244870885,8204.171659002033,6627.530047828399,8534.14485604452,115.48517791275096,-7.110638615323431
DMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7770.474653831478,,,,,,,
DMS,2020-02-01,2020-03-01,1,validation,7533.736569408685,7865.422337909149,,,,,,,
