model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1744.0308146660434,1947.522887509039,29.591694323869554,36.11439059787705,4.176478569353325,3488.061629332087,1454.1742403267647,-12.620420538890416,0.21428571428571427,0.2857142857142857,14,full,2024-02-01,2025-03-01,
ARIMA,test,1,tranquil,1744.0308146660434,1947.522887509039,29.591694323869554,36.11439059787705,4.176478569353325,3488.061629332087,1454.1742403267647,-12.620420538890416,0.21428571428571427,0.2857142857142857,14,full,2024-02-01,2025-03-01,
ARIMA,test,3,all,2192.260751217735,2247.2156191174886,36.24093700751934,44.604433904022564,5.249867129009712,4384.52150243547,1695.264400620027,-10.828486153964157,0.0,0.3333333333333333,12,full,2024-04-01,2025-03-01,
ARIMA,test,3,tranquil,2192.260751217735,2247.2156191174886,36.24093700751934,44.604433904022564,5.249867129009712,4384.52150243547,1695.264400620027,-10.828486153964157,0.0,0.3333333333333333,12,full,2024-04-01,2025-03-01,
ARIMA,test,6,all,1869.2913315193016,1897.2106002516962,30.24539479370129,35.77568451551572,4.476443374920094,3738.582663038603,1247.5150097955095,-9.192119480044873,0.1111111111111111,1.0,9,full,2024-07-01,2025-03-01,
ARIMA,test,6,tranquil,1869.2913315193016,1897.2106002516962,30.24539479370129,35.77568451551572,4.476443374920094,3738.582663038603,1247.5150097955095,-9.192119480044873,0.1111111111111111,1.0,9,full,2024-07-01,2025-03-01,
ARIMA,test,12,all,1830.393099403521,1845.9412070201315,29.301824796253094,34.39633020448182,4.3832927084002495,3660.786198807042,1115.0494084403085,-8.941303212643623,1.0,1.0,3,full,2025-01-01,2025-03-01,
ARIMA,test,12,crisis,,,,,,,,,,,0,full,,,
ARIMA,test,12,tranquil,1830.393099403521,1845.9412070201315,29.301824796253094,34.39633020448182,4.3832927084002495,3660.786198807042,1115.0494084403085,-8.941303212643625,1.0,1.0,3,full,2025-01-01,2025-03-01,
ARIMA,validation,1,all,1112.3890830572047,1536.6188874228305,27.161999982225936,21.888763871817375,2.663868738500832,1159.2598814450769,901.4895648330426,-10.923461631112941,0.46153846153846156,0.6538461538461539,26,full,2020-02-01,2022-03-01,
ARIMA,validation,1,crisis,1141.3573999238945,1565.1255939475398,28.052960029490105,22.5638962557698,2.733239963806351,1174.5757837916829,928.1661057015165,-11.060651881794747,0.44,0.64,25,full,2020-03-01,2022-03-01,
ARIMA,validation,1,tranquil,388.18116138996265,388.18116138996265,4.887998800621638,5.010454273006772,0.9295881058628573,776.3623227799253,234.57604312119227,-7.493705364067822,1.0,1.0,1,full,2020-02-01,2020-02-01,
ARIMA,validation,3,all,1494.4753987746274,1990.1077135003295,37.81390398810611,29.13470904174982,3.578861349765302,1501.9548675681956,1181.4528680541491,-10.849163255753362,0.4583333333333333,0.75,24,full,2020-04-01,2022-03-01,
ARIMA,validation,3,crisis,1494.4753987746274,1990.1077135003295,37.81390398810611,29.13470904174982,3.578861349765302,1501.9548675681956,1181.4528680541491,-10.849163255753362,0.4583333333333333,0.75,24,full,2020-04-01,2022-03-01,
ARIMA,validation,6,all,2225.234963707158,2668.758709192085,61.49449278790446,43.5665245433513,5.3288313827633065,2225.234963707158,1761.6306678311223,-11.245510230250792,0.3333333333333333,0.5238095238095238,21,full,2020-07-01,2022-03-01,
ARIMA,validation,6,crisis,2225.234963707158,2668.758709192085,61.49449278790446,43.5665245433513,5.3288313827633065,2225.234963707158,1761.6306678311223,-11.245510230250792,0.3333333333333333,0.5238095238095238,21,full,2020-07-01,2022-03-01,
ARIMA,validation,12,all,4233.43741254068,4524.70204910599,151.51939565229839,78.98044193384935,10.137929031695675,4233.43741254068,3462.7844493390703,-13.502031817877043,0.06666666666666667,0.2,15,full,2021-01-01,2022-03-01,
