model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2019-01-01,2019-02-01,1,validation,6035.155009941658,6721.054651520376,439.6883313967635,6157.571382066985,7284.537920973767,5859.281357560231,7582.827945480521,460.2794566488381,-8.221754449008003
BVAR,2019-01-01,2019-02-01,1,validation,6035.155009941658,6337.173869847744,513.916603769334,5678.563241727585,6995.784497967903,5329.915835402736,7344.431904292752,188.93862961058403,-7.33368382768839
DMA,2019-01-01,2019-02-01,1,validation,6035.155009941658,6406.04490754088,,,,,,,
DMS,2019-01-01,2019-02-01,1,validation,6035.155009941658,6721.054651520376,,,,,,,
MS-VAR,2019-01-01,2019-02-01,1,validation,6035.155009941658,6442.274621479582,495.44677501584135,5807.334031313809,7077.215211645354,5471.216786192041,7413.3324567671225,242.21359282652298,-7.462012147474003
MS-VECM,2019-01-01,2019-02-01,1,validation,6035.155009941658,6573.531972837937,495.44677501584135,5938.591382672164,7208.47256300371,5602.474137550396,7544.589808125478,328.6596952906111,-7.714801972203307
Naive,2019-01-01,2019-02-01,1,validation,6035.155009941658,6152.196208752774,495.44677501584135,5517.255618587001,6787.136798918546,5181.138373465232,7123.254044040315,126.76278202043765,-7.15230163259526
VECM,2019-01-01,2019-02-01,1,validation,6035.155009941658,6398.536641628994,383.426962976981,5907.15521695368,6889.918066304309,5647.033603492559,7150.039679765429,217.5655237093154,-7.317174855834511
XGBoost,2019-01-01,2019-02-01,1,validation,6035.155009941658,6217.54638671875,2.383046552594857,6214.492389678506,6220.600383758994,6212.875701302182,6222.217072135318,181.04688673500846,-2930.7480885116383
ARIMA,2019-02-01,2019-03-01,1,validation,7629.241941007436,6724.608763859921,439.6883313967635,6161.12549440653,7288.092033313312,5862.835469899776,7586.382057820066,662.9584618960083,-9.121538169315874
BVAR,2019-02-01,2019-03-01,1,validation,7629.241941007436,6343.745373580631,482.9249278002961,5724.852176317456,6962.6385708438065,5397.229907855471,7290.260839305792,1014.194295411639,-10.641648396806758
DMA,2019-02-01,2019-03-01,1,validation,7629.241941007436,6326.776056373918,,,,,,,
DMS,2019-02-01,2019-03-01,1,validation,7629.241941007436,6724.608763859921,,,,,,,
MS-VAR,2019-02-01,2019-03-01,1,validation,7629.241941007436,6153.053587431012,495.44677501584135,5518.112997265239,6787.9941775967845,5181.99575214347,7124.1114227185535,1197.0692635122416,-11.563136778549245
MS-VECM,2019-02-01,2019-03-01,1,validation,7629.241941007436,6465.233225614097,495.44677501584135,5830.292635448324,7100.17381577987,5494.175390326556,7436.291060901638,887.6190090132568,-9.88426739127134
