model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2019-01-01,2019-02-01,1,validation,6035.155009941658,6793.2224790103555,378.1760871198784,6308.570322510193,7277.874635510518,6052.010968441133,7534.433989579578,551.0488983277847,-8.86338015380267
BVAR,2019-01-01,2019-02-01,1,validation,6035.155009941658,6289.892666250255,401.8609528063654,5774.887133049852,6804.8981994506585,5502.25967195685,7077.525660543661,156.25943569385353,-7.1159561209961915
DMA,2019-01-01,2019-02-01,1,validation,6035.155009941658,6227.902336993841,,,,,,,
DMS,2019-01-01,2019-02-01,1,validation,6035.155009941658,6793.2224790103555,,,,,,,
MS-VAR,2019-01-01,2019-02-01,1,validation,6035.155009941658,5858.806275729671,419.52501920556364,5321.163330581485,6396.449220877857,5036.5523474733145,6681.060203986028,127.18609676998318,-7.0464101542537225
MS-VECM,2019-01-01,2019-02-01,1,validation,6035.155009941658,5823.093827948751,419.52501920556364,5285.450882800565,6360.736773096937,5000.839899692394,6645.3477562051075,139.9167238063379,-7.0858163218266625
Naive,2019-01-01,2019-02-01,1,validation,6035.155009941658,6152.196208752774,419.52501920556364,5614.553263604587,6689.83915390096,5329.942280496417,6974.45013700913,110.98359611711005,-6.996978020516882
VECM,2019-01-01,2019-02-01,1,validation,6035.155009941658,6323.780194233831,375.33067204909656,5842.774583872254,6804.785804595408,5588.145594724408,7059.414793743254,172.13963501051367,-7.14241805733949
XGBoost,2019-01-01,2019-02-01,1,validation,6035.155009941658,6354.32470703125,9.323924666532852,6342.375616777831,6366.273797284669,6336.050150490281,6372.599263572219,313.90923591495005,-589.0411307041585
ARIMA,2019-02-01,2019-03-01,1,validation,7629.241941007436,6949.706598395813,378.1760871198784,6465.054441895651,7434.358754895975,6208.49508782659,7690.918108965036,477.05497631475197,-8.468679226197514
BVAR,2019-02-01,2019-03-01,1,validation,7629.241941007436,6288.348338995793,402.75455827277483,5772.1976043109335,6804.499073680652,5498.963910171838,7077.732767819748,1113.7552054078099,-12.459408686660183
DMA,2019-02-01,2019-03-01,1,validation,7629.241941007436,6279.861326433938,,,,,,,
DMS,2019-02-01,2019-03-01,1,validation,7629.241941007436,6949.706598395813,,,,,,,
MS-VAR,2019-02-01,2019-03-01,1,validation,7629.241941007436,6126.6144907744365,419.52501920556364,5588.97154562625,6664.257435922623,5304.36056251808,6948.868419030793,1265.9710309245768,-13.372474550527528
MS-VECM,2019-02-01,2019-03-01,1,validation,7629.241941007436,6083.66861013492,419.52501920556364,5546.025664986733,6621.311555283106,5261.414681878563,6905.922538391276,1308.9048208530849,-13.74436870768481
Naive,2019-02-01,2019-03-01,1,validation,7629.241941007436,6152.196208752774,419.52501920556364,5614.553263604587,6689.83915390096,5329.942280496417,6974.45013700913,1240.3991308227476,-13.155927331119653
VECM,2019-02-01,2019-03-01,1,validation,7629.241941007436,6323.780194233831,375.33067204909656,5842.774583872254,6804.785804595408,5588.145594724408,7059.414793743254,1093.7518440361282,-12.8955594353525
XGBoost,2019-02-01,2019-03-01,1,validation,7629.241941007436,6034.71484375,9.323924666532852,6022.765753496581,6046.663934003419,6016.440287209031,6052.989400290969,1589.2666360827945,-14626.1454771692
ARIMA,2019-03-01,2019-04-01,1,validation,7213.972057497156,7024.863668675813,378.1760871198784,6540.211512175651,7509.515825175975,6283.65215810659,7766.0751792450355,125.33668235999906,-6.9793253599343394
BVAR,2019-03-01,2019-04-01,1,validation,7213.972057497156,6277.331130086804,412.79742652972715,5748.309941864684,6806.352318308923,5468.263041177742,7086.399218995865,707.0538623563966,-9.516095617613407
DMA,2019-03-01,2019-04-01,1,validation,7213.972057497156,6932.398007459093,,,,,,,
DMS,2019-03-01,2019-04-01,1,validation,7213.972057497156,7024.863668675813,,,,,,,
MS-VAR,2019-03-01,2019-04-01,1,validation,7213.972057497156,8111.9161747006965,419.52501920556364,7574.27322955251,8649.559119848884,7289.66224644434,8934.170102957052,666.1037641906528,-9.248680870928476
MS-VECM,2019-03-01,2019-04-01,1,validation,7213.972057497156,8077.228460919979,419.52501920556364,7539.585515771792,8614.871406068165,7254.974532663622,8899.482389176335,632.6601708822731,-9.075125221643951
Naive,2019-03-01,2019-04-01,1,validation,7213.972057497156,6152.196208752774,419.52501920556364,5614.553263604587,6689.83915390096,5329.942280496417,6974.45013700913,826.611577396411,-10.160788967960391
VECM,2019-03-01,2019-04-01,1,validation,7213.972057497156,6323.780194233831,375.33067204909656,5842.774583872254,6804.785804595408,5588.145594724408,7059.414793743254,680.657039418614,-9.659353473168302
XGBoost,2019-03-01,2019-04-01,1,validation,7213.972057497156,6559.47021484375,9.323924666532852,6547.521124590331,6571.419305097169,6541.195658302781,6577.744771384719,649.2413814787643,-2466.8879202159706
ARIMA,2019-01-01,2019-04-01,3,validation,7213.972057497156,6798.403205094152,590.3735330601168,6041.809079544627,7554.997330643678,5641.292342870688,7955.5140673176165,250.07692659498127,-7.547437450748705
BVAR,2019-01-01,2019-04-01,3,validation,7213.972057497156,6257.264255173616,620.7333654503353,5461.762438894722,7052.76607145251,5040.649214888653,7473.87929545858,639.5923419872362,-8.537572155374793
DMA,2019-01-01,2019-04-01,3,validation,7213.972057497156,6111.951341068451,,,,,,,
DMS,2019-01-01,2019-04-01,3,validation,7213.972057497156,6798.403205094152,,,,,,,
MS-VAR,2019-01-01,2019-04-01,3,validation,7213.972057497156,5638.5644497532185,419.52501920556364,5100.921504605032,6176.207394901405,4816.310521496862,6460.818378009575,1338.7331397053388,-14.008890163649774
MS-VECM,2019-01-01,2019-04-01,3,validation,7213.972057497156,5532.400549667988,419.52501920556364,4994.757604519802,6070.043494816175,4710.146621411632,6354.654477924345,1444.885592439715,-14.991194612152771
Naive,2019-01-01,2019-04-01,3,validation,7213.972057497156,6152.196208752774,419.52501920556364,5614.553263604587,6689.83915390096,5329.942280496417,6974.45013700913,826.611577396411,-10.160788967960391
VECM,2019-01-01,2019-04-01,3,validation,7213.972057497156,6327.279937787411,375.33067204909656,5846.274327425834,6808.285548148988,5591.645338277987,7062.914537296834,677.2200460469304,-9.637281701928115
XGBoost,2019-01-01,2019-04-01,3,validation,7213.972057497156,6077.55078125,9.323924666532852,6065.601690996581,6089.499871503419,6059.276224709031,6095.825337790969,1131.1608150725142,-7430.797648330739
ARIMA,2019-04-01,2019-05-01,1,validation,6722.612629789063,7184.061449065797,378.1760871198784,6699.409292565635,7668.713605565959,6442.849938496574,7925.27295963502,288.79097710013934,-7.5987371805961565
