model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2019-01-01,2019-02-01,1,validation,6035.155009941658,6761.650131831677,396.108490922138,6254.016675164743,7269.283588498611,5985.291755653797,7538.008508009557,513.3897640325108,-8.582553531006171
BVAR,2019-01-01,2019-02-01,1,validation,6035.155009941658,6312.730275772232,462.5411716081931,5719.959913168734,6905.50063837573,5406.166238053238,7219.294313491226,172.62281568918826,-7.235739701093681
DMA,2019-01-01,2019-02-01,1,validation,6035.155009941658,6263.6265329206535,,,,,,,
DMS,2019-01-01,2019-02-01,1,validation,6035.155009941658,6761.650131831677,,,,,,,
MS-VAR,2019-01-01,2019-02-01,1,validation,6035.155009941658,5909.92640464828,453.2974445681223,5329.002354904455,6490.850454392105,5021.479739010743,6798.373070285817,119.64794711010377,-7.073647245664432
MS-VECM,2019-01-01,2019-02-01,1,validation,6035.155009941658,5894.026616500029,453.2974445681223,5313.102566756204,6474.950666243854,5005.579950862492,6782.4732821375665,123.32202332216518,-7.083952504710826
Naive,2019-01-01,2019-02-01,1,validation,6035.155009941658,6152.196208752774,453.2974445681223,5571.272159008949,6733.120258496599,5263.7495431152365,7040.642874390311,117.9228178684766,-7.068820559034315
VECM,2019-01-01,2019-02-01,1,validation,6035.155009941658,6383.9474015333335,408.7875334513439,5860.065098063485,6907.829705003182,5582.738558639759,7185.156244426908,207.54707382618227,-7.2961402286391985
XGBoost,2019-01-01,2019-02-01,1,validation,6035.155009941658,6430.90869140625,6.628243479697585,6422.41425559803,6439.40312721447,6417.91757290528,6443.89980990722,392.01409553612814,-1785.2835442292521
ARIMA,2019-02-01,2019-03-01,1,validation,7629.241941007436,6801.988881498688,396.108490922138,6294.355424831754,7309.622338165622,6025.630505320808,7578.347257676568,609.0629816059459,-9.081439860099241
BVAR,2019-02-01,2019-03-01,1,validation,7629.241941007436,6309.302617636858,421.8970589469498,5768.619781244563,6849.985454029153,5482.399576917486,7136.205658356229,1082.112480950417,-11.85771090710347
DMA,2019-02-01,2019-03-01,1,validation,7629.241941007436,6328.122598198235,,,,,,,
DMS,2019-02-01,2019-03-01,1,validation,7629.241941007436,6801.988881498688,,,,,,,
MS-VAR,2019-02-01,2019-03-01,1,validation,7629.241941007436,6174.006621707401,453.2974445681223,5593.082571963576,6754.930671451226,5285.559956069864,7062.453287344938,1199.6510590631217,-12.188603023502925
MS-VECM,2019-02-01,2019-03-01,1,validation,7629.241941007436,6191.98628047734,453.2974445681223,5611.062230733515,6772.910330221165,5303.539614839803,7080.432946114877,1181.6969515645885,-12.062054546964948
Naive,2019-02-01,2019-03-01,1,validation,7629.241941007436,6152.196208752774,453.2974445681223,5571.272159008949,6733.120258496599,5263.7495431152365,7040.642874390311,1221.4348605102666,-12.344225723284392
VECM,2019-02-01,2019-03-01,1,validation,7629.241941007436,6383.9474015333335,408.7875334513439,5860.065098063485,6907.829705003182,5582.738558639759,7185.156244426908,1014.9257378622549,-11.572143750171138
XGBoost,2019-02-01,2019-03-01,1,validation,7629.241941007436,6283.43017578125,6.628243479697585,6274.93573997303,6291.92461158947,6270.43905728028,6296.42129428222,1342.0721792977226,-20615.8357090264
