model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1158.0598321126984,1272.1781410950252,38.25555749122317,35.53316056000889,3.737595427081184,1887.673483668915,914.2816168278185,-10.298752553325233,0.20512820512820512,0.28205128205128205,39,full,2022-01-01,2025-03-01,
ARIMA,test,3,all,1423.294968821813,1498.7953900723012,45.85035380717402,42.2920096390771,4.593632055393118,2313.88482140008,1021.3238389553045,-9.403961675680742,0.1794871794871795,0.7435897435897436,39,full,2022-01-01,2025-03-01,
ARIMA,test,6,all,1591.284597506829,1809.8232065110326,47.762349671655144,45.900215231655956,5.135812390604917,2687.807853556283,1145.4318392612965,-9.288068912566631,0.41025641025641024,0.6923076923076923,39,full,2022-01-01,2025-03-01,
ARIMA,test,12,all,2233.741985923763,2511.0030219667633,70.72728220812458,62.2595442858841,7.20931993352777,3642.3204675651355,1602.0686696219539,-9.581552539681166,0.38461538461538464,0.7692307692307693,39,full,2022-01-01,2025-03-01,
ARIMA,validation,1,all,1258.2524256942613,1483.8817468398972,29.792800803301816,23.366488515111786,4.060963330201245,1564.3147440887337,1015.8311693438603,-11.560989914062693,0.2,0.42857142857142855,35,full,2019-02-01,2021-12-01,
ARIMA,validation,3,all,1513.7759112139581,1797.0075651532866,36.09518849724636,27.487826880006924,4.885655962228674,1858.9064409406685,1164.021609443249,-10.275399688624152,0.42424242424242425,0.6363636363636364,33,full,2019-04-01,2021-12-01,
ARIMA,validation,6,all,1906.7885311966645,2133.635952117914,44.58115739798699,34.731027645462355,6.154089708482303,2525.858366631272,1417.3914115895648,-9.85003649498945,0.23333333333333334,0.6666666666666666,30,full,2019-07-01,2021-12-01,
ARIMA,validation,12,all,2535.820144378327,3069.8160589259846,76.52777652139905,45.48477245385427,8.18426605664916,3014.382874498628,1947.5308337109102,-10.265374856047227,0.4583333333333333,0.5833333333333334,24,full,2020-01-01,2021-12-01,
BVAR,test,1,all,1099.9584111132212,1278.9314354142743,32.591178412549915,33.69649206165365,3.550075232171746,1919.6298168600333,859.0563455844741,-10.11935312512604,0.2564102564102564,0.5384615384615384,39,full,2022-01-01,2025-03-01,
BVAR,test,3,all,1439.2485630847882,1627.1886173867183,43.6778406587863,42.28520853487536,4.645121692896582,2428.9792381276457,1064.590430776323,-9.633342616273033,0.38461538461538464,0.6666666666666666,39,full,2022-01-01,2025-03-01,
BVAR,test,6,all,1822.9298992639838,2107.7709679004824,59.00274586900367,51.45454674568697,5.883439064585028,2941.146830260094,1356.6399461107435,-9.833264363385346,0.38461538461538464,0.6666666666666666,39,full,2022-01-01,2025-03-01,
BVAR,test,12,all,2577.456875763006,2945.9557267327136,89.28777993857815,67.83722348055696,8.318647072643884,3948.5811623301156,1970.0556428581365,-10.261900826294983,0.358974358974359,0.46153846153846156,39,full,2022-01-01,2025-03-01,
BVAR,validation,1,all,1360.0106872035499,1598.2278544411704,32.835221049850816,25.504062122127426,4.389384368854311,1819.5654275780234,1116.796292385076,-12.000210528980404,0.2571428571428571,0.34285714285714286,35,full,2019-02-01,2021-12-01,
