model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,2473.0548555712626,2489.6844642399983,40.40120101916555,50.7193180580174,6.4076650816201735,4946.109711142525,2135.9765044199835,-15.992702023505883,0.0,0.0,7,common_dates,2024-07-01,2025-01-01,7
ARIMA,test,3,all,2564.418403648954,2574.3741765323675,40.98654662571221,51.6035148361537,6.6443872940011515,5128.836807297908,2057.2566770977305,-11.798439413730245,0.0,0.0,7,common_dates,2024-09-01,2025-03-01,7
ARIMA,test,6,all,2052.6987910858666,2060.6144626507075,33.047693206811914,39.61923585545682,5.318525926383698,4105.397582171733,1399.2568338414058,-9.39602848802386,0.0,1.0,4,common_dates,2024-12-01,2025-03-01,4
ARIMA,test,12,all,2640.34371386435,2640.34371386435,111.80103183534224,71.71306084348227,6.841109157239398,2640.34371386435,1827.3597625167872,-9.733234692066231,0.0,1.0,1,common_dates,2022-01-01,2022-01-01,1
ARIMA,validation,1,all,1878.9148007449965,2209.7936900955688,32.5088480119979,26.276493225070876,4.86825301628499,1878.9148007449965,1579.9675440217861,-14.852943155337544,0.09090909090909091,0.36363636363636365,11,common_dates,2020-04-01,2021-02-01,11
ARIMA,validation,3,all,2346.572761655829,2780.9429201004996,46.33120296328516,34.32842738208972,6.0799510016812075,2346.572761655829,1968.3402708009066,-13.981303758939607,0.2727272727272727,0.45454545454545453,11,common_dates,2020-06-01,2021-04-01,11
ARIMA,validation,6,all,3284.9183571251315,3498.991990710481,74.5527820181779,52.00043272412259,8.511196832332974,3284.9183571251315,2718.7157632364715,-13.724638874797153,0.0,0.18181818181818182,11,common_dates,2020-09-01,2021-07-01,11
ARIMA,validation,12,all,5105.406846124528,5246.734836651608,184.58847651006872,88.94445506992784,13.228067748549805,5105.406846124528,4328.748446344425,-15.387560104388266,0.0,0.0,10,common_dates,2021-03-01,2021-12-01,10
BVAR,test,1,all,490.6407901242119,557.0244702965333,7.866971217757889,8.278825608304885,1.2712463095652722,981.2815802484238,324.38796905069864,-7.763780551577768,0.8571428571428571,1.0,7,common_dates,2024-07-01,2025-01-01,7
BVAR,test,3,all,649.7918873618592,678.3873034657432,10.311944352876644,10.917069560368903,1.68360551226304,1299.5837747237183,408.83133263231366,-8.055643034784127,1.0,1.0,7,common_dates,2024-09-01,2025-03-01,7
BVAR,test,6,all,590.8752585465656,621.811494834164,9.444920921531677,9.957242882199814,1.530953004642327,1181.7505170931313,418.08315441348,-8.199896781178106,1.0,1.0,4,common_dates,2024-12-01,2025-03-01,4
BVAR,test,12,all,5474.5084341218335,5474.5084341218335,231.80909686576877,107.36647215092295,14.184406970727945,5474.5084341218335,4640.723623215309,-15.077371585471544,0.0,0.0,1,common_dates,2022-01-01,2022-01-01,1
BVAR,validation,1,all,1373.731157437133,1649.561155214037,25.12221233296846,20.974857694785964,3.5593262920204305,1373.731157437133,1101.3265601764663,-10.843844794144895,0.2727272727272727,0.5454545454545454,11,common_dates,2020-04-01,2021-02-01,11
BVAR,validation,3,all,1816.6184949070912,2113.947976431916,36.78863447326078,28.96599516262871,4.706843792897881,1816.6184949070912,1421.7566499588208,-10.37523571872577,0.36363636363636365,0.45454545454545453,11,common_dates,2020-06-01,2021-04-01,11
BVAR,validation,6,all,2814.9468276583007,3002.153223690439,67.41055867534804,47.20858804446356,7.293504409564368,2814.9468276583007,2197.1557353100334,-11.285630818764014,0.09090909090909091,0.36363636363636365,11,common_dates,2020-09-01,2021-07-01,11
BVAR,validation,12,all,4566.0144223114075,4647.03126542729,163.24141247514572,84.1344730024919,11.83050635132822,4566.0144223114075,3735.520798570452,-13.175446330007185,0.0,0.0,10,common_dates,2021-03-01,2021-12-01,10
DMA,test,1,all,937.9715099781537,1008.423800041442,15.384750458239822,14.140053790117744,2.4302765781769273,937.9715099781537,,,,,7,common_dates,2024-07-01,2025-01-01,7
DMA,test,3,all,1532.3167537980542,1841.00763917674,24.67388238250176,21.008208854604938,3.9702202865311413,1532.3167537980542,,,,,7,common_dates,2024-09-01,2025-03-01,7
DMA,test,6,all,6090744.2049505245,6090744.24390334,98312.99083640588,200.0,15781.068857094464,12181488.409901049,,,,,4,common_dates,2024-12-01,2025-03-01,4
DMA,test,12,all,3.4696161893884406e+18,3.4696161893884406e+18,1.4691521713985642e+17,199.99999999999972,8989747418373723.0,3.4696161893884406e+18,,,,,1,common_dates,2022-01-01,2022-01-01,1
DMA,validation,1,all,1373.7076267147218,1649.5201098055666,25.121710152884347,20.974564778477713,3.559265324109427,1373.7076267147218,,,,,11,common_dates,2020-04-01,2021-02-01,11
DMA,validation,3,all,1816.6166014979945,2113.9451786342274,36.78859167879915,28.965971856509917,4.706838887090261,1816.6166014979945,,,,,11,common_dates,2020-06-01,2021-04-01,11
DMA,validation,6,all,912798.9668466732,955175.9562387078,18892.789304854985,196.44489314979256,2365.0547229981808,1823498.9885847939,,,,,11,common_dates,2020-09-01,2021-07-01,11
DMA,validation,12,all,1.0399319044662825e+22,1.0399319046853214e+22,3.4959738663170546e+20,200.0,2.6944551336982467e+19,1.0399319044662825e+22,,,,,10,common_dates,2021-03-01,2021-12-01,10
DMS,test,1,all,937.971946067673,1008.4243402591527,15.384757565238663,14.140059652838838,2.4302777080813365,937.971946067673,,,,,7,common_dates,2024-07-01,2025-01-01,7
DMS,test,3,all,1532.3989899569676,1841.0885973560235,24.67516146696333,21.00919265200398,3.9704333597521937,1532.3989899569676,,,,,7,common_dates,2024-09-01,2025-03-01,7
DMS,test,6,all,1718.7545119624187,1851.591076313327,27.466977817727823,23.800149778252923,4.453279006475868,1718.7545119624187,,,,,4,common_dates,2024-12-01,2025-03-01,4
DMS,test,12,all,5474.5084341218335,5474.5084341218335,231.80909686576877,107.36647215092295,14.184406970727945,5474.5084341218335,,,,,1,common_dates,2022-01-01,2022-01-01,1
DMS,validation,1,all,1373.731157437133,1649.561155214037,25.12221233296846,20.974857694785964,3.5593262920204305,1373.731157437133,,,,,11,common_dates,2020-04-01,2021-02-01,11
DMS,validation,3,all,1816.6184949070912,2113.947976431916,36.78863447326078,28.96599516262871,4.706843792897881,1816.6184949070912,,,,,11,common_dates,2020-06-01,2021-04-01,11
DMS,validation,6,all,2814.9468276583007,3002.153223690439,67.41055867534804,47.20858804446356,7.293504409564368,2814.9468276583007,,,,,11,common_dates,2020-09-01,2021-07-01,11
DMS,validation,12,all,4566.0144223114075,4647.03126542729,163.24141247514575,84.1344730024919,11.83050635132822,4566.0144223114075,,,,,10,common_dates,2021-03-01,2021-12-01,10
MS-VAR,test,1,all,715.6948212128251,824.9358963376559,11.67182073695601,10.836151217762877,1.8543594795928966,715.6948212128251,495.9946591295899,-8.185724449595336,0.42857142857142855,1.0,7,common_dates,2024-07-01,2025-01-01,7
MS-VAR,test,3,all,1842.8993132252428,2027.940203556154,29.60248680411534,30.53572953247141,4.774937180100457,2632.319168645154,1506.448685408385,-12.030864894306863,0.14285714285714285,0.14285714285714285,7,common_dates,2024-09-01,2025-03-01,7
MS-VAR,test,6,all,2106.2367134829037,2172.3163540536184,33.98110103234771,37.60577876366189,5.457242249280119,3332.5282306406016,1731.2871036411407,-12.710277171929498,0.0,0.0,4,common_dates,2024-12-01,2025-03-01,4
MS-VAR,test,12,all,2771.3613186478847,2771.3613186478847,117.34875780998664,73.95570640944466,7.1805747090680265,2771.3613186478847,2424.4721695798435,-17.498656686329525,0.0,0.0,1,common_dates,2022-01-01,2022-01-01,1
MS-VAR,validation,1,all,694.3336777180651,826.601598863159,11.889244134163656,10.924652942689976,1.7990129299737074,704.8606143877477,492.55535463625,-8.229936824166792,0.45454545454545453,0.8181818181818182,11,common_dates,2020-04-01,2021-02-01,11
MS-VAR,validation,3,all,1146.657848238638,1303.7847476009988,22.11073669787515,19.222954709116337,2.970981188780479,1173.6468625949858,874.0172303237437,-9.528907444369892,0.36363636363636365,0.5454545454545454,11,common_dates,2020-06-01,2021-04-01,11
