model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1679.1204486115334,1990.4912946657944,34.53595166280622,37.82140656241519,7.140814847421357,3138.9681260739894,1458.2063375683272,-16.56117937927107,0.25,0.35,20,common_dates,2022-01-01,2025-06-01,20
ARIMA,test,3,all,2503.5230622046206,2696.3468866114354,56.01091807022234,57.1659968564811,10.64676132569001,4516.987551677152,2140.695228845298,-14.867962958046661,0.16666666666666666,0.16666666666666666,18,common_dates,2022-01-01,2025-06-01,18
ARIMA,test,6,all,2239.123907606393,2274.010273414225,51.087799453657404,48.76718927145756,9.522347999438228,3984.0112393656777,1674.391313705515,-10.314161803907844,0.06666666666666667,0.26666666666666666,15,common_dates,2022-01-01,2025-06-01,15
ARIMA,test,12,all,2292.424880798589,2310.821091819223,62.16138539533451,52.61088888868313,9.749021661275634,3738.9918687475456,1563.1656470369767,-9.530900829911507,0.2222222222222222,0.8888888888888888,9,common_dates,2022-01-01,2025-06-01,9
ARIMA,validation,1,all,1435.21892991119,1802.1073695701568,34.910233483837104,25.71471477805923,6.103572053145218,1650.2421210616162,1225.9735221229814,-15.840075317812511,0.22857142857142856,0.34285714285714286,35,common_dates,2019-02-01,2021-12-01,35
ARIMA,validation,3,all,1663.8983059477684,2107.8516959526073,40.47087355485371,29.27971636986262,7.076079466208614,1913.2428855370927,1368.390506897978,-12.950685877240279,0.3333333333333333,0.45454545454545453,33,common_dates,2019-04-01,2021-12-01,33
ARIMA,validation,6,all,1970.6683648962362,2354.65192576368,47.20535979600257,34.89718471686134,8.38068402480055,2469.036353808499,1576.5636537518403,-11.433388079389596,0.26666666666666666,0.5333333333333333,30,common_dates,2019-07-01,2021-12-01,30
ARIMA,validation,12,all,2679.748058055166,3403.613994497291,84.49940964398856,46.236047505205455,11.396195392732018,3039.0150845287444,2202.6902734973723,-12.087304734761736,0.4166666666666667,0.5,24,common_dates,2020-01-01,2021-12-01,24
BVAR,test,1,all,1561.3318049405048,1909.9191688961319,30.760461466667234,34.70556940769822,6.639893727510502,2969.682684863839,1369.084147854239,-14.52438557801904,0.35,0.35,20,common_dates,2022-01-01,2025-06-01,20
BVAR,test,3,all,2073.782367869821,2271.153922571496,47.171426747023574,46.56202519303933,8.819198131408974,3715.537072302443,1734.8540326033408,-12.233882679125896,0.16666666666666666,0.16666666666666666,18,common_dates,2022-01-01,2025-06-01,18
BVAR,test,6,all,2622.579705024465,2633.883090738621,57.16358720518026,58.401691317755436,11.153074880167347,4756.048500570575,2053.602213017588,-11.199571034882323,0.0,0.0,15,common_dates,2022-01-01,2025-06-01,15
BVAR,test,12,all,2608.1526567521414,2639.9700492399634,62.797735444377246,61.44697269162808,11.091720806019385,4524.385826827264,1854.1974991375157,-9.8958292563485,0.0,0.6666666666666666,9,common_dates,2022-01-01,2025-06-01,9
BVAR,validation,1,all,1331.541288034657,1567.3060403172976,31.489688154034045,24.853804800832574,5.662660952890456,1801.0619394088183,1121.3474634808276,-13.664343443667905,0.2571428571428571,0.3142857142857143,35,common_dates,2019-02-01,2021-12-01,35
BVAR,validation,3,all,1606.2071683860054,1823.329963594475,36.83122742185393,29.105999808355193,6.83073570185489,2150.1826041078775,1280.854704537804,-11.262932677977417,0.21212121212121213,0.3939393939393939,33,common_dates,2019-04-01,2021-12-01,33
BVAR,validation,6,all,1899.5863659714853,2159.061936664113,44.929726550913415,34.15042558077294,8.078392790287879,2408.556455512468,1467.7213126309061,-10.55103292631448,0.2,0.5,30,common_dates,2019-07-01,2021-12-01,30
BVAR,validation,12,all,2713.0315065755985,3413.8210555987744,84.28870879799035,46.691140629144876,11.537740297128018,3021.6855761852676,2236.3901366636132,-11.897312425373949,0.4583333333333333,0.5,24,common_dates,2020-01-01,2021-12-01,24
DMA,test,1,all,364.905410666634,541.1185630433224,9.29777108598292,9.023715118784754,1.5518374375985724,595.1669080763065,,,,,20,common_dates,2022-01-01,2025-06-01,20
DMA,test,3,all,740.7492062958427,1008.2933485036767,18.659772046032497,19.800874487608624,3.150192670756214,1332.0627768544507,,,,,18,common_dates,2022-01-01,2025-06-01,18
DMA,test,6,all,818.1237754146906,1235.999478806954,17.662015864386422,20.87448530702143,3.479244390919337,1577.668850950128,,,,,15,common_dates,2022-01-01,2025-06-01,15
DMA,test,12,all,1485.396958705084,2128.9206138511186,31.545004733946406,44.95267580098879,6.316964733415453,2970.793917410168,,,,,9,common_dates,2022-01-01,2025-06-01,9
DMA,validation,1,all,672.1045235234591,844.3954798281105,13.560365526793971,13.896233121655547,2.8582666386821627,1061.91881242004,,,,,35,common_dates,2019-02-01,2021-12-01,35
DMA,validation,3,all,968.2692933034521,1170.662926182097,19.319085420378833,17.331872294083137,4.117769962030336,1360.8096181842677,,,,,33,common_dates,2019-04-01,2021-12-01,33
DMA,validation,6,all,1201.4650648395623,1458.65416720951,26.045698459852527,22.210512856866117,5.10948430218854,1588.3166272686724,,,,,30,common_dates,2019-07-01,2021-12-01,30
DMA,validation,12,all,1970.4506634444085,2399.9243263979356,57.167381657117524,38.037292509013945,8.379758203332052,2176.630244005985,,,,,24,common_dates,2020-01-01,2021-12-01,24
DMS,test,1,all,395.83460990826626,638.5170442111447,9.999680961182667,10.10434397678468,1.6833703990047242,656.3207922782328,,,,,20,common_dates,2022-01-01,2025-06-01,20
DMS,test,3,all,746.2380811990049,1026.779575913227,18.709327178335418,20.194928256964587,3.173535272197671,1332.4429134282452,,,,,18,common_dates,2022-01-01,2025-06-01,18
DMS,test,6,all,809.6110596136964,1230.6578695396906,17.53716760406397,20.749294645371478,3.443042266507188,1560.3884774031694,,,,,15,common_dates,2022-01-01,2025-06-01,15
