model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1272.0340899960938,1624.2835850195397,48.50029934204045,58.05632693383078,4.708912312551608,2449.9793429387223,1083.9646258235255,-12.89427651366024,0.3125,0.3958333333333333,48,common_dates,2022-01-01,2025-12-01,48
ARIMA,test,3,all,1525.4304459484454,1836.484449965956,55.83440945631347,64.34388141430931,5.64695416998595,2834.1382759399444,1220.692308296536,-10.685123776797958,0.2916666666666667,0.6041666666666666,48,common_dates,2022-01-01,2025-12-01,48
ARIMA,test,6,all,2073.452385703685,2469.1877808589193,69.46454385201565,74.91985603317288,7.67566336886425,3808.587701294655,1623.6867097102931,-10.770164147982838,0.3541666666666667,0.5416666666666666,48,common_dates,2022-01-01,2025-12-01,48
ARIMA,test,12,all,2918.418517073677,3271.371993584877,86.28807653856641,89.97953744830824,10.803623107513607,5158.688142182146,2214.0021322741463,-10.726758151006814,0.2916666666666667,0.5208333333333334,48,common_dates,2022-01-01,2025-12-01,48
ARIMA,validation,1,all,1224.569711553833,1457.378327102099,30.184723254205366,23.197341591827435,4.533205074976665,1523.5895823116214,1005.9581576687026,-12.281496885410132,0.2,0.4,35,common_dates,2019-02-01,2021-12-01,35
ARIMA,validation,3,all,1472.5411713225008,1728.4046448985096,35.68057367331334,27.20016444440227,5.451164640093084,1817.004749849853,1154.0000994702723,-10.692364905138115,0.30303030303030304,0.5454545454545454,33,common_dates,2019-04-01,2021-12-01,33
ARIMA,validation,6,all,1776.5524156733163,1981.276051089292,41.93814287714929,32.94865029444005,6.5765765319096685,2373.983214202707,1344.79056992867,-10.028883346310502,0.2,0.6,30,common_dates,2019-07-01,2021-12-01,30
ARIMA,validation,12,all,2363.6865909642297,2867.2719529718374,71.58022071600251,43.340445061310994,8.750074372015279,2804.526343080408,1848.446768668239,-10.538321057451382,0.4583333333333333,0.5,24,common_dates,2020-01-01,2021-12-01,24
BVAR,test,1,all,918.0340400931938,1154.383517436983,26.18161042147668,27.529573765887037,3.3984480673388333,1629.2579985689074,732.5650047637891,-9.911698193799973,0.3958333333333333,0.5833333333333334,48,common_dates,2022-01-01,2025-12-01,48
BVAR,test,3,all,1168.3584107245194,1444.7971217513636,33.29516864060668,33.793142098975515,4.325117816418594,2037.074341274325,899.9697954529729,-9.419132735288438,0.4791666666666667,0.6041666666666666,48,common_dates,2022-01-01,2025-12-01,48
BVAR,test,6,all,1554.965427027515,1881.072354987311,45.388021985585056,43.34610852832406,5.756289003971913,2658.8804395409543,1179.4560610350059,-9.52091466073932,0.375,0.7083333333333334,48,common_dates,2022-01-01,2025-12-01,48
BVAR,test,12,all,2380.3139822745234,2650.368790518,71.51464626305291,63.66395928370835,8.811626910805254,3987.138800707547,1740.7549738939913,-9.890063854339779,0.4375,0.5625,48,common_dates,2022-01-01,2025-12-01,48
BVAR,validation,1,all,1325.9664993547085,1564.5220939229387,31.700114044603346,24.86149346778888,4.908563397747866,1791.8064050719288,1103.7699248680594,-12.798092009520452,0.2571428571428571,0.37142857142857144,35,common_dates,2019-02-01,2021-12-01,35
BVAR,validation,3,all,1593.8828979182626,1812.7166441300594,37.51851643521137,29.21865630223902,5.900356650658468,2126.3624144530713,1248.6657095998753,-10.666764696358326,0.24242424242424243,0.48484848484848486,33,common_dates,2019-04-01,2021-12-01,33
