model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1569.5736892013736,1796.3520572945079,30.57726657351224,34.97661331426874,4.066752704117521,3005.834360102821,1282.905801661578,-11.830389550885387,0.29411764705882354,0.4117647058823529,17,full,2022-01-01,2025-03-01,
ARIMA,test,3,all,1926.6479689179441,2048.4331708192135,37.085243753343256,42.324660840873584,4.991929268046195,3680.456569892132,1462.8072035956175,-10.304241037486406,0.13333333333333333,0.4666666666666667,15,full,2022-01-01,2025-03-01,
ARIMA,test,6,all,1693.2510873114363,1753.8687566270119,36.3771113009945,37.27825000957255,4.3871998399625625,3095.2195859509134,1120.201231222609,-9.029404337736457,0.25,1.0,12,full,2022-01-01,2025-03-01,
ARIMA,test,12,all,2029.8577197288557,2057.2151333631205,65.38424838808112,50.79823659001041,5.259344895671257,2945.0542694306164,1292.8552662330958,-9.13440160863817,0.6666666666666666,1.0,6,full,2022-01-01,2025-03-01,
ARIMA,validation,1,all,1035.9087684753683,1408.7429379479272,20.67935497119791,17.402769890068104,2.684031220961529,1306.3762650587219,825.5122339723592,-10.4104901117643,0.42857142857142855,0.6571428571428571,35,full,2019-02-01,2021-12-01,
ARIMA,validation,3,all,1289.2390800262424,1771.4787284498054,27.298744428466737,21.903815507345517,3.3404080044298166,1574.293674476705,1005.8018379402885,-10.163088071847408,0.5757575757575758,0.7878787878787878,33,full,2019-04-01,2021-12-01,
ARIMA,validation,6,all,1843.796861788704,2325.1676132633124,42.68434833775107,31.91753243417973,4.777262721151919,2235.030296297182,1434.767021802874,-10.420641847002566,0.5,0.6666666666666666,30,full,2019-07-01,2021-12-01,
ARIMA,validation,12,all,2735.1376653904917,3547.330884607044,87.5012218091411,46.47072937685348,7.0867195171448785,2954.634438812102,2268.586341320161,-11.508748827845528,0.5,0.5,24,full,2020-01-01,2021-12-01,
BVAR,test,1,all,538.6578795910618,602.184020653101,8.584533405108017,9.061756026236797,1.3956581990972148,1077.3157591821237,351.22693239392436,-7.82433156678165,0.7777777777777778,1.0,9,full,2024-07-01,2025-03-01,
BVAR,test,3,all,649.7918873618592,678.3873034657432,10.311944352876644,10.917069560368903,1.68360551226304,1299.5837747237183,408.8313326323137,-8.055643034784127,1.0,1.0,7,full,2024-09-01,2025-03-01,
BVAR,test,6,all,590.8752585465656,621.811494834164,9.444920921531677,9.957242882199814,1.530953004642327,1181.7505170931313,418.08315441348,-8.199896781178104,1.0,1.0,4,full,2024-12-01,2025-03-01,
BVAR,test,12,all,5474.5084341218335,5474.5084341218335,231.80909686576877,107.36647215092295,14.184406970727945,5474.5084341218335,4640.723623215309,-15.077371585471544,0.0,0.0,1,full,2022-01-01,2022-01-01,
BVAR,validation,1,all,1368.6584591970266,1576.5310413665918,21.016466076448374,20.032599752487616,3.546182972004903,2067.602525074964,1085.3101313660984,-10.68847071312842,0.21739130434782608,0.391304347826087,23,full,2019-02-01,2021-02-01,
BVAR,validation,3,all,1605.737959757841,1830.6816104750117,26.851149220964864,24.139006027462464,4.160454035943989,2342.6583784731606,1197.7179375072515,-9.73828795030779,0.30434782608695654,0.6086956521739131,23,full,2019-04-01,2021-04-01,
