model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1569.5736892013736,1796.3520572945079,30.57726657351224,34.97661331426874,4.066752704117521,3005.834360102821,1282.905801661578,-11.830389550885387,0.29411764705882354,0.4117647058823529,17,full,2022-01-01,2025-03-01,
ARIMA,test,1,crisis,755.4404370329165,765.3183586987287,35.17660373851144,29.66698599076337,1.95734004796329,755.4404370329165,483.6530878907071,-8.143578273528595,0.6666666666666666,1.0,3,full,2022-01-01,2022-03-01,
ARIMA,test,1,tranquil,1744.0308146660434,1947.522887509039,29.591694323869554,36.11439059787705,4.518769701864857,3488.061629332087,1454.1742403267647,-12.620420538890416,0.21428571428571427,0.2857142857142857,14,full,2024-02-01,2025-03-01,
ARIMA,test,3,all,1926.6479689179441,2048.4331708192135,37.085243753343256,42.324660840873584,4.991929268046195,3680.456569892132,1462.8072035956175,-10.304241037486406,0.13333333333333333,0.4666666666666667,15,full,2022-01-01,2025-03-01,
ARIMA,test,3,crisis,864.1968397187826,883.4478600007475,40.462470736638885,33.205568588277636,2.239127005629408,864.1968397187826,532.9784154979797,-8.207260571575405,0.6666666666666666,1.0,3,full,2022-01-01,2022-03-01,
ARIMA,test,3,tranquil,2192.260751217735,2247.2156191174886,36.24093700751934,44.604433904022564,5.680129833650392,4384.52150243547,1695.264400620027,-10.828486153964157,0.0,0.3333333333333333,12,full,2024-04-01,2025-03-01,
ARIMA,test,6,all,1693.2510873114363,1753.8687566270119,36.3771113009945,37.27825000957255,4.3871998399625625,3095.2195859509134,1120.201231222609,-9.029404337736457,0.25,1.0,12,full,2022-01-01,2025-03-01,
ARIMA,test,6,crisis,1165.130354687841,1227.1912144272053,54.77226082287413,41.78594649174306,3.018843303232938,1165.130354687841,738.2598955039085,-8.541258910811209,0.6666666666666666,1.0,3,full,2022-01-01,2022-03-01,
ARIMA,test,6,tranquil,1869.2913315193016,1897.2106002516962,30.24539479370129,35.77568451551572,4.843318685539105,3738.582663038603,1247.5150097955095,-9.192119480044873,0.1111111111111111,1.0,9,full,2024-07-01,2025-03-01,
ARIMA,test,12,all,2029.8577197288557,2057.2151333631205,65.38424838808112,50.79823659001041,5.259344895671257,2945.0542694306164,1292.8552662330958,-9.13440160863817,0.6666666666666666,1.0,6,full,2022-01-01,2025-03-01,
ARIMA,test,12,crisis,2229.3223400541906,2248.7261438649093,101.46667197990912,67.200142975539,5.776156109865711,2229.3223400541906,1470.6611240258833,-9.327500004632714,0.3333333333333333,1.0,3,full,2022-01-01,2022-03-01,
ARIMA,test,12,tranquil,1830.393099403521,1845.9412070201315,29.301824796253094,34.39633020448182,4.742533681476804,3660.786198807042,1115.0494084403085,-8.941303212643625,1.0,1.0,3,full,2025-01-01,2025-03-01,
ARIMA,validation,1,all,1035.9087684753683,1408.7429379479272,20.67935497119791,17.402769890068104,2.684031220961529,1306.3762650587219,825.5122339723592,-10.4104901117643,0.42857142857142855,0.6571428571428571,35,full,2019-02-01,2021-12-01,
ARIMA,validation,1,crisis,1193.9824403181183,1644.3196513819244,27.081554069169012,21.595293110088857,3.0935988231958533,1231.7306038042418,988.7815172211725,-11.458434646558313,0.4090909090909091,0.5909090909090909,22,full,2020-03-01,2021-12-01,
ARIMA,validation,1,tranquil,768.3994776645602,876.0122379009282,9.84486419001604,10.307730594648373,1.990916817180364,1432.6996917970723,549.2103700128289,-8.637045514420585,0.46153846153846156,0.7692307692307693,13,full,2019-02-01,2020-02-01,
ARIMA,validation,3,all,1289.2390800262424,1771.4787284498054,27.298744428466737,21.903815507345517,3.3404080044298166,1574.293674476705,1005.8018379402885,-10.163088071847408,0.5757575757575758,0.7878787878787878,33,full,2019-04-01,2021-12-01,
ARIMA,validation,3,crisis,1521.027221508182,2053.229274376422,35.847218299491935,27.37001298148181,3.9409691998928196,1537.722088453225,1225.6302756337907,-11.064016818634789,0.45454545454545453,0.7272727272727273,22,full,2020-03-01,2021-12-01,
ARIMA,validation,3,tranquil,825.6627970623632,991.4180499354255,10.201796686416357,10.971420559072909,2.1392856135038114,1647.436846523666,566.1449625532848,-8.36123057827265,0.8181818181818182,0.9090909090909091,11,full,2019-04-01,2020-02-01,
ARIMA,validation,6,all,1843.796861788704,2325.1676132633124,42.68434833775107,31.91753243417973,4.777262721151919,2235.030296297182,1434.767021802874,-10.420641847002566,0.5,0.6666666666666666,30,full,2019-07-01,2021-12-01,
