model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1272.0340899960938,1624.2835850195397,48.50029934204045,58.05632693383078,4.708912312551608,2449.9793429387223,1083.9646258235255,-12.89427651366024,0.3125,0.3958333333333333,48,full,2022-01-01,2025-12-01,
ARIMA,test,1,crisis,1827.8440594726853,2081.697190766062,84.60275247689077,101.9521259983815,6.766451830785189,3477.8520049314225,1583.3751558853953,-16.591858815261833,0.125,0.16666666666666666,24,full,2022-01-01,2023-12-01,
ARIMA,test,1,tranquil,716.2241205195024,971.1493886547754,12.397846207190133,14.160527869280081,2.6513727943180267,1422.1066809460224,584.5540957616561,-9.196694212058643,0.5,0.625,24,full,2024-01-01,2025-12-01,
ARIMA,test,3,all,1525.4304459484454,1836.484449965956,55.83440945631347,64.34388141430931,5.64695416998595,2834.1382759399444,1220.692308296536,-10.685123776797958,0.2916666666666667,0.6041666666666666,48,full,2022-01-01,2025-12-01,
ARIMA,test,3,crisis,2092.2388969069384,2293.8108900835673,94.5399270504803,108.37222671449304,7.745208701501649,3755.048424238235,1702.702293538753,-12.45913512068835,0.041666666666666664,0.4583333333333333,24,full,2022-01-01,2023-12-01,
ARIMA,test,3,tranquil,958.621994989952,1218.1058535560655,17.12889186214665,20.315536114125603,3.548699638470249,1913.2281276416543,738.6823230543196,-8.91111243290757,0.5416666666666666,0.75,24,full,2024-01-01,2025-12-01,
ARIMA,test,6,all,2073.452385703685,2469.1877808589193,69.46454385201565,74.91985603317288,7.67566336886425,3808.587701294655,1623.6867097102931,-10.770164147982838,0.3541666666666667,0.5416666666666666,48,full,2022-01-01,2025-12-01,
ARIMA,test,6,crisis,2696.6599199557154,3024.288353118173,113.17650438006577,117.33320746367563,9.982700306312463,4717.315042064667,2174.0524821083386,-12.294202762866428,0.20833333333333334,0.3333333333333333,24,full,2022-01-01,2023-12-01,
ARIMA,test,6,tranquil,1450.2448514516552,1745.6965805888938,25.752583323965556,32.50650460267011,5.368626431416039,2899.8603605246412,1073.3209373122481,-9.246125533099244,0.5,0.75,24,full,2024-01-01,2025-12-01,
ARIMA,test,12,all,2918.418517073677,3271.371993584877,86.28807653856641,89.97953744830824,10.803623107513607,5158.688142182146,2214.0021322741463,-10.726758151006814,0.2916666666666667,0.5208333333333334,48,full,2022-01-01,2025-12-01,
ARIMA,test,12,crisis,3472.024422769531,3833.3530226846005,131.91681240693748,125.45440031309617,12.85300345520578,5587.751061608645,2774.3024621215827,-11.824021677927808,0.08333333333333333,0.375,24,full,2022-01-01,2023-12-01,
ARIMA,test,12,tranquil,2364.812611377824,2590.203475462463,40.65934067019534,54.50467458352032,8.754242759821437,4729.625222755648,1653.701802426709,-9.629494624085824,0.5,0.6666666666666666,24,full,2024-01-01,2025-12-01,
ARIMA,validation,1,all,1224.569711553833,1457.378327102099,30.184723254205366,23.197341591827435,4.533205074976665,1523.5895823116214,1005.9581576687026,-12.281496885410132,0.2,0.4,35,full,2019-02-01,2021-12-01,
ARIMA,validation,1,crisis,1429.968099429112,1661.782784013475,41.428944240816705,29.87249614277706,5.293564412238704,1429.968099429112,1190.2565581332901,-13.487960792328922,0.18181818181818182,0.36363636363636365,22,full,2020-03-01,2021-12-01,
ARIMA,validation,1,tranquil,876.9724397648993,1022.2456848821872,11.1560415845554,11.900926197912698,3.2464431196101344,1682.0259379589452,694.0685568824775,-10.23978873523987,0.23076923076923078,0.46153846153846156,13,full,2019-02-01,2020-02-01,
ARIMA,validation,3,all,1472.5411713225008,1728.4046448985096,35.68057367331334,27.20016444440227,5.451164640093084,1817.004749849853,1154.0000994702723,-10.692364905138115,0.30303030303030304,0.5454545454545454,33,full,2019-04-01,2021-12-01,
ARIMA,validation,3,crisis,1722.263132359323,1967.085971735939,47.49038049687878,34.282282606898086,6.375604343626844,1755.9249096994145,1379.1275450547598,-11.587526857476574,0.2727272727272727,0.45454545454545453,22,full,2020-03-01,2021-12-01,
ARIMA,validation,3,tranquil,973.0972492488564,1106.0259531853587,12.060960026182464,13.035928119410642,3.602285233025565,1939.1644301507292,703.7452083012969,-8.902041000461198,0.36363636363636365,0.7272727272727273,11,full,2019-04-01,2020-02-01,
ARIMA,validation,6,all,1776.5524156733163,1981.276051089292,41.93814287714929,32.94865029444005,6.5765765319096685,2373.983214202707,1344.79056992867,-10.028883346310502,0.2,0.6,30,full,2019-07-01,2021-12-01,
ARIMA,validation,6,crisis,1778.5343006453534,2038.3786328881865,49.06155400009277,35.740626168142235,6.5839132240787555,1949.175487003535,1364.3725731841937,-10.121805840161743,0.2727272727272727,0.5909090909090909,22,full,2020-03-01,2021-12-01,
ARIMA,validation,6,tranquil,1771.1022320002155,1815.0041252111148,22.34876228905473,25.270716641759044,6.556400628444682,3542.204464000431,1290.9400609759787,-9.773346488219595,0.0,0.625,8,full,2019-07-01,2020-02-01,
ARIMA,validation,12,all,2363.6865909642297,2867.2719529718374,71.58022071600251,43.340445061310994,8.750074372015279,2804.526343080408,1848.446768668239,-10.538321057451382,0.4583333333333333,0.5,24,full,2020-01-01,2021-12-01,
ARIMA,validation,12,crisis,2416.238218712781,2945.3943305414,75.99147155041561,44.90901586440386,8.944613975077758,2734.8253405004148,1910.614228082133,-10.67240769701609,0.45454545454545453,0.45454545454545453,22,full,2020-03-01,2021-12-01,
ARIMA,validation,12,tranquil,1785.6186857301668,1796.1503392944494,23.05646153745842,26.086166227289347,6.610138738328014,3571.2373714603336,1164.604715115407,-9.063368022239565,0.5,1.0,2,full,2020-01-01,2020-02-01,
BVAR,test,1,all,918.0340400931938,1154.383517436983,26.18161042147668,27.529573765887037,3.3984480673388333,1629.2579985689074,732.5650047637891,-9.911698193799973,0.3958333333333333,0.5833333333333334,48,full,2022-01-01,2025-12-01,
BVAR,test,1,crisis,1026.7641160741111,1206.7621617689622,38.332300441739,38.69734721811644,3.8009533127232444,1641.7203251367755,793.32274940482,-10.145530234554428,0.2916666666666667,0.625,24,full,2022-01-01,2023-12-01,
BVAR,test,1,tranquil,809.3039641122764,1099.5124808673454,14.030920401214358,16.361800313657636,2.995942821954422,1616.7956720010388,671.8072601227581,-9.677866153045516,0.5,0.5416666666666666,24,full,2024-01-01,2025-12-01,
BVAR,test,3,all,1168.3584107245194,1444.7971217513636,33.29516864060668,33.793142098975515,4.325117816418594,2037.074341274325,899.9697954529729,-9.419132735288438,0.4791666666666667,0.6041666666666666,48,full,2022-01-01,2025-12-01,
BVAR,test,3,crisis,1200.0051580151328,1452.5321563134094,46.277717606655,42.68861510365996,4.442270146801057,1804.8046736624099,898.0018114237786,-9.431034468781217,0.5416666666666666,0.625,24,full,2022-01-01,2023-12-01,
BVAR,test,3,tranquil,1136.7116634339063,1437.0204525049623,20.31261967455835,24.897669094291057,4.207965486036131,2269.3440088862403,901.9377794821672,-9.40723100179566,0.4166666666666667,0.5833333333333334,24,full,2024-01-01,2025-12-01,
BVAR,test,6,all,1554.965427027515,1881.072354987311,45.388021985585056,43.34610852832406,5.756289003971913,2658.8804395409543,1179.4560610350059,-9.52091466073932,0.375,0.7083333333333334,48,full,2022-01-01,2025-12-01,
BVAR,test,6,crisis,1473.0702346046048,1792.015767268813,61.72543134236046,48.85103676767286,5.453123166694542,2047.4468417868882,1099.862360032252,-9.353128404047858,0.4583333333333333,0.7083333333333334,24,full,2022-01-01,2023-12-01,
BVAR,test,6,tranquil,1636.8606194504257,1966.0991580423874,29.050612628809642,37.841180288975266,6.059454841249287,3270.3140372950206,1259.0497620377598,-9.688700917430781,0.2916666666666667,0.7083333333333334,24,full,2024-01-01,2025-12-01,
BVAR,test,12,all,2380.3139822745234,2650.368790518,71.51464626305291,63.66395928370835,8.811626910805254,3987.138800707547,1740.7549738939913,-9.890063854339779,0.4375,0.5625,48,full,2022-01-01,2025-12-01,
BVAR,test,12,crisis,2063.2657298952086,2346.006798542442,96.68841300473962,62.54327917809985,7.637953633458961,2579.5531321074163,1500.5298163361465,-9.539675987898958,0.4583333333333333,0.5416666666666666,24,full,2022-01-01,2023-12-01,
BVAR,test,12,tranquil,2697.362234653838,2923.210829327288,46.34087952136621,64.78463938931685,9.985300188151548,5394.724469307676,1980.9801314518363,-10.2404517207806,0.4166666666666667,0.5833333333333334,24,full,2024-01-01,2025-12-01,
BVAR,validation,1,all,1325.9664993547085,1564.5220939229387,31.700114044603346,24.86149346778888,4.908563397747866,1791.8064050719288,1103.7699248680594,-12.798092009520452,0.2571428571428571,0.37142857142857144,35,full,2019-02-01,2021-12-01,
BVAR,validation,1,crisis,1355.766159612796,1633.3166559996857,40.90474222946403,28.991079573730914,5.018878041201795,1355.766159612796,1132.0912691314081,-12.920199863306614,0.2727272727272727,0.45454545454545453,22,full,2020-03-01,2021-12-01,
BVAR,validation,1,tranquil,1275.536305071791,1440.6359656069549,16.12305096253144,17.87296313465621,4.7218770780565995,2529.7206666181537,1055.8414961147007,-12.591447949266943,0.23076923076923078,0.23076923076923078,13,full,2019-02-01,2020-02-01,
BVAR,validation,3,all,1593.8828979182626,1812.7166441300594,37.51851643521137,29.21865630223902,5.900356650658468,2126.3624144530713,1248.6657095998753,-10.666764696358326,0.24242424242424243,0.48484848484848486,33,full,2019-04-01,2021-12-01,
BVAR,validation,3,crisis,1648.4255085255493,1912.1061136345083,46.975771018153736,33.446769420971016,6.102266625137335,1704.7459449759176,1304.699124898147,-10.882959507141052,0.3181818181818182,0.5,22,full,2020-03-01,2021-12-01,
BVAR,validation,3,tranquil,1484.7976767036894,1595.4702492122833,18.604007269326637,20.762430064774993,5.496536701700735,2969.5953534073788,1136.5988790033311,-10.234375074792872,0.09090909090909091,0.45454545454545453,11,full,2019-04-01,2020-02-01,
BVAR,validation,6,all,1861.9905594932711,2112.5669887185045,45.67699750251856,34.079836005343495,6.892857935497347,2357.6009751026704,1409.267727356894,-10.053816116074893,0.23333333333333334,0.5666666666666667,30,full,2019-07-01,2021-12-01,
BVAR,validation,6,crisis,1983.8449956958966,2278.248284117822,55.28457786948672,38.69188303731849,7.343947933388315,2104.4443406410587,1540.073084011158,-10.38372704361373,0.2727272727272727,0.5,22,full,2020-03-01,2021-12-01,
BVAR,validation,6,tranquil,1526.8908599360514,1569.1973698680906,19.256151493356157,21.396706667412232,5.652360441297186,3053.7817198721027,1049.552996557667,-9.146561065343084,0.125,0.75,8,full,2019-07-01,2020-02-01,
BVAR,validation,12,all,2484.5068448628817,3119.959326575129,77.32822183967664,44.23049940301382,9.197335955382687,2775.756864630872,1976.1419364938029,-10.634030201491584,0.5,0.5,24,full,2020-01-01,2021-12-01,
BVAR,validation,12,crisis,2589.065348471086,3233.1837193168,82.79359462344878,46.53696620531369,9.584398557631152,2785.4868877477447,2081.929531435526,-10.816344844499206,0.45454545454545453,0.45454545454545453,22,full,2020-03-01,2021-12-01,
BVAR,validation,12,tranquil,1334.3633051726333,1349.6324693746235,17.20912121818314,18.85936457771524,4.93964733064958,2668.7266103452666,812.4783921348467,-8.62856912840774,1.0,1.0,2,full,2020-01-01,2020-02-01,
DMA,test,1,all,273.11969512305836,365.469751764934,8.201655281297844,9.0019532101653,1.0110552109254087,494.68340492877604,,,,,48,full,2022-01-01,2025-12-01,
DMA,test,1,crisis,295.0752228046597,390.902723489061,12.069186185217982,13.5201593290694,1.0923318492180016,528.9135090091728,,,,,24,full,2022-01-01,2023-12-01,
DMA,test,1,tranquil,251.16416744145704,338.1291760246071,4.334124377377707,4.483747091261197,0.9297785726328157,460.45330084837934,,,,,24,full,2024-01-01,2025-12-01,
DMA,test,3,all,533.914498070124,675.6677417801186,15.320973411189657,16.950194340429686,1.9764852008171723,977.0421130295481,,,,,48,full,2022-01-01,2025-12-01,
DMA,test,3,crisis,535.5240003953497,713.1604252532265,21.15021152730668,23.698869085188292,1.982443378648994,962.7476283818527,,,,,24,full,2022-01-01,2023-12-01,
DMA,test,3,tranquil,532.3049957448981,635.9685545820071,9.491735295072628,10.201519595671074,1.9705270229853502,991.3365976772435,,,,,24,full,2024-01-01,2025-12-01,
DMA,test,6,all,826.5509657920511,1046.135457950045,23.70993870341928,26.915721783272772,3.0597890814243542,1520.0382355536221,,,,,48,full,2022-01-01,2025-12-01,
DMA,test,6,crisis,842.3398980317179,1061.2785098287554,32.98428367937047,37.374595252057304,3.1182377488068758,1486.676887475967,,,,,24,full,2022-01-01,2023-12-01,
DMA,test,6,tranquil,810.7620335523844,1030.769963346021,14.435593727468085,16.45684831448825,3.001340414041833,1553.399583631277,,,,,24,full,2024-01-01,2025-12-01,
DMA,test,12,all,1681.8531427123023,1905.4558304620589,48.93298723824755,49.49744904281715,6.226011577760386,2914.190440874312,,,,,48,full,2022-01-01,2025-12-01,
DMA,test,12,crisis,1620.4205257804308,1776.80994245455,67.27141801945281,59.786232450884086,5.998595655075763,2369.882254555942,,,,,24,full,2022-01-01,2023-12-01,
DMA,test,12,tranquil,1743.2857596441736,2025.9492274186855,30.594556457042298,39.20866563475024,6.453427500445008,3458.4986271926828,,,,,24,full,2024-01-01,2025-12-01,
DMA,validation,1,all,674.965587212765,845.0901228035091,13.779075643876654,13.7865771906622,2.498638825147033,1050.6196145440208,,,,,35,full,2019-02-01,2021-12-01,
DMA,validation,1,crisis,614.4337643458385,747.2928105541821,16.195658032574485,15.752654099944596,2.274557530281627,764.6262383795892,,,,,22,full,2020-03-01,2021-12-01,
DMA,validation,1,tranquil,777.404056679871,988.7981074388491,9.68947467838802,10.45937011341506,2.877853324150027,1534.6084049761362,,,,,13,full,2019-02-01,2020-02-01,
DMA,validation,3,all,979.4920162164004,1185.7386819527055,20.44127387885967,17.890496963150046,3.6259578666021213,1342.260023291109,,,,,33,full,2019-04-01,2021-12-01,
DMA,validation,3,crisis,983.3102914760143,1201.398585116386,24.62082171767196,20.255263942932473,3.6400926476776525,1041.5345692394903,,,,,22,full,2020-03-01,2021-12-01,
DMA,validation,3,tranquil,971.8554656971726,1153.7814112723047,12.082178201235081,13.160963003585202,3.5976883044510592,1943.7109313943452,,,,,11,full,2019-04-01,2020-02-01,
DMA,validation,6,all,1380.6342756446495,1645.5419878645905,32.714861358184486,26.122871153057453,5.110936720047986,1736.61466466279,,,,,30,full,2019-07-01,2021-12-01,
DMA,validation,6,crisis,1458.2477050621255,1731.1362594115587,39.328113543920864,29.752044511023236,5.398252002144263,1519.2401101790108,,,,,22,full,2020-03-01,2021-12-01,
DMA,validation,6,tranquil,1167.1973447465907,1383.1093839820073,14.528417847409466,16.142644418651525,4.320819694283227,2334.3946894931814,,,,,8,full,2019-07-01,2020-02-01,
DMA,validation,12,all,2347.6836920213486,2857.2139986105744,69.58408706143695,42.911801564591904,8.690833626455635,2601.1900618229365,,,,,24,full,2020-01-01,2021-12-01,
DMA,validation,12,crisis,2413.5029395085785,2943.6812737233704,74.00145245256482,44.68028355501196,8.934488310974704,2542.4488002319627,,,,,22,full,2020-03-01,2021-12-01,
DMA,validation,12,tranquil,1623.671969661828,1626.7169859286191,20.993067759030414,23.458499669971218,6.010632096745915,3247.343939323656,,,,,2,full,2020-01-01,2020-02-01,
