model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2021-01-01,2021-02-01,1,validation,4582.993424023525,5283.954864223002,442.33220642960174,4717.083332582171,5850.826395863833,4416.99967041887,6150.910058027134,472.7171327721883,-8.266628151743491
BVAR,2021-01-01,2021-02-01,1,validation,4582.993424023525,4951.8346877809245,451.584683459125,4373.105629717739,5530.56374584411,4066.744972231143,5836.924403330706,219.4570713935732,-7.365258864349195
DMA,2021-01-01,2021-02-01,1,validation,4582.993424023525,4958.407892008951,,,,,,,
DMS,2021-01-01,2021-02-01,1,validation,4582.993424023525,5283.954864223002,,,,,,,
MS-VAR,2021-01-01,2021-02-01,1,validation,4582.993424023525,4564.141045671686,466.1494271943898,3966.7465174728104,5161.535573870561,3650.504956956731,5477.777134386641,109.24091126032488,-7.064262584339724
MS-VECM,2021-01-01,2021-02-01,1,validation,4582.993424023525,4598.429352278177,466.1494271943898,4001.034824079302,5195.823880477053,3684.7932635632224,5512.065440993132,109.14067847585781,-7.063993033422949
Naive,2021-01-01,2021-02-01,1,validation,4582.993424023525,4841.863004371764,466.1494271943898,4244.468476172889,5439.257532570639,3928.226915656809,5755.499093086719,164.85888310279077,-7.2176438378597085
VECM,2021-01-01,2021-02-01,1,validation,4582.993424023525,4954.687465518353,432.71008607735513,4400.147177278806,5509.227753757899,4106.591281059534,5802.783649977172,221.20699852180672,-7.357939203142544
XGBoost,2021-01-01,2021-02-01,1,validation,4582.993424023525,5513.94482421875,11.860526214957911,5498.744948279783,5529.144700157717,5490.69861999974,5537.19102843776,924.2598148493504,-3083.8559414725205
ARIMA,2021-02-01,2021-03-01,1,validation,4055.2,5093.988577085325,442.33220642960174,4527.117045444495,5660.860108726156,4227.033383281193,5960.9437708894575,792.0374754170018,-9.768573959108021
BVAR,2021-02-01,2021-03-01,1,validation,4055.2,4933.999631293549,472.1044421095552,4328.9734444073,5539.025818179798,4008.6919278174714,5859.307334769626,623.9733327381034,-8.808640044635334
DMA,2021-02-01,2021-03-01,1,validation,4055.2,4832.970059497454,,,,,,,
DMS,2021-02-01,2021-03-01,1,validation,4055.2,5093.988577085325,,,,,,,
MS-VAR,2021-02-01,2021-03-01,1,validation,4055.2,4259.621122436383,466.1494271943898,3662.226594237508,4857.015650635259,3345.9850337214284,5173.257211151338,144.1376744284303,-7.1595996333380345
MS-VECM,2021-02-01,2021-03-01,1,validation,4055.2,4299.002197808055,466.1494271943898,3701.6076696091795,4896.39672600693,3385.3661090931,5212.63828652301,158.67797256962697,-7.20021606014111
Naive,2021-02-01,2021-03-01,1,validation,4055.2,4841.863004371764,466.1494271943898,4244.468476172889,5439.257532570639,3928.226915656809,5755.499093086719,541.2390535460927,-8.487402668558962
VECM,2021-02-01,2021-03-01,1,validation,4055.2,4954.687465518353,432.71008607735513,4400.147177278806,5509.227753757899,4106.591281059534,5802.783649977172,661.2924445726269,-9.149565832133948
XGBoost,2021-02-01,2021-03-01,1,validation,4055.2,5447.62841796875,11.860526214957911,5432.428542029783,5462.828293907717,5424.38221374974,5470.87462218776,1385.736832622876,-6894.798289336766
ARIMA,2021-03-01,2021-04-01,1,validation,4470.738472224253,4991.163838213854,442.33220642960174,4424.292306573025,5558.035369854684,4124.208644409722,5858.119032017987,322.9329036455417,-7.703133109203034
BVAR,2021-03-01,2021-04-01,1,validation,4470.738472224253,4947.746803689,429.37952090194364,4397.474806464153,5498.018800913848,4106.178407022151,5789.31520035585,292.4227967700188,-7.59835661113997
DMA,2021-03-01,2021-04-01,1,validation,4470.738472224253,4591.459670902638,,,,,,,
DMS,2021-03-01,2021-04-01,1,validation,4470.738472224253,4991.163838213854,,,,,,,
MS-VAR,2021-03-01,2021-04-01,1,validation,4470.738472224253,3688.3424193810943,466.1494271943898,3090.947891182219,4285.73694757997,2774.7063306661394,4601.978508096049,537.366262647601,-8.471997136783093
MS-VECM,2021-03-01,2021-04-01,1,validation,4470.738472224253,3703.6695362381492,466.1494271943898,3106.275008039274,4301.064064437024,2790.0334475231944,4617.305624953104,523.5186750181409,-8.417350689737416
Naive,2021-03-01,2021-04-01,1,validation,4470.738472224253,4841.863004371764,466.1494271943898,4244.468476172889,5439.257532570639,3928.226915656809,5755.499093086719,220.95956191678775,-7.380371615412531
VECM,2021-03-01,2021-04-01,1,validation,4470.738472224253,4954.687465518353,432.71008607735513,4400.147177278806,5509.227753757899,4106.591281059534,5802.783649977172,297.0729314078317,-7.614431363093139
