model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
Naive,2021-01-01,2021-02-01,1,validation,4582.993424023525,4841.863004371764,614.0219694143478,4054.9621881897824,5628.763820553746,3638.4020586033207,6045.323950140208,186.40017705459076,-7.427841092008562
Naive,2021-01-01,2021-04-01,3,validation,4470.738472224253,4841.863004371764,614.0219694143478,4054.9621881897824,5628.763820553746,3638.4020586033207,6045.323950140208,230.35408956275003,-7.521628424194473
Naive,2021-01-01,2021-07-01,6,validation,2805.884166609781,4841.863004371764,614.0219694143478,4054.9621881897824,5628.763820553746,3638.4020586033207,6045.323950140208,1689.7009723293895,-12.83625993670281
Naive,2021-01-01,2022-01-01,12,validation,,4841.863004371764,614.0219694143478,4054.9621881897824,5628.763820553746,3638.4020586033207,6045.323950140208,,
ARIMA,2021-01-01,2021-02-01,1,validation,4582.993424023525,5076.4945709941885,566.1533095163833,4350.939910844984,5802.049231143393,3966.85447461395,6186.1346673744265,293.827606694476,-7.63771126238784
ARIMA,2021-01-01,2021-04-01,3,validation,4470.738472224253,5064.480620003214,842.2386027982706,3985.1084200246573,6143.852819981772,3413.7232921293134,6715.237947877115,357.22303454531107,-7.903484194241936
ARIMA,2021-01-01,2021-07-01,6,validation,2805.884166609781,4953.119667079975,1129.2757807934163,3505.8945222721204,6400.3448118878305,2739.7798081115916,7166.459526048359,1534.9845698186373,-9.755982723720786
ARIMA,2021-01-01,2022-01-01,12,validation,,4967.481767394547,1567.8331845695036,2958.2226951960965,6976.740839592998,1894.5851918716658,8040.378342917429,,
VECM,2021-01-01,2021-02-01,1,validation,4582.993424023525,4958.517274984342,565.5072926510062,4233.790518760331,5683.244031208354,3850.143348393648,6066.891201575037,228.13822896778004,-7.477141438407173
VECM,2021-01-01,2021-04-01,3,validation,4470.738472224253,4872.012961556889,565.5072926510062,4147.286205332878,5596.739717780901,3763.639034966195,5980.386888147584,241.21347266088685,-7.508415902282442
VECM,2021-01-01,2021-07-01,6,validation,2805.884166609781,4779.38154411649,565.5072926510062,4054.6547878924785,5504.108300340501,3671.0076175257955,5887.755470707184,1654.5127590006152,-13.345952204207967
VECM,2021-01-01,2022-01-01,12,validation,,4639.77864090022,565.5072926510062,3915.051884676209,5364.505397124231,3531.404714309526,5748.152567490914,,
BVAR,2021-01-01,2021-02-01,1,validation,4582.993424023525,4947.545614305329,601.0558777928496,4177.261513139878,5717.82971547078,3769.497741135268,6125.593487475389,226.06532659297324,-7.501559470591363
BVAR,2021-01-01,2021-04-01,3,validation,4470.738472224253,4875.070134351667,965.4164104609308,3637.8392221226263,6112.301046580707,2982.8887397643566,6767.251528938977,292.1995730039117,-7.879201398939116
BVAR,2021-01-01,2021-07-01,6,validation,2805.884166609781,4779.507248475753,1320.9167465666562,3086.6843239586465,6472.330172992859,2190.557998629356,7368.45649832215,1306.8408517473895,-9.221234013075293
BVAR,2021-01-01,2022-01-01,12,validation,,4619.188252819181,1727.906852287669,2404.7865211539856,6833.589984484376,1232.553053695472,8005.82345194289,,
XGBoost,2021-01-01,2021-02-01,1,validation,4582.993424023525,6214.53759765625,2.8496949809251078,6210.88556659212,6218.18962872038,6208.952298126713,6220.122897185787,1629.9364054081984,-163898.93539765858
XGBoost,2021-01-01,2021-04-01,3,validation,4470.738472224253,6347.66455078125,2.8496949809251078,6344.01251971712,6351.31658184538,6342.079251251713,6353.249850310787,1875.3183103324704,-216905.97885755106
XGBoost,2021-01-01,2021-07-01,6,validation,2805.884166609781,5994.259765625,2.8496949809251078,5990.60773456087,5997.91179668913,5988.674466095463,5999.845065154537,3186.7678307906926,-625912.4167921669
XGBoost,2021-01-01,2022-01-01,12,validation,,6255.970703125,2.8496949809251078,6252.31867206087,6259.62273418913,6250.385403595463,6261.556002654537,,
MS-VAR,2021-01-01,2021-02-01,1,validation,4582.993424023525,5109.814834536983,614.0219694143478,4322.914018355001,5896.715650718965,3906.3538887685395,6313.275780305426,313.51945010716315,-7.707038051762634
MS-VAR,2021-01-01,2021-04-01,3,validation,4470.738472224253,5092.559319913314,614.0219694143478,4305.6585037313325,5879.460136095295,3889.0983741448704,6296.020265681756,375.26028990403046,-7.8517512047340094
MS-VAR,2021-01-01,2021-07-01,6,validation,2805.884166609781,5147.682905096236,614.0219694143478,4360.782088914255,5934.583721278217,3944.221959327793,6351.143850864679,1995.3935370583222,-14.611763790055287
MS-VAR,2021-01-01,2022-01-01,12,validation,,5256.130710670676,614.0219694143478,4469.229894488695,6043.031526852657,4052.669764902233,6459.591656439119,,
MS-VECM,2021-01-01,2021-02-01,1,validation,4582.993424023525,4922.589682933687,614.0219694143478,4135.688866751705,5709.490499115669,3719.128737165244,6126.050628702131,216.57010248040697,-7.491911668786205
MS-VECM,2021-01-01,2021-04-01,3,validation,4470.738472224253,4658.785687916465,614.0219694143478,3871.884871734483,5445.686504098447,3455.3247421480214,5862.246633684908,166.29115550578993,-7.38586526285558
