model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,2473.0548555712626,2489.6844642399983,40.40120101916555,50.7193180580174,5.935162199158171,4946.109711142525,2135.9765044199835,-15.992702023505883,0.0,0.0,7,common_dates,2024-07-01,2025-01-01,7
ARIMA,test,3,all,2564.418403648954,2574.3741765323675,40.98654662571221,51.6035148361537,6.154428454296061,5128.836807297908,2057.2566770977305,-11.798439413730245,0.0,0.0,7,common_dates,2024-09-01,2025-03-01,7
ARIMA,test,6,all,2052.6987910858666,2060.6144626507075,33.047693206811914,39.61923585545682,4.926336447274753,4105.397582171733,1399.2568338414058,-9.39602848802386,0.0,1.0,4,common_dates,2024-12-01,2025-03-01,4
ARIMA,test,12,all,1830.393099403521,1845.9412070201315,29.301824796253094,34.39633020448182,4.392818019667538,3660.786198807042,1115.0494084403085,-8.941303212643625,1.0,1.0,3,common_dates,2025-01-01,2025-03-01,3
ARIMA,validation,1,all,680.6374733582585,841.0728303527698,31.987322589136603,25.091973289087797,1.6334832986441439,707.0189209109409,499.24221969908757,-8.336875187364683,0.6,0.8,10,common_dates,2021-06-01,2022-03-01,10
ARIMA,validation,3,all,863.3130957098106,944.9779362938224,40.24775882945949,31.78335777790153,2.071892275317724,863.3130957098106,565.6566525303471,-8.28942842885802,0.625,1.0,8,common_dates,2021-08-01,2022-03-01,8
ARIMA,validation,6,all,1248.1853600594993,1396.5738667038224,64.21857794667535,44.60618593734899,2.99555933823252,1248.1853600594993,837.5789747610922,-8.720044095692362,0.6,0.8,5,common_dates,2021-11-01,2022-03-01,5
ARIMA,validation,12,all,2229.3223400541906,2248.7261438649093,101.46667197990912,67.200142975539,5.3502208625178636,2229.3223400541906,1470.6611240258833,-9.327500004632714,0.3333333333333333,1.0,3,common_dates,2022-01-01,2022-03-01,3
BVAR,test,1,all,492.63817129244245,557.8675800890069,7.9012194184527775,8.314517167616962,1.182297855435928,985.2763425848849,324.50014725528774,-7.760991273378197,0.8571428571428571,1.0,7,common_dates,2024-07-01,2025-01-01,7
BVAR,test,3,all,645.0382490912743,684.6095270439479,10.217352714450389,10.831432064086822,1.548047599669342,1290.0764981825487,410.46777430254986,-8.056484324855605,1.0,1.0,7,common_dates,2024-09-01,2025-03-01,7
BVAR,test,6,all,619.8487435220679,646.6378320911572,9.918354665184273,10.47553790395975,1.4875945122932013,1239.6974870441359,429.1201493595829,-8.215459437031804,1.0,1.0,4,common_dates,2024-12-01,2025-03-01,4
DMA,test,1,all,1101.2023330868599,1147.662487371248,18.00075313860472,19.945297201639807,2.642810144804563,2202.4046661737198,,,,,7,common_dates,2024-07-01,2025-01-01,7
DMA,test,3,all,951.8272662187155,990.1793602270646,15.128383258464092,16.463042678561447,2.284320219530446,1903.654532437431,,,,,7,common_dates,2024-09-01,2025-03-01,7
DMA,test,6,all,6075065.082205158,6075065.700635266,98058.72108637271,200.0,14579.739932619052,12150130.164410315,,,,,4,common_dates,2024-12-01,2025-03-01,4
DMA,test,12,all,2.4697247627210284e+33,4.27768876968742e+33,4.072093590634478e+31,200.0,5.927170204496237e+30,4.939449525442057e+33,,,,,3,common_dates,2025-01-01,2025-03-01,3
DMA,validation,1,all,1501.5925925820084,1700.4020477073648,64.0767630748853,44.1071810726288,3.6037193327723345,1501.5925925820084,,,,,10,common_dates,2021-06-01,2022-03-01,10
DMA,validation,3,all,861278.0788911437,861278.2383966397,36809.28599250844,198.85535141089866,2067.008374392682,861278.0788911437,,,,,8,common_dates,2021-08-01,2022-03-01,8
DMA,validation,6,all,2762474229070638.5,2762474229070639.0,128503305264544.36,199.99999999967227,6629748864483.371,2762474229070638.5,,,,,5,common_dates,2021-11-01,2022-03-01,5
DMA,validation,12,all,5.2644647887089766e+29,5.2644647887089766e+29,2.4177023935106133e+28,200.0,1.2634354770722299e+27,5.2644647887089766e+29,,,,,3,common_dates,2022-01-01,2022-03-01,3
DMS,test,1,all,1185.2384207589287,1389.1026260184394,19.276008868403576,22.180309874402145,2.844490997048009,2369.92138671875,,,,,7,common_dates,2024-07-01,2025-01-01,7
DMS,test,3,all,693.2706473214286,807.2992668962435,11.09141778150765,12.027209413651233,1.6638020505281477,1386.541294642857,,,,,7,common_dates,2024-09-01,2025-03-01,7
DMS,test,6,all,469.7589111328125,498.9967874517811,7.502248770496736,7.827538596540919,1.1273891987442939,939.517822265625,,,,,4,common_dates,2024-12-01,2025-03-01,4
DMS,test,12,all,1215.8753860924844,1262.1833213391815,19.722558240412365,20.584248771929186,2.9180176145975563,1998.5751536953856,,,,,3,common_dates,2025-01-01,2025-03-01,3
DMS,validation,1,all,633.5149118600062,802.0551760090012,29.529181665910098,23.314009469037078,1.520392379895668,659.8963594126886,,,,,10,common_dates,2021-06-01,2022-03-01,10
DMS,validation,3,all,863.3130957098107,944.9779362938224,40.24775882945949,31.783357777901536,2.0718922753177242,863.3130957098107,,,,,8,common_dates,2021-08-01,2022-03-01,8
DMS,validation,6,all,1248.1853600594993,1396.5738667038224,64.21857794667535,44.60618593734899,2.99555933823252,1248.1853600594993,,,,,5,common_dates,2021-11-01,2022-03-01,5
DMS,validation,12,all,2229.3223400541906,2248.7261438649093,101.46667197990912,67.200142975539,5.3502208625178636,2229.3223400541906,,,,,3,common_dates,2022-01-01,2022-03-01,3
MS-VAR,test,1,all,715.6948212128251,824.9358963376559,11.67182073695601,10.836151217762877,1.7176185313586236,715.6948212128251,495.9946591295899,-8.185724449595336,0.42857142857142855,1.0,7,common_dates,2024-07-01,2025-01-01,7
MS-VAR,test,3,all,1842.8993132252428,2027.940203556154,29.60248680411534,30.53572953247141,4.4228320759114,2632.319168645154,1506.448685408385,-12.030864894306863,0.14285714285714285,0.14285714285714285,7,common_dates,2024-09-01,2025-03-01,7
MS-VAR,test,6,all,2106.2367134829037,2172.3163540536184,33.98110103234771,37.60577876366189,5.054823792598502,3332.5282306406016,1731.2871036411407,-12.710277171929498,0.0,0.0,4,common_dates,2024-12-01,2025-03-01,4
MS-VAR,test,12,all,7806.434028532443,12004.880974157913,128.48130405683187,84.36798248948415,18.73490677005838,15452.752162216842,7491.175462797223,-168.88807962639905,0.3333333333333333,0.3333333333333333,3,common_dates,2025-01-01,2025-03-01,3
MS-VAR,validation,1,all,709.6926472884804,875.9448527814362,29.45904239138314,25.961242956435022,1.703213725210353,842.3831794596615,521.9331406199243,-8.355407550527906,0.6,0.7,10,common_dates,2021-06-01,2022-03-01,10
