model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1222.9278925748574,1345.1411407170808,20.795692772913185,23.66152416078982,2.9475768796650303,2445.855785149715,948.6208895111437,-10.072593401137548,0.2,0.4,10,common_dates,2024-02-01,2024-11-01,10
ARIMA,test,3,all,1599.4939241673283,1639.924815367246,26.911127377848953,31.240846261976028,3.8551997535306177,3198.9878483346565,1136.0717422993102,-9.419737365955951,0.125,0.75,8,common_dates,2024-04-01,2024-11-01,8
ARIMA,test,6,all,2092.5190884579015,2114.5252806018566,34.11077184637739,41.216644430361,5.043519673437092,4185.038176915803,1448.5804814597618,-9.503881087403574,0.0,0.8,5,common_dates,2024-07-01,2024-11-01,5
ARIMA,validation,1,all,1580.3034409917252,1801.779920956678,61.10391459282375,40.996440008791815,3.80894565722498,1580.3034409917252,1285.8454046497434,-12.321939776249554,0.18181818181818182,0.45454545454545453,11,common_dates,2021-02-01,2021-12-01,11
ARIMA,validation,3,all,1799.4674752158378,1986.4485579719133,71.90650529582031,47.1696117849906,4.337188445745372,1799.4674752158378,1377.8769160508755,-10.436343694229619,0.3333333333333333,0.4444444444444444,9,common_dates,2021-04-01,2021-12-01,9
ARIMA,validation,6,all,2234.4909998127573,2314.0880379880136,95.89248040681592,60.7934065036838,5.3857092056345595,2234.4909998127573,1635.9116696928556,-10.047837302926277,0.16666666666666666,0.5,6,common_dates,2021-07-01,2021-12-01,6
BVAR,test,1,all,1364.371836904684,1487.6456461971868,23.253115523403807,26.831630996952782,3.28849387289626,2728.743673809368,1048.5329736785227,-9.993398197638262,0.2,0.4,10,common_dates,2024-02-01,2024-11-01,10
BVAR,test,3,all,1611.5096417229015,1663.0811676109945,27.060541258846566,31.5017995146953,3.8841607834281553,3223.019283445803,1101.078744105268,-9.161570935706614,0.25,0.75,8,common_dates,2024-04-01,2024-11-01,8
BVAR,test,6,all,1871.997136415881,1903.6351166539623,30.455056543435504,36.06536222065988,4.5120039469218645,3743.994272831762,1209.2805242139937,-9.07483926739037,0.6,1.0,5,common_dates,2024-07-01,2024-11-01,5
BVAR,validation,1,all,1558.3212547370392,1810.0147423140825,60.97302670898331,40.52192159687585,3.7559628244985306,1558.3212547370392,1257.7445013804065,-11.743941642007377,0.18181818181818182,0.45454545454545453,11,common_dates,2021-02-01,2021-12-01,11
BVAR,validation,3,all,1706.091334036993,1924.9069220152135,69.21550067423021,45.35502245035274,4.1121274617558745,1706.091334036993,1275.5422005822325,-9.847869054851405,0.3333333333333333,0.5555555555555556,9,common_dates,2021-04-01,2021-12-01,9
BVAR,validation,6,all,2139.019692801848,2229.68025961144,92.41716655915653,58.984590874744896,5.155598322625542,2139.019692801848,1483.279184800657,-9.526091263131029,0.16666666666666666,0.8333333333333334,6,common_dates,2021-07-01,2021-12-01,6
MS-VAR,test,1,all,345.94121713914063,383.8241897271762,6.039509365985626,5.86965751831652,0.8338090410347674,382.65248575016466,237.29408347523764,-7.560598770549456,1.0,1.0,10,common_dates,2024-02-01,2024-11-01,10
MS-VAR,test,3,all,325.28973807714954,445.3531671867745,5.781314652085638,6.084835513851155,0.78403356156161,587.0302424823359,259.13534777068605,-7.622807780355689,0.875,1.0,8,common_dates,2024-04-01,2024-11-01,8
MS-VAR,test,6,all,794.5905742835002,865.4931212858711,13.250589301839893,14.431226405470227,1.915171630133082,1589.1811485670005,530.938164350498,-8.294347816081078,0.6,0.8,5,common_dates,2024-07-01,2024-11-01,5
MS-VAR,validation,1,all,646.896360829383,767.0528285186888,23.502448386596843,21.289118754120622,1.559189849456655,792.9399773937596,452.6171546353655,-8.119253301945333,0.6363636363636364,0.8181818181818182,11,common_dates,2021-02-01,2021-12-01,11
