model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1744.0308146660434,1947.522887509039,29.591694323869554,36.11439059787705,4.1855544538585985,3488.061629332087,1454.1742403267647,-12.620420538890416,0.21428571428571427,0.2857142857142857,14,full,2024-02-01,2025-03-01,
ARIMA,test,3,all,2192.260751217735,2247.2156191174886,36.24093700751934,44.604433904022564,5.261275588777843,4384.52150243547,1695.264400620027,-10.828486153964157,0.0,0.3333333333333333,12,full,2024-04-01,2025-03-01,
ARIMA,test,6,all,1869.2913315193016,1897.2106002516962,30.24539479370129,35.77568451551572,4.4861711114307745,3738.582663038603,1247.5150097955095,-9.192119480044873,0.1111111111111111,1.0,9,full,2024-07-01,2025-03-01,
ARIMA,test,12,all,1830.393099403521,1845.9412070201315,29.301824796253094,34.39633020448182,4.392818019667538,3660.786198807042,1115.0494084403085,-8.941303212643625,1.0,1.0,3,full,2025-01-01,2025-03-01,
ARIMA,validation,1,all,589.3616944174925,743.8126846741715,25.20917829176121,20.267679537542467,1.4144276834209166,648.6802370385434,426.46570177117025,-8.105788260934206,0.7142857142857143,0.8571428571428571,14,full,2021-02-01,2022-03-01,
ARIMA,validation,3,all,759.279571860027,859.7585850668968,32.30034655114226,26.014026833969766,1.822218946476085,774.2385094471641,503.72300839999593,-8.177100125557685,0.6666666666666666,1.0,12,full,2021-04-01,2022-03-01,
ARIMA,validation,6,all,1348.1633068493359,1470.7319803039811,60.04645210447171,43.35898115587707,3.2354995600192367,1348.1633068493359,900.3743114119163,-8.805584312228206,0.5555555555555556,0.7777777777777778,9,full,2021-07-01,2022-03-01,
ARIMA,validation,12,all,2229.3223400541906,2248.7261438649093,101.46667197990912,67.200142975539,5.3502208625178636,2229.3223400541906,1470.6611240258833,-9.327500004632714,0.3333333333333333,1.0,3,full,2022-01-01,2022-03-01,
BVAR,test,1,all,535.0853733644885,598.280669749737,8.52767693511695,8.998410905361728,1.2841682319180712,1070.170746728977,349.00062896822715,-7.818134510034331,0.7777777777777778,1.0,9,full,2024-07-01,2025-03-01,
BVAR,test,3,all,645.0382490912743,684.6095270439479,10.217352714450389,10.831432064086822,1.548047599669342,1290.0764981825487,410.46777430254986,-8.056484324855605,1.0,1.0,7,full,2024-09-01,2025-03-01,
BVAR,test,6,all,619.8487435220679,646.6378320911572,9.918354665184273,10.47553790395975,1.4875945122932013,1239.6974870441359,429.12014935958297,-8.215459437031804,1.0,1.0,4,full,2024-12-01,2025-03-01,
