model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1089.5036103654165,1256.0875348425584,19.001886176783692,21.896866263361193,3.1524474450487383,2170.564366150196,872.6534473406937,-10.314810631388866,0.26666666666666666,0.4,15,full,2024-01-01,2025-03-01,
ARIMA,test,1,tranquil,1089.5036103654165,1256.0875348425584,19.001886176783692,21.896866263361193,3.1524474450487383,2170.564366150196,872.6534473406937,-10.314810631388866,0.26666666666666666,0.4,15,full,2024-01-01,2025-03-01,
ARIMA,test,3,all,1535.6317546210862,1607.6499420936095,27.530654309035928,32.928048924543596,4.443306433621911,3071.2635092421724,1128.97563905508,-9.70745099782344,0.26666666666666666,0.6,15,full,2024-01-01,2025-03-01,
ARIMA,test,3,tranquil,1535.6317546210862,1607.6499420936095,27.530654309035928,32.928048924543596,4.443306433621911,3071.2635092421724,1128.97563905508,-9.70745099782344,0.26666666666666666,0.6,15,full,2024-01-01,2025-03-01,
ARIMA,test,6,all,2096.503687501465,2209.7539617044768,37.7813069131953,48.80016384724547,6.06617328324646,4193.00737500293,1529.5322868318524,-9.959959342635411,0.13333333333333333,0.6,15,full,2024-01-01,2025-03-01,
ARIMA,test,6,tranquil,2096.503687501465,2209.7539617044768,37.7813069131953,48.80016384724547,6.06617328324646,4193.00737500293,1529.5322868318524,-9.959959342635411,0.13333333333333333,0.6,15,full,2024-01-01,2025-03-01,
ARIMA,test,12,all,3059.2188232948233,3181.946893186354,53.69224715204106,75.63284648220149,8.851761913947392,6118.437646589647,2250.912313246571,-10.378223500364838,0.2,0.4,15,full,2024-01-01,2025-03-01,
ARIMA,test,12,tranquil,3059.2188232948233,3181.946893186354,53.69224715204106,75.63284648220149,8.851761913947392,6118.437646589647,2250.912313246571,-10.378223500364838,0.2,0.4,15,full,2024-01-01,2025-03-01,
ARIMA,validation,1,all,1275.659143257634,1405.2725761476818,51.973119999728155,42.25537454613697,3.6910831397491264,1625.34545965537,1012.4679759430497,-10.908876478075788,0.17142857142857143,0.2857142857142857,35,full,2021-02-01,2023-12-01,
ARIMA,validation,1,crisis,1275.659143257634,1405.2725761476818,51.973119999728155,42.25537454613697,3.6910831397491264,1625.34545965537,1012.4679759430497,-10.908876478075788,0.17142857142857143,0.2857142857142857,35,full,2021-02-01,2023-12-01,
ARIMA,validation,3,all,1434.7535689468677,1548.176942876308,59.76174411124659,47.12957803241735,4.151418296983995,1789.2544153479619,1036.9859474814798,-9.501034864641934,0.18181818181818182,0.7575757575757576,33,full,2021-04-01,2023-12-01,
