model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,1717.4678558381838,2025.372971428822,29.12832907646387,36.44111028310849,6.330352242056836,3434.9357116763676,1499.277299015845,-16.825165666667697,0.23529411764705882,0.35294117647058826,17,full,2024-02-01,2025-06-01,
ARIMA,test,1,tranquil,1717.4678558381838,2025.372971428822,29.12832907646387,36.44111028310849,6.330352242056836,3434.9357116763676,1499.277299015845,-16.825165666667697,0.23529411764705882,0.35294117647058826,17,full,2024-02-01,2025-06-01,
ARIMA,test,3,all,2416.1573873670377,2642.621596442222,39.99130391317728,52.52589565449344,8.905626549159818,4832.314774734075,2056.202136640008,-14.409308457324304,0.2,0.2,15,full,2024-04-01,2025-06-01,
ARIMA,test,3,tranquil,2416.1573873670377,2642.621596442222,39.99130391317728,52.52589565449344,8.905626549159818,4832.314774734075,2056.202136640008,-14.409308457324304,0.2,0.2,15,full,2024-04-01,2025-06-01,
ARIMA,test,6,all,2181.109164699107,2216.7335007940837,35.173897184723884,42.92891647283886,8.039270862618457,4362.218329398214,1604.6016875597377,-10.046528421934406,0.08333333333333333,0.3333333333333333,12,full,2024-07-01,2025-06-01,
ARIMA,test,6,tranquil,2181.109164699107,2216.7335007940837,35.173897184723884,42.92891647283886,8.039270862618457,4362.218329398214,1604.6016875597377,-10.046528421934406,0.08333333333333333,0.3333333333333333,12,full,2024-07-01,2025-06-01,
ARIMA,test,12,all,2169.8504819234345,2187.0344046220966,34.75335283112418,42.17601361926521,7.997772893669977,4339.700963846869,1428.6571867140608,-9.291464051772733,0.3333333333333333,1.0,6,full,2025-01-01,2025-06-01,
ARIMA,test,12,tranquil,2169.8504819234345,2187.0344046220966,34.75335283112418,42.17601361926521,7.997772893669977,4339.700963846869,1428.6571867140608,-9.291464051772733,0.3333333333333333,1.0,6,full,2025-01-01,2025-06-01,
ARIMA,validation,1,all,1644.3658371743302,1899.0901654829227,65.42980697662951,43.57847292656279,6.0609081728857355,1644.3658371743302,1403.6927093271822,-16.218415619020018,0.14285714285714285,0.21428571428571427,14,full,2021-02-01,2022-03-01,
ARIMA,validation,1,crisis,1644.3658371743302,1899.0901654829227,65.42980697662951,43.57847292656279,6.0609081728857355,1644.3658371743302,1403.6927093271822,-16.218415619020018,0.14285714285714285,0.21428571428571427,14,full,2021-02-01,2022-03-01,
ARIMA,validation,3,all,2118.6389728398917,2287.195147066857,88.77356724567069,56.12976133984582,7.809014256794118,2118.6389728398917,1756.819372023654,-13.27596104722786,0.08333333333333333,0.25,12,full,2021-04-01,2022-03-01,
ARIMA,validation,3,crisis,2118.6389728398917,2287.195147066857,88.77356724567069,56.12976133984582,7.809014256794118,2118.6389728398917,1756.819372023654,-13.27596104722786,0.08333333333333333,0.25,12,full,2021-04-01,2022-03-01,
ARIMA,validation,6,all,2167.265936696855,2240.5793299496054,96.32576858432823,61.81215549522364,7.988246612514752,2167.265936696855,1664.6731601456377,-10.69242010721672,0.1111111111111111,0.2222222222222222,9,full,2021-07-01,2022-03-01,
ARIMA,validation,6,crisis,2167.265936696855,2240.5793299496054,96.32576858432823,61.81215549522364,7.988246612514752,2167.265936696855,1664.6731601456377,-10.69242010721672,0.1111111111111111,0.2222222222222222,9,full,2021-07-01,2022-03-01,
