model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,716.2241205195024,971.1493886547754,12.397846207190133,14.160527869280081,2.337052528207298,1422.1066809460224,584.5540957616561,-9.196694212058643,0.5,0.625,24,full,2024-01-01,2025-12-01,
ARIMA,test,1,tranquil,716.2241205195024,971.1493886547754,12.397846207190133,14.160527869280081,2.337052528207298,1422.1066809460224,584.5540957616561,-9.196694212058643,0.5,0.625,24,full,2024-01-01,2025-12-01,
ARIMA,test,3,all,958.621994989952,1218.1058535560655,17.12889186214665,20.315536114125603,3.1280012677615305,1913.2281276416543,738.6823230543196,-8.91111243290757,0.5416666666666666,0.75,24,full,2024-01-01,2025-12-01,
ARIMA,test,3,tranquil,958.621994989952,1218.1058535560655,17.12889186214665,20.315536114125603,3.1280012677615305,1913.2281276416543,738.6823230543196,-8.91111243290757,0.5416666666666666,0.75,24,full,2024-01-01,2025-12-01,
ARIMA,test,6,all,1450.2448514516552,1745.6965805888938,25.752583323965556,32.50650460267011,4.732175724752653,2899.8603605246412,1073.3209373122481,-9.246125533099244,0.5,0.75,24,full,2024-01-01,2025-12-01,
ARIMA,test,6,tranquil,1450.2448514516552,1745.6965805888938,25.752583323965556,32.50650460267011,4.732175724752653,2899.8603605246412,1073.3209373122481,-9.246125533099244,0.5,0.75,24,full,2024-01-01,2025-12-01,
ARIMA,test,12,all,2364.812611377824,2590.203475462463,40.65934067019534,54.50467458352032,7.716427210170391,4729.625222755648,1653.701802426709,-9.629494624085824,0.5,0.6666666666666666,24,full,2024-01-01,2025-12-01,
ARIMA,test,12,tranquil,2364.812611377824,2590.203475462463,40.65934067019534,54.50467458352032,7.716427210170391,4729.625222755648,1653.701802426709,-9.629494624085824,0.5,0.6666666666666666,24,full,2024-01-01,2025-12-01,
ARIMA,validation,1,all,1748.2761457946071,1994.4135193647846,77.12428887215688,82.75736613470369,5.704657340456802,2879.710165537741,1500.0638574430957,-15.827633188365294,0.11428571428571428,0.22857142857142856,35,full,2021-02-01,2023-12-01,
ARIMA,validation,1,crisis,1748.2761457946071,1994.4135193647846,77.12428887215688,82.75736613470369,5.704657340456802,2879.710165537741,1500.0638574430957,-15.827633188365294,0.11428571428571428,0.22857142857142856,35,full,2021-02-01,2023-12-01,
ARIMA,validation,3,all,2001.07831713484,2197.668432398818,87.70796348690088,91.49489609712228,6.5295554927815935,3210.3943370121465,1614.993106637488,-12.0782599079159,0.09090909090909091,0.45454545454545453,33,full,2021-04-01,2023-12-01,
ARIMA,validation,3,crisis,2001.07831713484,2197.668432398818,87.70796348690088,91.49489609712228,6.5295554927815935,3210.3943370121465,1614.993106637488,-12.0782599079159,0.09090909090909091,0.45454545454545453,33,full,2021-04-01,2023-12-01,
ARIMA,validation,6,all,2554.525542337654,2859.4905641249707,107.69433351563885,105.08654393301387,8.335464006378393,4171.049640024815,2032.047688526132,-11.837364872849395,0.2,0.36666666666666664,30,full,2021-07-01,2023-12-01,
ARIMA,validation,6,crisis,2554.525542337654,2859.4905641249707,107.69433351563885,105.08654393301387,8.335464006378393,4171.049640024815,2032.047688526132,-11.837364872849395,0.2,0.36666666666666664,30,full,2021-07-01,2023-12-01,
ARIMA,validation,12,all,3472.024422769531,3833.3530226846005,131.91681240693748,125.45440031309617,11.329279792120696,5587.751061608645,2774.3024621215827,-11.824021677927808,0.08333333333333333,0.375,24,full,2022-01-01,2023-12-01,
