Model,Horizon,RMSE
ARIMA,1,1170.390372884875
ARIMA,3,1561.6280451957723
ARIMA,6,2452.974551496281
ARIMA,12,3444.595281726299
BVAR,1,1211.399893004602
BVAR,3,1431.211584166059
BVAR,6,1793.982862354855
BVAR,12,2496.680289341896
DMA,1,357.6605055621414
DMA,3,687.4039244604381
DMA,6,1051.99545512423
DMA,12,2147.946967989322
DMS,1,357.68705043470067
DMS,3,688.7772083848699
DMS,6,1049.7727687183008
DMS,12,2151.067929145676
MS-VAR,1,311.7527123873274
MS-VAR,3,613.2560672447673
MS-VAR,6,1091.6781567976598
MS-VAR,12,2151.067929145676
MS-VECM,1,357.68705043470067
MS-VECM,3,688.7772083848699
MS-VECM,6,1080.4205777307234
MS-VECM,12,1900.5648558311125
Naive,1,1178.9472483420434
Naive,3,1393.246114490467
Naive,6,1737.350701333463
Naive,12,2373.677795470018
VECM,1,1194.5289114704551
VECM,3,1404.6477989717114
VECM,6,1751.4640473027482
VECM,12,2398.377877081667
XGBoost,1,640.5828291390734
XGBoost,3,1281.6746375973405
XGBoost,6,1887.5589751794216
XGBoost,12,2664.198420788101
