Variable_Set,Variable_Set_Key,Model,RMSE
Parsimonious,parsimonious,ARIMA,1170.390372884875
Parsimonious,parsimonious,BVAR,1211.399893004602
Parsimonious,parsimonious,DMA,357.6605055621414
Parsimonious,parsimonious,DMS,357.68705043470067
Parsimonious,parsimonious,MS-VAR,311.7527123873274
Parsimonious,parsimonious,MS-VECM,357.68705043470067
Parsimonious,parsimonious,Naive,1178.9472483420434
Parsimonious,parsimonious,VECM,1194.5289114704551
Parsimonious,parsimonious,XGBoost,640.5828291390734
BOP,bop,ARIMA,1249.8610855014506
BOP,bop,BVAR,1365.2692373092534
BOP,bop,DMA,321.6910294462016
BOP,bop,DMS,325.960073019016
BOP,bop,MS-VAR,315.24487674590387
BOP,bop,MS-VECM,323.4045492036548
BOP,bop,Naive,1350.8071814239772
BOP,bop,VECM,1556.3436578458402
BOP,bop,XGBoost,886.1322330488664
Monetary,monetary,ARIMA,2025.372971428822
Monetary,monetary,BVAR,1967.6480211536627
Monetary,monetary,DMA,464.42591460229727
Monetary,monetary,DMS,363.6329084875325
Monetary,monetary,MS-VAR,363.6329084875325
Monetary,monetary,MS-VECM,588.7037785059917
Monetary,monetary,Naive,1143.553337319304
Monetary,monetary,VECM,8268.076379099506
Monetary,monetary,XGBoost,424.1159936178594
PCA,pca,ARIMA,1345.1411407170808
PCA,pca,BVAR,1485.5476420777247
PCA,pca,DMA,332.4494325153441
PCA,pca,DMS,444.7512048288481
PCA,pca,MS-VAR,383.8241897271762
PCA,pca,MS-VECM,444.7512048288481
PCA,pca,Naive,1295.7687679520602
PCA,pca,VECM,1482.0525276686628
PCA,pca,XGBoost,654.6737001334766
Full,full,ARIMA,1947.522887509039
Full,full,BVAR,601.4651460488567
Full,full,DMA,1369.7011256267135
Full,full,DMS,1011.5909697249292
Full,full,MS-VAR,2296.2998827249
Full,full,MS-VECM,905.4054247586428
Full,full,Naive,1256.7929992075635
Full,full,VECM,7297.978680928076
Full,full,XGBoost,381.7186958836492
