model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7476.6817836723085,575.0202443979322,6739.76368924407,8213.599878100547,6349.662814270972,8603.700753073645,276.6267050218548,-7.600080674151718
BVAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7561.597921496398,622.2533130289144,6764.14821401863,8359.047628974165,6342.003838699031,8781.192004293765,235.18468416207742,-7.5386718312381555
DMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7617.568222786772,,,,,,,
DMS,2020-01-01,2020-02-01,1,validation,7941.515070351391,7476.6817836723085,,,,,,,
MS-VAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7769.3165822472365,625.6800939755537,6967.475278282523,8571.15788621195,6543.006132211549,8995.627032282924,165.00655919797902,-7.395650243609356
MS-VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7877.128051975492,625.6800939755537,7075.286748010778,8678.969355940206,6650.817601939803,9103.43850201118,148.85932026848846,-7.36307269283314
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,259.064787584953,-7.592599042469658
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,216.66651762415114,-7.357020697186224
XGBoost,2020-01-01,2020-02-01,1,validation,7941.515070351391,7548.0478515625,1.0480118203646382,7546.704770373402,7549.390932751598,7545.993786139213,7550.101916985787,392.87594143640626,-70479.15765419767
ARIMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7501.681370391524,575.0202443979322,6764.763275963285,8238.599464819763,6374.662400990188,8628.70033979286,135.09205502881733,-7.274897600968237
BVAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7537.412838435038,634.2469660644192,6724.592646133015,8350.233030737061,6294.311627645013,8780.514049225063,148.22883131567977,-7.371393746566074
DMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7631.636621495455,,,,,,,
DMS,2020-02-01,2020-03-01,1,validation,7533.736569408685,7501.681370391524,,,,,,,
MS-VAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7916.80924553305,625.6800939755537,7114.967941568336,8718.650549497763,6690.498795497362,9143.119695568737,236.96798488938072,-7.545202810705042
MS-VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7834.389519742614,625.6800939755537,7032.5482157779,8636.230823707327,6608.079069706926,9060.699969778301,202.76968744151222,-7.473228361303906
Naive,2020-02-01,2020-03-01,1,validation,7533.736569408685,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,146.4995404200552,-7.358341158305324
VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,107.33512831538498,-7.037474060616653
XGBoost,2020-02-01,2020-03-01,1,validation,7533.736569408685,7540.9580078125,1.0480118203646382,7539.614926623402,7542.301089001598,7538.903942389213,7543.012073235787,6.630161051331143,-24.70607119268939
ARIMA,2020-03-01,2020-04-01,1,validation,7209.520101152639,7881.573370876002,575.0202443979322,7144.655276447763,8618.49146530424,6754.554401474666,9008.592340277337,416.3991169325206,-7.956328727060729
BVAR,2020-03-01,2020-04-01,1,validation,7209.520101152639,7563.106689910757,638.2764536771494,6745.122501450296,8381.090878371218,6312.107828523631,8814.105551297884,225.366785925305,-7.531151920999593
DMA,2020-03-01,2020-04-01,1,validation,7209.520101152639,7763.1569336439015,,,,,,,
DMS,2020-03-01,2020-04-01,1,validation,7209.520101152639,7881.573370876002,,,,,,,
MS-VAR,2020-03-01,2020-04-01,1,validation,7209.520101152639,8029.968042777641,625.6800939755537,7228.126738812927,8831.809346742355,6803.657592741953,9256.27849281333,523.0635565507125,-8.217518245715457
MS-VECM,2020-03-01,2020-04-01,1,validation,7209.520101152639,8004.122016514443,625.6800939755537,7202.280712549729,8805.963320479157,6777.811566478755,9230.432466550132,502.3056299702217,-8.164203782243243
Naive,2020-03-01,2020-04-01,1,validation,7209.520101152639,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,203.71859483372825,-7.475203179943804
VECM,2020-03-01,2020-04-01,1,validation,7209.520101152639,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,218.94057053510764,-7.364020102668469
XGBoost,2020-03-01,2020-04-01,1,validation,7209.520101152639,7773.123046875,1.0480118203646382,7771.779965685902,7774.466128064098,7771.068981451713,7775.177112298287,563.0116683698766,-144606.2459083258
ARIMA,2020-04-01,2020-05-01,1,validation,6499.857251537734,8026.073109194832,575.0202443979322,7289.155014766593,8762.99120362307,6899.054139793496,9153.092078596168,1203.210195514589,-10.795719330400264
BVAR,2020-04-01,2020-05-01,1,validation,6499.857251537734,7566.288027350194,638.3886509482668,6748.160052301282,8384.416002399106,6315.069263352514,8817.506791347874,731.3394752178816,-8.7731775587396
DMA,2020-04-01,2020-05-01,1,validation,6499.857251537734,7424.386932494116,,,,,,,
DMS,2020-04-01,2020-05-01,1,validation,6499.857251537734,8026.073109194832,,,,,,,
MS-VAR,2020-04-01,2020-05-01,1,validation,6499.857251537734,7013.295632258231,625.6800939755537,6211.454328293517,7815.136936222945,5786.985182222543,8239.60608229392,305.4718921497971,-7.694476867090147
MS-VECM,2020-04-01,2020-05-01,1,validation,6499.857251537734,6778.2672885395905,625.6800939755537,5976.425984574877,7580.108592504304,5551.956838503902,8004.577738575279,194.84148664375678,-7.456777721086181
Naive,2020-04-01,2020-05-01,1,validation,6499.857251537734,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,687.6905984404266,-8.668100028375115
VECM,2020-04-01,2020-05-01,1,validation,6499.857251537734,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,825.1399323849689,-9.873780636556553
XGBoost,2020-04-01,2020-05-01,1,validation,6499.857251537734,7496.5791015625,1.0480118203646382,7495.236020373402,7497.922182751598,7494.525036139213,7498.633166985787,996.1305726722817,-452258.2809312261
ARIMA,2020-05-01,2020-06-01,1,validation,6694.648013475818,7878.271591549005,575.0202443979322,7141.353497120766,8615.189685977244,6751.252622147669,9005.290560950341,867.541777535185,-9.39185588754038
BVAR,2020-05-01,2020-06-01,1,validation,6694.648013475818,7533.802527312235,623.5977008694005,6734.629917492792,8332.975137131678,6311.573492766262,8756.031561858208,538.8145492053561,-8.259853101297276
DMA,2020-05-01,2020-06-01,1,validation,6694.648013475818,7502.1271590331835,,,,,,,
DMS,2020-05-01,2020-06-01,1,validation,6694.648013475818,7878.271591549005,,,,,,,
MS-VAR,2020-05-01,2020-06-01,1,validation,6694.648013475818,7302.7411402199195,625.6800939755537,6500.899836255206,8104.5824441846335,6076.430690184232,8529.051590255607,365.0498664202244,-7.830064226073401
MS-VECM,2020-05-01,2020-06-01,1,validation,6694.648013475818,7771.105813722662,625.6800939755537,6969.264509757948,8572.947117687376,6544.795363686973,8997.41626375835,745.2236244470748,-8.837769668293301
Naive,2020-05-01,2020-06-01,1,validation,6694.648013475818,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,521.1509330525349,-8.212574241930858
VECM,2020-05-01,2020-06-01,1,validation,6694.648013475818,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,636.4696280335179,-8.93952924782741
XGBoost,2020-05-01,2020-06-01,1,validation,6694.648013475818,6938.763671875,1.0480118203646382,6937.420590685902,6940.106753064098,6936.709606451713,6940.817737298287,243.52438104669775,-27129.66172038757
ARIMA,2020-06-01,2020-07-01,1,validation,7095.831822594811,7814.25701457424,575.0202443979322,7077.338920146001,8551.175109002479,6687.238045172904,8941.275983975576,452.255625834302,-8.053832876845888
BVAR,2020-06-01,2020-07-01,1,validation,7095.831822594811,7562.481612543313,637.0568339166363,6746.0604296963065,8378.902795390319,6313.873161961625,8811.090063125,279.4600779157552,-7.644082038001018
DMA,2020-06-01,2020-07-01,1,validation,7095.831822594811,7444.929640229297,,,,,,,
DMS,2020-06-01,2020-07-01,1,validation,7095.831822594811,7814.25701457424,,,,,,,
MS-VAR,2020-06-01,2020-07-01,1,validation,7095.831822594811,7215.08602315365,625.6800939755537,6413.244719188936,8016.927327118364,5988.775573117962,8441.396473189337,155.2588051211794,-7.375941792121096
MS-VECM,2020-06-01,2020-07-01,1,validation,7095.831822594811,7565.072677624161,625.6800939755537,6763.231373659447,8366.913981588874,6338.762227588473,8791.383127659848,280.38449577867243,-7.639004708688191
Naive,2020-06-01,2020-07-01,1,validation,7095.831822594811,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,253.11497049604813,-7.579767365116714
VECM,2020-06-01,2020-07-01,1,validation,7095.831822594811,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,292.9896303678517,-7.6003225238573835
XGBoost,2020-06-01,2020-07-01,1,validation,7095.831822594811,6867.40478515625,1.0480118203646382,6866.061703967152,6868.747866345348,6865.350719732963,6869.458850579537,227.8357600860759,-23754.74183881711
ARIMA,2020-07-01,2020-08-01,1,validation,7430.083006707859,7793.130656913817,575.0202443979322,7056.212562485578,8530.048751342056,6666.111687512481,8920.149626315153,222.9024526725112,-7.472654655618027
BVAR,2020-07-01,2020-08-01,1,validation,7430.083006707859,7554.714771140855,636.714840033909,6738.731871089665,8370.697671192045,6306.776616252246,8802.652926029465,158.49855745035137,-7.394417870903049
DMA,2020-07-01,2020-08-01,1,validation,7430.083006707859,7458.211303707956,,,,,,,
DMS,2020-07-01,2020-08-01,1,validation,7430.083006707859,7793.130656913817,,,,,,,
MS-VAR,2020-07-01,2020-08-01,1,validation,7430.083006707859,7295.2438791062505,625.6800939755537,6493.4025751415365,8097.085183070964,6068.933429070563,8521.554329141938,157.76645874040412,-7.380999612051348
MS-VECM,2020-07-01,2020-08-01,1,validation,7430.083006707859,7352.997438522561,625.6800939755537,6551.1561345578475,8154.838742487275,6126.686988486874,8579.307888558249,150.00233549740543,-7.365367212311372
Naive,2020-07-01,2020-08-01,1,validation,7430.083006707859,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,150.56758765103586,-7.366502562930503
VECM,2020-07-01,2020-08-01,1,validation,7430.083006707859,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,124.6505937006304,-7.085940585823913
XGBoost,2020-07-01,2020-08-01,1,validation,7430.083006707859,7121.18701171875,1.0480118203646382,7119.843930529652,7122.530092907848,7119.132946295463,7123.241077142037,308.304717636624,-43438.203315454106
ARIMA,2020-08-01,2020-09-01,1,validation,6666.320938200717,7805.1029268736875,575.0202443979322,7068.184832445449,8542.021021301925,6678.083957472351,8932.121896275023,824.6506886157273,-9.234376833993478
BVAR,2020-08-01,2020-09-01,1,validation,6666.320938200717,7552.964968839474,603.9812221118689,6778.931888082226,8326.998049596721,6369.183526161756,8736.746411517192,583.9494243184657,-8.399992660906006
DMA,2020-08-01,2020-09-01,1,validation,6666.320938200717,7319.30107622393,,,,,,,
DMS,2020-08-01,2020-09-01,1,validation,6666.320938200717,7805.1029268736875,,,,,,,
MS-VAR,2020-08-01,2020-09-01,1,validation,6666.320938200717,7067.44738367132,625.6800939755537,6265.606079706606,7869.2886876360335,5841.136933635631,8293.757833707008,245.43728750367723,-7.563285356317334
MS-VECM,2020-08-01,2020-09-01,1,validation,6666.320938200717,6607.2550496920685,625.6800939755537,5805.413745727355,7409.096353656782,5380.944599656381,7833.565499727756,148.44114575881926,-7.362233676322804
Naive,2020-08-01,2020-09-01,1,validation,6666.320938200717,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,544.2798265500762,-8.272795575759567
VECM,2020-08-01,2020-09-01,1,validation,6666.320938200717,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,663.4575058634949,-9.063854757756808
XGBoost,2020-08-01,2020-09-01,1,validation,6666.320938200717,7112.1318359375,1.0480118203646382,7110.788754748402,7113.474917126598,7110.077770514213,7114.185901360787,445.2196203842982,-90478.13485228321
ARIMA,2020-09-01,2020-10-01,1,validation,5855.74394110227,7695.837214507979,575.0202443979322,6958.91912007974,8432.755308936217,6568.818245106643,8822.856183909314,1515.8856071969349,-12.39350233713417
BVAR,2020-09-01,2020-10-01,1,validation,5855.74394110227,7519.737661345084,638.9390818880569,6700.90428066356,8338.571042026608,6267.440072529439,8772.03525016073,1305.3559952353978,-10.769955926433552
DMA,2020-09-01,2020-10-01,1,validation,5855.74394110227,7329.482560656504,,,,,,,
DMS,2020-09-01,2020-10-01,1,validation,5855.74394110227,7695.837214507979,,,,,,,
MS-VAR,2020-09-01,2020-10-01,1,validation,5855.74394110227,6913.926647050869,625.6800939755537,6112.085343086155,7715.767951015583,5687.616197015181,8140.237097086558,728.5575643979873,-8.787944393695268
MS-VECM,2020-09-01,2020-10-01,1,validation,5855.74394110227,6625.860974544376,625.6800939755537,5824.0196705796625,7427.70227850909,5399.550524508688,7852.171424580065,482.99140425948764,-8.115271025442365
Naive,2020-09-01,2020-10-01,1,validation,5855.74394110227,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,1305.5563840155814,-10.86452840013359
VECM,2020-09-01,2020-10-01,1,validation,5855.74394110227,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,1466.6846519639935,-14.285018753395867
XGBoost,2020-09-01,2020-10-01,1,validation,5855.74394110227,7460.81005859375,1.0480118203646382,7459.466977404652,7462.153139782848,7458.755993170463,7462.864124017037,1604.4748401389957,-1172799.7209491034
ARIMA,2020-10-01,2020-11-01,1,validation,5555.275602812615,7889.092198504703,575.0202443979322,7152.174104076465,8626.010292932942,6762.073229103367,9016.11116790604,2009.4024303605422,-15.509739080221081
BVAR,2020-10-01,2020-11-01,1,validation,5555.275602812615,7573.122980471512,608.8826309588278,6792.808491533068,8353.437469409957,6379.73495298025,8766.511007962774,1674.4688428624465,-12.821918329097453
DMA,2020-10-01,2020-11-01,1,validation,5555.275602812615,6954.779570884993,,,,,,,
DMS,2020-10-01,2020-11-01,1,validation,5555.275602812615,7889.092198504703,,,,,,,
MS-VAR,2020-10-01,2020-11-01,1,validation,5555.275602812615,6144.503123594291,625.6800939755537,5342.661819629577,6946.3444275590045,4918.192673558602,7370.813573629979,352.57365447037455,-7.801214176796948
MS-VECM,2020-10-01,2020-11-01,1,validation,5555.275602812615,5530.382446164726,625.6800939755537,4728.5411422000125,6332.22375012944,4304.071996129038,6756.692896200415,146.61335597910886,-7.358569194955358
Naive,2020-10-01,2020-11-01,1,validation,5555.275602812615,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,1604.7569695114169,-12.251622633010129
VECM,2020-10-01,2020-11-01,1,validation,5555.275602812615,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,1767.138926483088,-17.03714243297365
XGBoost,2020-10-01,2020-11-01,1,validation,5555.275602812615,6456.15087890625,1.0480118203646382,6454.807797717152,6457.493960095348,6454.096813482963,6458.204944329537,900.2839987411503,-369460.5853429093
ARIMA,2020-11-01,2020-12-01,1,validation,5664.265569350756,7844.3652384742,575.0202443979322,7107.447144045961,8581.283332902438,6717.346269072864,8971.384207875535,1855.6994400141482,-14.460489206705635
BVAR,2020-11-01,2020-12-01,1,validation,5664.265569350756,7542.419429644704,614.9913425984471,6754.276311741042,8330.562547548365,6337.058547347848,8747.78031194156,1531.5698765562697,-12.00385723706419
DMA,2020-11-01,2020-12-01,1,validation,5664.265569350756,6792.1367184307355,,,,,,,
DMS,2020-11-01,2020-12-01,1,validation,5664.265569350756,7844.3652384742,,,,,,,
MS-VAR,2020-11-01,2020-12-01,1,validation,5664.265569350756,5502.4991716808945,625.6800939755537,4700.657867716181,6304.340475645608,4276.188721645207,6728.809621716582,162.81126215865308,-7.391200474494386
MS-VECM,2020-11-01,2020-12-01,1,validation,5664.265569350756,5258.369676130636,625.6800939755537,4456.5283721659225,6060.21098009535,4032.0592260949484,6484.680126166324,247.7314769981691,-7.568201436749613
Naive,2020-11-01,2020-12-01,1,validation,5664.265569350756,7512.733529432759,625.6800939755537,6710.892225468045,8314.574833397472,6286.423079397071,8739.043979468446,1496.026921594256,-11.721822364189762
VECM,2020-11-01,2020-12-01,1,validation,5664.265569350756,7577.4718391207025,452.0785549621912,6998.1098592595845,8156.8338189818205,6691.414153211921,8463.529525029484,1658.1504827362076,-15.987798467766218
XGBoost,2020-11-01,2020-12-01,1,validation,5664.265569350756,6307.09814453125,1.0480118203646382,6305.755063342152,6308.441225720348,6305.044079107963,6309.152209954537,642.2412978280095,-188120.28351148203
ARIMA,2020-12-01,2021-01-01,1,validation,4841.863004371764,7967.774042182633,575.0202443979322,7230.855947754394,8704.69213661087,6840.755072781297,9094.793011583968,2801.4906106158624,-22.049346506557644
