model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7809.996253136753,512.4737613867804,7153.234701930789,8466.757804342717,6805.566137796917,8814.426368476588,133.15435290305456,-7.191118864043761
BVAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7540.314439969757,504.4437929670639,6893.843707363358,8186.785172576156,6551.622773529559,8529.006106409954,238.87510556563797,-7.458671986023965
DMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7538.489799198742,,,,,,,
DMS,2020-01-01,2020-02-01,1,validation,7941.515070351391,7809.996253136753,,,,,,,
MS-VAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7655.50495482797,537.9057557980403,6966.150991369325,8344.858918286616,6601.229046387043,8709.780863268898,184.9849300117071,-7.347979908248334
MS-VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7524.593746732614,537.9057557980403,6835.239783273969,8213.94771019126,6470.317838291687,8578.869655173541,248.53738534991834,-7.5069983231514
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,255.2761906087624,-7.524331096947948
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7365.003932010094,412.7898989266404,6835.992390799496,7894.015473220692,6555.9505969319725,8174.057267088216,374.1177639038095,-7.917152714129474
XGBoost,2020-01-01,2020-02-01,1,validation,7941.515070351391,7361.28173828125,3.587515622366103,7356.684152018989,7365.879324543511,7354.250336867438,7368.313139695062,578.2092931251872,-13081.594229670733
ARIMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7791.803772597812,512.4737613867804,7135.042221391848,8448.565323803776,6787.373657257976,8796.233887937648,170.5387921416208,-7.28498019548549
BVAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7506.378538453786,492.30071108873045,6875.469791439106,8137.287285468466,6541.486875156443,8471.27020175113,115.65457699986702,-7.119572376223352
DMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7662.350808519193,,,,,,,
DMS,2020-02-01,2020-03-01,1,validation,7533.736569408685,7791.803772597812,,,,,,,
MS-VAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7878.350893563188,537.9057557980403,7188.996930104543,8567.704857021834,6824.074985122261,8932.626802004115,210.89118554357475,-7.411844071285294
MS-VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7857.9340170142195,537.9057557980403,7168.5800535555745,8547.287980472865,6803.658108573292,8912.209925455147,201.38050613455178,-7.388247395098586
Naive,2020-02-01,2020-03-01,1,validation,7533.736569408685,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,126.0330004019932,-7.207384195938466
VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7365.003932010094,412.7898989266404,6835.992390799496,7894.015473220692,6555.9505969319725,8174.057267088216,123.6057081369993,-7.025420278301123
XGBoost,2020-02-01,2020-03-01,1,validation,7533.736569408685,7724.2509765625,3.587515622366103,7719.653390300239,7728.848562824761,7717.219575148688,7731.282377976312,188.4903682088614,-1412.2578817377882
ARIMA,2020-03-01,2020-04-01,1,validation,7209.520101152639,7965.859010322968,512.4737613867804,7309.097459117005,8622.620561528931,6961.4288949831325,8970.289125662803,498.93661549115825,-8.247267640518036
BVAR,2020-03-01,2020-04-01,1,validation,7209.520101152639,7535.04798097678,509.155142894111,6882.539410495544,8187.556551458017,6537.122238361006,8532.973723592555,199.30046876845194,-7.3560749353512405
DMA,2020-03-01,2020-04-01,1,validation,7209.520101152639,7756.80622880162,,,,,,,
DMS,2020-03-01,2020-04-01,1,validation,7209.520101152639,7965.859010322968,,,,,,,
MS-VAR,2020-03-01,2020-04-01,1,validation,7209.520101152639,8057.864958995222,537.9057557980403,7368.510995536577,8747.218922453867,7003.589050554295,9112.14086743615,571.2481408204151,-8.450284247414093
MS-VECM,2020-03-01,2020-04-01,1,validation,7209.520101152639,7925.835361748518,537.9057557980403,7236.481398289873,8615.189325207164,6871.559453307591,8980.111270189445,458.60653490831453,-8.093300098257822
Naive,2020-03-01,2020-04-01,1,validation,7209.520101152639,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,192.14301582766018,-7.365496507659152
VECM,2020-03-01,2020-04-01,1,validation,7209.520101152639,7365.003932010094,412.7898989266404,6835.992390799496,7894.015473220692,6555.9505969319725,8174.057267088216,119.5587704274343,-7.012815833791612
XGBoost,2020-03-01,2020-04-01,1,validation,7209.520101152639,7935.298828125,3.587515622366103,7930.701241862739,7939.896414387261,7928.267426711188,7942.330229538812,723.7546880274075,-20466.212632652547
ARIMA,2020-04-01,2020-05-01,1,validation,6499.857251537734,7971.363484668183,512.4737613867804,7314.60193346222,8628.125035874147,6966.933369328348,8975.793600008019,1182.9861732201994,-11.280595811093885
BVAR,2020-04-01,2020-05-01,1,validation,6499.857251537734,7538.765502708004,479.38780098176375,6924.405315856649,8153.125689559358,6599.1826781559175,8478.34832726009,773.5849128903204,-9.439731433483743
DMA,2020-04-01,2020-05-01,1,validation,6499.857251537734,7429.0988361625095,,,,,,,
DMS,2020-04-01,2020-05-01,1,validation,6499.857251537734,7971.363484668183,,,,,,,
MS-VAR,2020-04-01,2020-05-01,1,validation,6499.857251537734,7032.8862023765805,537.9057557980403,6343.5322389179355,7722.2401658352255,5978.610293935653,8087.162110817508,320.73805444435567,-7.697596720234892
MS-VECM,2020-04-01,2020-05-01,1,validation,6499.857251537734,6988.258537879448,537.9057557980403,6298.904574420803,7677.612501338093,5933.982629438521,8042.5344463203755,291.3967242244242,-7.6188249707620805
Naive,2020-04-01,2020-05-01,1,validation,6499.857251537734,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,721.8234996232096,-8.979465491811045
VECM,2020-04-01,2020-05-01,1,validation,6499.857251537734,7365.003932010094,412.7898989266404,6835.992390799496,7894.015473220692,6555.9505969319725,8174.057267088216,637.6566213812317,-9.138175817729955
XGBoost,2020-04-01,2020-05-01,1,validation,6499.857251537734,7594.6806640625,3.587515622366103,7590.083077800239,7599.278250324761,7587.649262648688,7601.712065476312,1092.7993735798125,-46568.37019066359
ARIMA,2020-05-01,2020-06-01,1,validation,6694.648013475818,7959.1178414419,512.4737613867804,7302.356290235937,8615.879392647863,6954.6877261020645,8963.547956781735,977.6089889749521,-10.202181241040787
BVAR,2020-05-01,2020-06-01,1,validation,6694.648013475818,7536.228299101214,499.690091339959,6895.849680257166,8176.6069179452625,6556.853716643392,8515.602881559036,578.6521684806575,-8.551198971117579
DMA,2020-05-01,2020-06-01,1,validation,6694.648013475818,7391.64169211114,,,,,,,
DMS,2020-05-01,2020-06-01,1,validation,6694.648013475818,7959.1178414419,,,,,,,
MS-VAR,2020-05-01,2020-06-01,1,validation,6694.648013475818,7062.414308127893,537.9057557980403,6373.060344669248,7751.768271586538,6008.138399686965,8116.69021656882,222.28453850007236,-7.440344912414064
MS-VECM,2020-05-01,2020-06-01,1,validation,6694.648013475818,7412.877235445371,537.9057557980403,6723.523271986726,8102.231198904016,6358.601327004444,8467.153143886298,460.1714220041805,-8.098044755125363
Naive,2020-05-01,2020-06-01,1,validation,6694.648013475818,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,544.6631992907661,-8.363146912573248
VECM,2020-05-01,2020-06-01,1,validation,6694.648013475818,7365.003932010094,412.7898989266404,6835.992390799496,7894.015473220692,6555.9505969319725,8174.057267088216,455.59406894332545,-8.260506747633784
XGBoost,2020-05-01,2020-06-01,1,validation,6694.648013475818,6893.11669921875,3.587515622366103,6888.519112956489,6897.714285481011,6886.085297804938,6900.148100632562,196.44464679797858,-1532.460499330759
ARIMA,2020-06-01,2020-07-01,1,validation,7095.831822594811,8066.036113931581,512.4737613867804,7409.274562725617,8722.797665137545,7061.605998591745,9070.466229271417,692.6045392334091,-8.950250404655007
BVAR,2020-06-01,2020-07-01,1,validation,7095.831822594811,7548.44735157091,507.4654844103299,6898.1041655648,8198.79053757702,6553.8332787295185,8543.0614244123,269.7588865348692,-7.546122450279026
DMA,2020-06-01,2020-07-01,1,validation,7095.831822594811,7529.8560399580765,,,,,,,
DMS,2020-06-01,2020-07-01,1,validation,7095.831822594811,8066.036113931581,,,,,,,
MS-VAR,2020-06-01,2020-07-01,1,validation,7095.831822594811,7471.191298862044,537.9057557980403,6781.837335403399,8160.545262320689,6416.915390421117,8525.467207302972,226.15918133067115,-7.450095790611983
MS-VECM,2020-06-01,2020-07-01,1,validation,7095.831822594811,7680.160620305403,537.9057557980403,6990.806656846758,8369.514583764048,6625.884711864476,8734.436528746332,356.69072779217174,-7.796649332918664
