model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7770.8997629946425,509.9983738273703,7117.310548590772,8424.488977398512,6771.3213181190295,8770.478207870256,141.74476398176122,-7.209304872230821
BVAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7559.448889780008,515.1672853860248,6899.2354486759805,8219.662330884035,6549.73956441016,8569.158215149857,228.52410740329188,-7.438441574551076
DMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7773.201026665648,,,,,,,
DMS,2020-01-01,2020-02-01,1,validation,7941.515070351391,7770.8997629946425,,,,,,,
MS-VAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7852.438811351203,537.9057557980403,7163.084847892558,8541.792774809848,6798.162902910276,8906.714719792131,131.57720999002893,-7.220333295335369
MS-VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,8505.310166394274,537.9057557980403,7815.956202935629,9194.66412985292,7451.034257953347,9559.586074835202,342.02769485903616,-7.755910027093814
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,537.9057557980403,6823.379565974114,8202.087492891404,6458.457620991831,8567.009437873687,255.2761906087624,-7.524331096947948
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7722.096046237899,451.182581312636,7143.882302810056,8300.309789665742,6837.794436413342,8606.397656062456,147.18977845525077,-7.14906410284807
XGBoost,2020-01-01,2020-02-01,1,validation,7941.515070351391,7489.47998046875,2.990624988599938,7485.647340332652,7493.312620604848,7483.6184631998285,7495.3414977376715,450.3478104157753,-11425.282963013777
ARIMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7713.021508376495,509.9983738273703,7059.432293972624,8366.610722780366,6713.443063500882,8712.59995325211,144.0719438462666,-7.2151363324028
BVAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7564.890068250803,527.3655700343683,6889.043896358727,8240.736240142878,6531.272544297034,8598.507592204573,123.97667167663064,-7.188577380654093
