model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7861.792814330637,468.82147922919677,7260.973913663337,8462.611714997936,6942.919599862644,8780.66602879863,114.95654188691698,-7.083618785716235
BVAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7561.324655103176,479.12161821723413,6947.305595190426,8175.343715015926,6622.2635391828735,8500.385771023479,226.385069225296,-7.405726397842037
DMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7609.486186090623,,,,,,,
DMS,2020-01-01,2020-02-01,1,validation,7941.515070351391,7861.792814330637,,,,,,,
MS-VAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7527.136485916909,495.70737452821083,6891.8619240380785,8162.411047795739,6555.567884970735,8498.705086863083,246.51712874875025,-7.474317033397368
MS-VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7627.753231360204,495.70737452821083,6992.478669481374,8263.027793239035,6656.18463041403,8599.321832306377,192.5306294462351,-7.325242090342045
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,495.70737452821083,6877.458967553928,8148.008091311589,6541.164928486584,8484.302130378932,255.22968460524908,-7.499027500383785
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7650.29832867818,453.187854236359,7069.514724595595,8231.081932760766,6762.0664561439535,8538.530201212407,178.0970394720669,-7.241710127313797
XGBoost,2020-01-01,2020-02-01,1,validation,7941.515070351391,7525.3642578125,7.457018050498457,7515.807704655586,7534.920810969414,7510.748771001458,7539.979744623542,411.9436406304721,-1560.1163136154642
ARIMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7855.247801646987,468.82147922919677,7254.428900979687,8456.066702314287,6936.374587178993,8774.12101611498,194.2313928440759,-7.304311843768876
BVAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7537.5587296647,467.4763836024439,6938.463638403673,8136.653820925727,6621.321854180905,8453.795605148496,109.2593500903474,-7.0663207890697795
DMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7735.975190314947,,,,,,,
DMS,2020-02-01,2020-03-01,1,validation,7533.736569408685,7855.247801646987,,,,,,,
MS-VAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,8073.596130483519,495.70737452821083,7438.321568604689,8708.870692362349,7102.027529537345,9045.164731429693,329.70015583827416,-7.717960016510926
MS-VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7836.347378704739,495.70737452821083,7201.072816825908,8471.621940583569,6864.7787777585645,8807.915979650912,187.33581738760236,-7.311256603934378
Naive,2020-02-01,2020-03-01,1,validation,7533.736569408685,7512.733529432759,495.70737452821083,6877.458967553928,8148.008091311589,6541.164928486584,8484.302130378932,116.19929006251827,-7.125821916604514
VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7650.29832867818,453.187854236359,7069.514724595595,8231.081932760766,6762.0664561439535,8538.530201212407,117.80256285027924,-7.068322228057517
XGBoost,2020-02-01,2020-03-01,1,validation,7533.736569408685,7686.04443359375,7.457018050498457,7676.487880436836,7695.600986750664,7671.428946782708,7700.659920404792,148.1006922766464,-211.51366952594674
