model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end,rank
MS-VAR,test,1,all,218.28169305684952,315.24487674590387,5.15766261271038,5.478484936976179,0.6424740076613246,409.6054073664217,191.16594064929888,-7.374133069624112,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01,1
DMA,test,1,all,222.50003543669905,321.6910294461983,5.301042463519978,5.642729099198533,0.6548899610860751,420.9773344362797,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01,2
MS-VECM,test,1,all,226.05339371852983,323.40454920365477,5.391833037166779,5.73967457382404,0.6653486500581723,427.5178453673512,194.0435142080571,-7.383078532804657,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01,3
DMS,test,1,all,228.04450298707306,325.960073019016,5.422361083500371,5.7719965434106815,0.6712091321422994,432.2441892489599,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01,4
XGBoost,test,1,all,690.4889368127893,886.1322330488664,17.46798934180099,20.212379914138314,2.0323334873730468,1303.059497974537,685.9830071898983,-7022.465428352288,0.037037037037037035,0.1111111111111111,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01,5
ARIMA,test,1,all,1105.2029582356054,1249.8610855014506,25.25612434659103,29.14215583738342,3.2529717170182066,2159.0893438168073,880.1567375521588,-10.248740068514893,0.25925925925925924,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01,6
Naive,test,1,all,1180.5794522485394,1350.8071814239772,26.25437736988761,31.865134947187993,3.4748292512610672,2352.246118915206,945.0203125250403,-10.377929218444754,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01,7
BVAR,test,1,all,1195.5965562225601,1363.3286191918105,26.9843038004828,32.7838377374852,3.5190294718042674,2374.259768257709,957.8322316153422,-10.513143363637141,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01,8
VECM,test,1,all,1393.163120527872,1556.3436578458402,32.04516902281409,40.29267391655631,4.100532119010024,2767.0223835968095,1168.1354442029149,-12.905066956064793,0.18518518518518517,0.2222222222222222,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01,9
MS-VAR,test,1,all,265.22852400738344,361.24586033904575,6.631936539388461,7.089212228626011,0.6351500427532086,511.0956693193474,218.16881811085642,-7.489934345465473,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01,1
DMA,test,1,all,270.6472330129766,362.6343541532109,6.694435585941277,7.1607065443395905,0.6481263742750546,523.3171345315395,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01,2
