model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end
ARIMA,test,1,all,1089.2144446821746,1238.7565946243742,24.765340266976313,28.40040077739045,2.6083717944606772,2129.494005427692,848.5360497648746,-9.6667237017483,0.25925925925925924,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
ARIMA,validation,1,all,1351.877994079,1538.0416060779773,48.509412130863,35.74187111334128,3.23737942195273,1366.0748079560356,1059.1506480627531,-10.697176640159201,0.22857142857142856,0.45714285714285713,35,common_dates,2020-02-01,2022-12-01,35,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
BVAR,test,1,all,1194.2796268992563,1357.876515365257,26.874257079670638,32.53487347790854,2.8599742766099783,2369.7911131591272,934.8103088062975,-9.97585282131668,0.2962962962962963,0.4074074074074074,27,common_dates,2023-01-01,2025-03-01,27,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
BVAR,validation,1,all,1191.5380094511302,1467.2021376179798,42.3343973371593,31.147932588703778,2.853408849886336,1202.3927851327014,923.4281348158578,-10.191379142030607,0.45714285714285713,0.6857142857142857,35,common_dates,2020-02-01,2022-12-01,35,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
DMA,test,1,all,270.6472330129766,362.6343541532109,6.694435585941277,7.1607065443395905,0.6481263742750546,523.3171345315395,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
DMA,validation,1,all,587.5653288464141,764.6262977498073,17.241578553769212,16.109701819532688,1.407058856636076,660.247810947556,,,,,35,common_dates,2020-02-01,2022-12-01,35,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
DMS,test,1,all,270.7373858905204,362.78691480838955,6.694825705063945,7.161594031922033,0.6483422658509722,523.5497467667775,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
DMS,validation,1,all,732.9982078456076,1028.0731617751305,19.478854633509034,17.830637527399393,1.7553309727659705,824.2500309353453,,,,,35,common_dates,2020-02-01,2022-12-01,35,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
MS-VAR,test,1,all,265.22852400738344,361.24586033904575,6.631936539388461,7.089212228626011,0.6351500427532086,511.0956693193474,218.16881811085642,-7.489934345465473,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
MS-VAR,validation,1,all,481.7699275853813,611.1014411540217,15.490511701807474,14.430822206536346,1.153707698854241,568.7465068591846,343.9677798226511,-7.840283209355509,0.8,0.9142857142857143,35,common_dates,2020-02-01,2022-12-01,35,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
MS-VECM,test,1,all,270.7373858905204,362.78691480838955,6.694825705063945,7.161594031922033,0.6483422658509722,523.5497467667775,218.74289870310173,-7.491962370703855,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
MS-VECM,validation,1,all,439.7155306304691,576.8410053364314,14.314969345677916,13.656366728972037,1.0529988775695087,534.80846912711,324.2216567910603,-7.786051145773024,0.8857142857142857,0.9428571428571428,35,common_dates,2020-02-01,2022-12-01,35,bop_cse,BoP + CSE flows,omitted_variable,Adds the CSE portfolio-flow proxy available in the merged monthly panel.,6,2012-01-01,2025-03-01
