model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end
ARIMA,test,1,all,1139.3765115142035,1288.3965832151182,26.059875755400213,29.909314744252388,3.353555597523525,2221.2989959328766,915.0425648159966,-10.453370427757706,0.25925925925925924,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
ARIMA,validation,1,all,1445.532514922701,1622.4188372476756,52.49004578357322,38.04313097266411,4.254672277190306,1449.290195414548,1181.0313811941185,-12.127757574177135,0.14285714285714285,0.34285714285714286,35,common_dates,2020-02-01,2022-12-01,35,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
BVAR,test,1,all,1255.1722092005293,1428.0651307442402,28.349199833096122,35.02684728389464,3.6943799924630367,2501.991164778199,1017.9209649910258,-10.912833647990215,0.2222222222222222,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
BVAR,validation,1,all,1145.8302881048526,1462.7490417162048,39.54371097189946,28.95567757736703,3.3725511607916974,1158.0748212858966,922.7324143486471,-11.123926182526532,0.5142857142857142,0.5714285714285714,35,common_dates,2020-02-01,2022-12-01,35,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
DMA,test,1,all,260.53049772618317,350.8963685217005,6.45146560404643,6.890748787717187,0.7668259790735031,500.5448675369897,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
DMA,validation,1,all,574.863358518067,786.0487895314759,15.969912492601493,14.618348211366486,1.6920098091256852,641.6028589860704,,,,,35,common_dates,2020-02-01,2022-12-01,35,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
DMS,test,1,all,272.79802696435405,360.0794186626741,6.726500361500993,7.191618978409457,0.8029333070100582,521.1518598795838,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
DMS,validation,1,all,759.5588077801623,1127.9994535856297,18.919690278619587,16.792546408015536,2.235628579085119,819.8835002194204,,,,,35,common_dates,2020-02-01,2022-12-01,35,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
MS-VAR,test,1,all,265.0663626246603,360.1744596543897,6.607341687077582,7.079020811156626,0.78017650452859,515.1164946721302,210.9350660549139,-7.426157753946471,0.9629629629629629,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
MS-VAR,validation,1,all,448.15297690600454,604.9052698926836,13.484422835202158,12.541147676786224,1.319059949948097,522.6970279805611,332.806094316948,-7.84941557607979,0.8,0.8857142857142857,35,common_dates,2020-02-01,2022-12-01,35,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
MS-VECM,test,1,all,249.2128718703049,330.6378653110402,6.076973631829362,6.4394200927425045,0.7335145256986945,471.18519515973503,198.72231628968672,-7.391012102935552,0.9629629629629629,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
MS-VECM,validation,1,all,479.77915084992054,643.4507933794597,14.486587631746298,13.518365949507002,1.4121460646661552,574.562623689472,354.029294504707,-7.932029239904705,0.7714285714285715,0.8857142857142857,35,common_dates,2020-02-01,2022-12-01,35,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
Naive,test,1,all,1180.5794522485394,1350.8071814239772,26.25437736988761,31.865134947187993,3.4748292512610672,2352.246118915206,945.0203125250403,-10.377929218444754,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
Naive,validation,1,all,1029.3448030071818,1328.0723215695268,35.694347746002094,26.73888522198556,3.0296964971824,1042.1957910327405,812.7124533194565,-10.257678944961604,0.5142857142857142,0.6857142857142857,35,common_dates,2020-02-01,2022-12-01,35,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
VECM,test,1,all,1373.2783284270108,1547.605019596961,31.08794821997307,39.29511264412998,4.042004709342072,2746.5566568540216,1164.6402169293096,-13.39638917352007,0.18518518518518517,0.2222222222222222,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
VECM,validation,1,all,976.0751908535104,1339.6847935781716,32.60935827490388,23.852334970535477,2.872906705387903,1006.3160332809905,805.3662586375714,-11.21057874437535,0.4857142857142857,0.6285714285714286,35,common_dates,2020-02-01,2022-12-01,35,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
XGBoost,test,1,all,847.3042353877315,1003.6374859406476,20.62895908692171,24.295371111909404,2.4938919072622077,1663.4027506510417,843.1695272767445,-9837.404249267116,0.0,0.0,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
XGBoost,validation,1,all,1762.361040682872,2219.209527384885,69.03557313102617,43.318007579808196,5.1872016608319855,1788.8368134340235,1759.8837031518128,-164208.0440735283,0.0,0.0,35,common_dates,2020-02-01,2022-12-01,35,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01
