model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end
ARIMA,test,1,all,1092.46628667273,1234.5093425451435,24.879500245114937,28.701874857560224,3.2154835506554167,2136.4266507819393,866.5104382137025,-10.145317512984482,0.25925925925925924,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
ARIMA,validation,1,all,1578.0079894061041,1790.361194690556,54.0458512742657,39.067829310742866,4.644590679490864,1582.8827124734398,1307.1439890009262,-13.206736132275745,0.08571428571428572,0.2,35,common_dates,2020-02-01,2022-12-01,35,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
BVAR,test,1,all,1182.5429913526245,1347.1998065851296,26.699282204250373,32.322275429979435,3.4806085853854034,2346.0412940704464,946.7363790092537,-10.490940017092768,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
BVAR,validation,1,all,1211.1433526309527,1485.3193713713015,42.97580782067244,31.56119752884935,3.5647887494372905,1222.0595292187065,966.7129544090307,-11.214887507179093,0.2571428571428571,0.5714285714285714,35,common_dates,2020-02-01,2022-12-01,35,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
DMA,test,1,all,241.4215776407648,328.3890896971912,5.722371904322938,6.04427349284643,0.710582213059826,443.26787935930736,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
DMA,validation,1,all,798.5733823623908,947.7954769281712,25.00275707986689,22.024031925534214,2.3504611595824576,867.36456747061,,,,,35,common_dates,2020-02-01,2022-12-01,35,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
DMS,test,1,all,241.42131154213382,328.3888810275143,5.722366462113669,6.044266455732359,0.71058142984502,443.2671462158714,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
DMS,validation,1,all,1023.4598290545669,1309.4712652837084,28.355932362788995,24.567425815827253,3.012375105052029,1103.9988958992922,,,,,35,common_dates,2020-02-01,2022-12-01,35,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
MS-VAR,test,1,all,241.42131154213382,328.3888810275143,5.722366462113669,6.044266455732359,0.71058142984502,443.2671462158714,197.31348694357823,-7.389037615949807,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
MS-VAR,validation,1,all,547.2985431462394,666.6988158898189,19.784417617715192,17.724551467838054,1.6108775934351542,642.2292880805174,382.28946282090317,-7.973162513513512,0.7428571428571429,0.8571428571428571,35,common_dates,2020-02-01,2022-12-01,35,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
MS-VECM,test,1,all,303.67160135660447,388.3853474061352,7.631403855586242,8.18684766621984,0.8938042765029198,588.0387816384666,225.4153127148343,-7.46324979839051,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
MS-VECM,validation,1,all,880.5175437193112,1162.3080443894517,26.816961965776436,20.969196809162444,2.5916494746177245,903.708339808254,704.5643963967194,-9.55297922869527,0.4857142857142857,0.7142857142857143,35,common_dates,2020-02-01,2022-12-01,35,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
Naive,test,1,all,1180.5794522485394,1350.8071814239772,26.25437736988761,31.865134947187993,3.4748292512610672,2352.246118915206,945.0203125250403,-10.377929218444754,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
Naive,validation,1,all,1029.3448030071818,1328.0723215695268,35.694347746002094,26.73888522198556,3.0296964971824,1042.1957910327405,812.7124533194565,-10.257678944961604,0.5142857142857142,0.6857142857142857,35,common_dates,2020-02-01,2022-12-01,35,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
VECM,test,1,all,1399.454373742001,1563.8306945242507,32.42961096586548,40.882913452363674,4.119049323128654,2773.7738401731153,1167.0963793078968,-12.622998179121632,0.2222222222222222,0.2222222222222222,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
VECM,validation,1,all,1241.8570595064984,1480.6412896381428,44.15687622170482,32.66059767445513,3.6551891768397287,1248.1261744811698,1006.5944857086288,-12.066413003551125,0.2,0.5428571428571428,35,common_dates,2020-02-01,2022-12-01,35,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
XGBoost,test,1,all,720.2265218098959,939.187064399729,18.337515958536454,21.73986437224818,2.1198608706533495,1359.288402416088,716.3921808920552,-10990.930063938,0.037037037037037035,0.037037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01
