date,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,m2_usd_m,trade_balance_usd_m,scenario
2025-04-01,1185.3587974626935,1562.9334103168094,642.8939564147952,296.49427362697656,44002.256362788416,-401.3245033192926,Baseline
2025-05-01,1202.170154353121,1594.8876831413145,660.3999436384881,296.51876172043654,44002.26989072835,-399.2429849803856,Baseline
2025-06-01,1197.1530874660186,1581.158639193265,654.3213683839541,296.5229181746262,44002.26982654886,-400.00197109074196,Baseline
2025-07-01,1198.6503467481643,1587.057275934669,656.4320221078998,296.5236236648866,44002.26982685334,-399.7252212274588,Baseline
2025-08-01,1198.2035148823713,1584.5229468481934,655.6991432743141,296.52374341034385,44002.269826851894,-399.8261328064484,Baseline
2025-09-01,1198.33686434206,1585.6118126658614,655.9536195906442,296.5237637351808,44002.2698268519,-399.78933731663903,Baseline
2025-10-01,1198.2970684372453,1585.143985194199,655.8652581963656,296.52376718499016,44002.2698268519,-399.80275409282933,Baseline
2025-11-01,1198.3089448561204,1585.3449856661493,655.8959397784927,296.523767770539,44002.2698268519,-399.79786192033015,Baseline
2025-12-01,1198.3054005385343,1585.2586265013472,655.8852862630123,296.52376786992636,44002.2698268519,-399.7996457580735,Baseline
2026-01-01,1198.3064582805425,1585.2957304209199,655.8889854657334,296.5237678867957,44002.2698268519,-399.79899531553593,Baseline
2026-02-01,1198.3061426152194,1585.2797888488724,655.8877009976349,296.52376788965904,44002.2698268519,-399.7992324870479,Baseline
2026-03-01,1198.3062368202293,1585.2866380907387,655.8881470013877,296.52376789014505,44002.2698268519,-399.7991460069627,Baseline
2025-04-01,1185.3587974626935,1562.9334103168094,642.8939564147952,296.49427362697656,44002.256362788416,-401.3245033192926,LKR Depreciation 10%
2025-05-01,1202.170154353121,1594.8876831413145,660.3999436384881,299.21438682698596,44002.26989072835,-399.2429849803856,LKR Depreciation 10%
2025-06-01,1197.1530874660186,1581.158639193265,654.3213683839541,301.91424395961945,44002.26982654886,-400.00197109074196,LKR Depreciation 10%
2025-07-01,1198.6503467481643,1587.057275934669,656.4320221078998,304.6106315830199,44002.26982685334,-399.7252212274588,LKR Depreciation 10%
2025-08-01,1198.2035148823713,1584.5229468481934,655.6991432743141,307.3064249889018,44002.269826851894,-399.8261328064484,LKR Depreciation 10%
2025-09-01,1198.33686434206,1585.6118126658614,655.9536195906442,310.00211663223445,44002.2698268519,-399.78933731663903,LKR Depreciation 10%
2025-10-01,1198.2970684372453,1585.143985194199,655.8652581963656,312.697790849626,44002.2698268519,-399.80275409282933,LKR Depreciation 10%
2025-11-01,1198.3089448561204,1585.3449856661493,655.8959397784927,315.39346208320967,44002.2698268519,-399.79786192033015,LKR Depreciation 10%
2025-12-01,1198.3054005385343,1585.2586265013472,655.8852862630123,318.089132805921,44002.2698268519,-399.7996457580735,LKR Depreciation 10%
2026-01-01,1198.3064582805425,1585.2957304209199,655.8889854657334,320.7848034411699,44002.2698268519,-399.79899531553593,LKR Depreciation 10%
2026-02-01,1198.3061426152194,1585.2797888488724,655.8877009976349,323.4804740614463,44002.2698268519,-399.7992324870479,LKR Depreciation 10%
2026-03-01,1198.3062368202293,1585.2866380907387,655.8881470013877,326.17614467915956,44002.2698268519,-399.7991460069627,LKR Depreciation 10%
2025-04-01,1185.3587974626935,1562.9334103168094,642.8939564147952,296.49427362697656,44002.256362788416,-401.3245033192926,LKR Depreciation 20%
2025-05-01,1202.170154353121,1594.8876831413145,660.3999436384881,301.9100119335354,44002.26989072835,-399.2429849803856,LKR Depreciation 20%
2025-06-01,1197.1530874660186,1581.158639193265,654.3213683839541,307.3055697446126,44002.26982654886,-400.00197109074196,LKR Depreciation 20%
2025-07-01,1198.6503467481643,1587.057275934669,656.4320221078998,312.6976395011531,44002.26982685334,-399.7252212274588,LKR Depreciation 20%
2025-08-01,1198.2035148823713,1584.5229468481934,655.6991432743141,318.0891065674598,44002.269826851894,-399.8261328064484,LKR Depreciation 20%
2025-09-01,1198.33686434206,1585.6118126658614,655.9536195906442,323.48046952928814,44002.2698268519,-399.78933731663903,LKR Depreciation 20%
2025-10-01,1198.2970684372453,1585.143985194199,655.8652581963656,328.8718145142618,44002.2698268519,-399.80275409282933,LKR Depreciation 20%
2025-11-01,1198.3089448561204,1585.3449856661493,655.8959397784927,334.2631563958803,44002.2698268519,-399.79786192033015,LKR Depreciation 20%
2025-12-01,1198.3054005385343,1585.2586265013472,655.8852862630123,339.6544977419157,44002.2698268519,-399.7996457580735,LKR Depreciation 20%
2026-01-01,1198.3064582805425,1585.2957304209199,655.8889854657334,345.0458389955441,44002.2698268519,-399.79899531553593,LKR Depreciation 20%
2026-02-01,1198.3061426152194,1585.2797888488724,655.8877009976349,350.4371802332334,44002.2698268519,-399.7992324870479,LKR Depreciation 20%
2026-03-01,1198.3062368202293,1585.2866380907387,655.8881470013877,355.8285214681741,44002.2698268519,-399.7991460069627,LKR Depreciation 20%
2025-04-01,1185.3587974626935,1562.9334103168094,642.8939564147952,296.49427362697656,44002.256362788416,-401.3245033192926,Export Shock (-15%)
2025-05-01,1185.7769249755784,1594.8876831413145,660.3999436384881,296.51876172043654,44002.26989072835,-388.354539935466,Export Shock (-15%)
2025-06-01,1164.5034578078546,1581.158639193265,654.3213683839541,296.5229181746262,44002.26982654886,-378.18368175851964,Export Shock (-15%)
2025-07-01,1149.6146507448304,1587.057275934669,656.4320221078998,296.5236236648866,44002.26982685334,-367.02043039975763,Export Shock (-15%)
2025-08-01,1132.846959525151,1584.5229468481934,655.6991432743141,296.52374341034385,44002.269826851894,-356.2087365002904,Export Shock (-15%)
2025-09-01,1116.6320781369195,1585.6118126658614,655.9536195906442,296.5237637351808,44002.2698268519,-345.2726095007337,Export Shock (-15%)
2025-10-01,1100.2545810196525,1585.143985194199,655.8652581963656,296.52376718499016,44002.2698268519,-334.38048524127544,Export Shock (-15%)
2025-11-01,1083.9249092107634,1585.3449856661493,655.8959397784927,296.523767770539,44002.2698268519,-323.47281555372166,Export Shock (-15%)
2025-12-01,1067.5811750252396,1585.2586265013472,655.8852862630123,296.52376786992636,44002.2698268519,-312.5706321381302,Export Shock (-15%)
2026-01-01,1051.241574764294,1585.2957304209199,655.8889854657334,296.5237678867957,44002.2698268519,-301.6665146471771,Export Shock (-15%)
2026-02-01,1034.9007595313258,1585.2797888488724,655.8877009976349,296.52376788965904,44002.2698268519,-290.7630781723985,Export Shock (-15%)
2026-03-01,1018.5603012971949,1585.2866380907387,655.8881470013877,296.52376789014505,44002.2698268519,-279.85940220487385,Export Shock (-15%)
2025-04-01,1185.3587974626935,1562.9334103168094,642.8939564147952,296.49427362697656,44002.256362788416,-401.3245033192926,Remittance Decline (-20%)
2025-05-01,1202.170154353121,1594.8876831413145,648.3926719359702,296.51876172043654,44002.26989072835,-399.2429849803856,Remittance Decline (-20%)
2025-06-01,1197.1530874660186,1581.158639193265,630.5278640790831,296.5229181746262,44002.26982654886,-400.00197109074196,Remittance Decline (-20%)
2025-07-01,1198.6503467481643,1587.057275934669,620.6266390838325,296.5236236648866,44002.26982685334,-399.7252212274588,Remittance Decline (-20%)
2025-08-01,1198.2035148823713,1584.5229468481934,608.011932854364,296.52374341034385,44002.269826851894,-399.8261328064484,Remittance Decline (-20%)
2025-09-01,1198.33686434206,1585.6118126658614,596.3214723551312,296.5237637351808,44002.2698268519,-399.78933731663903,Remittance Decline (-20%)
2025-10-01,1198.2970684372453,1585.143985194199,584.3163209385802,296.52376718499016,44002.2698268519,-399.80275409282933,Remittance Decline (-20%)
2025-11-01,1198.3089448561204,1585.3449856661493,572.4182747157755,296.523767770539,44002.2698268519,-399.79786192033015,Remittance Decline (-20%)
2025-12-01,1198.3054005385343,1585.2586265013472,560.4837900793015,296.52376786992636,44002.2698268519,-399.7996457580735,Remittance Decline (-20%)
2026-01-01,1198.3064582805425,1585.2957304209199,548.561696934977,296.5237678867957,44002.2698268519,-399.79899531553593,Remittance Decline (-20%)
2026-02-01,1198.3061426152194,1585.2797888488724,536.6353917253376,296.52376788965904,44002.2698268519,-399.7992324870479,Remittance Decline (-20%)
2026-03-01,1198.3062368202293,1585.2866380907387,524.7105176011102,296.52376789014505,44002.2698268519,-399.7991460069627,Remittance Decline (-20%)
2025-04-01,1185.3587974626935,1562.9334103168094,642.8939564147952,296.49427362697656,44002.256362788416,-401.3245033192926,Tourism Recovery (+25%)
2025-05-01,1202.170154353121,1594.8876831413145,660.3999436384881,296.51876172043654,44002.26989072835,-399.2429849803856,Tourism Recovery (+25%)
2025-06-01,1197.1530874660186,1581.158639193265,654.3213683839541,296.5229181746262,44002.26982654886,-400.00197109074196,Tourism Recovery (+25%)
2025-07-01,1198.6503467481643,1587.057275934669,656.4320221078998,296.5236236648866,44002.26982685334,-399.7252212274588,Tourism Recovery (+25%)
2025-08-01,1198.2035148823713,1584.5229468481934,655.6991432743141,296.52374341034385,44002.269826851894,-399.8261328064484,Tourism Recovery (+25%)
2025-09-01,1198.33686434206,1585.6118126658614,655.9536195906442,296.5237637351808,44002.2698268519,-399.78933731663903,Tourism Recovery (+25%)
2025-10-01,1198.2970684372453,1585.143985194199,655.8652581963656,296.52376718499016,44002.2698268519,-399.80275409282933,Tourism Recovery (+25%)
2025-11-01,1198.3089448561204,1585.3449856661493,655.8959397784927,296.523767770539,44002.2698268519,-399.79786192033015,Tourism Recovery (+25%)
2025-12-01,1198.3054005385343,1585.2586265013472,655.8852862630123,296.52376786992636,44002.2698268519,-399.7996457580735,Tourism Recovery (+25%)
2026-01-01,1198.3064582805425,1585.2957304209199,655.8889854657334,296.5237678867957,44002.2698268519,-399.79899531553593,Tourism Recovery (+25%)
2026-02-01,1198.3061426152194,1585.2797888488724,655.8877009976349,296.52376788965904,44002.2698268519,-399.7992324870479,Tourism Recovery (+25%)
2026-03-01,1198.3062368202293,1585.2866380907387,655.8881470013877,296.52376789014505,44002.2698268519,-399.7991460069627,Tourism Recovery (+25%)
2025-04-01,1185.3587974626935,1562.9334103168094,642.8939564147952,296.49427362697656,44002.256362788416,-401.3245033192926,Oil Price Shock
