date,gross_reserves_usd_m,scenario
2025-04-01,6388.737534425059,Baseline
2025-05-01,6526.986790334679,Baseline
2025-06-01,6491.095067657366,Baseline
2025-07-01,6545.345290911656,Baseline
2025-08-01,6550.733139769993,Baseline
2025-09-01,6581.477561762234,Baseline
2025-10-01,6598.94551575805,Baseline
2025-11-01,6623.293167452691,Baseline
2025-12-01,6644.065403367377,Baseline
2026-01-01,6666.693598251852,Baseline
2026-02-01,6688.356219479127,Baseline
2026-03-01,6710.521845395481,Baseline
2025-04-01,6388.737534425059,LKR Depreciation 10%
2025-05-01,6499.827592507633,LKR Depreciation 10%
2025-06-01,6444.220313943504,LKR Depreciation 10%
2025-07-01,6473.04898845942,LKR Depreciation 10%
2025-08-01,6455.584118967334,LKR Depreciation 10%
2025-09-01,6462.001547325851,LKR Depreciation 10%
2025-10-01,6455.893348003109,LKR Depreciation 10%
2025-11-01,6456.2600475754825,LKR Depreciation 10%
2025-12-01,6453.263633922297,LKR Depreciation 10%
2026-01-01,6452.01034822454,LKR Depreciation 10%
2026-02-01,6449.851072038795,LKR Depreciation 10%
2026-03-01,6448.163239091352,LKR Depreciation 10%
2025-04-01,6388.737534425059,LKR Depreciation 20%
2025-05-01,6472.668394680587,LKR Depreciation 20%
2025-06-01,6397.3455602296435,LKR Depreciation 20%
2025-07-01,6400.752686007183,LKR Depreciation 20%
2025-08-01,6360.435098164675,LKR Depreciation 20%
2025-09-01,6342.525532889469,LKR Depreciation 20%
2025-10-01,6312.841180248169,LKR Depreciation 20%
2025-11-01,6289.226927698274,LKR Depreciation 20%
2025-12-01,6262.461864477216,LKR Depreciation 20%
2026-01-01,6237.32709819723,LKR Depreciation 20%
2026-02-01,6211.345924598464,LKR Depreciation 20%
2026-03-01,6185.804632787222,LKR Depreciation 20%
2025-04-01,6388.737534425059,Export Shock (-15%)
2025-05-01,6540.589526990888,Export Shock (-15%)
2025-06-01,6514.42846208096,Export Shock (-15%)
2025-07-01,6581.443695289042,Export Shock (-15%)
2025-08-01,6598.172341800215,Export Shock (-15%)
2025-09-01,6641.087353515694,Export Shock (-15%)
2025-10-01,6670.294482325225,Export Shock (-15%)
2025-11-01,6706.615961615804,Export Shock (-15%)
2025-12-01,6739.237873725651,Export Shock (-15%)
2026-01-01,6773.782020060583,Export Shock (-15%)
2026-02-01,6807.325466800142,Export Shock (-15%)
2026-03-01,6841.390562870673,Export Shock (-15%)
2025-04-01,6388.737534425059,Remittance Decline (-20%)
2025-05-01,6488.973860558512,Remittance Decline (-20%)
2025-06-01,6426.1884175181995,Remittance Decline (-20%)
2025-07-01,6444.651901312218,Remittance Decline (-20%)
2025-08-01,6418.6031633268185,Remittance Decline (-20%)
2025-09-01,6415.318467039508,Remittance Decline (-20%)
2025-10-01,6400.144199146352,Remittance Decline (-20%)
2025-11-01,6391.081752929334,Remittance Decline (-20%)
2025-12-01,6378.857068403189,Remittance Decline (-20%)
2026-01-01,6368.265235604439,Remittance Decline (-20%)
2026-02-01,6356.827195497832,Remittance Decline (-20%)
2026-03-01,6345.8283793828605,Remittance Decline (-20%)
2025-04-01,6388.737534425059,Tourism Recovery (+25%)
2025-05-01,6526.986790334679,Tourism Recovery (+25%)
2025-06-01,6491.095067657366,Tourism Recovery (+25%)
2025-07-01,6545.345290911656,Tourism Recovery (+25%)
2025-08-01,6550.733139769993,Tourism Recovery (+25%)
2025-09-01,6581.477561762234,Tourism Recovery (+25%)
2025-10-01,6598.94551575805,Tourism Recovery (+25%)
2025-11-01,6623.293167452691,Tourism Recovery (+25%)
2025-12-01,6644.065403367377,Tourism Recovery (+25%)
2026-01-01,6666.693598251852,Tourism Recovery (+25%)
2026-02-01,6688.356219479127,Tourism Recovery (+25%)
2026-03-01,6710.521845395481,Tourism Recovery (+25%)
2025-04-01,6388.737534425059,Oil Price Shock
2025-05-01,6508.538867027695,Oil Price Shock
2025-06-01,6459.530199475182,Oil Price Shock
2025-07-01,6496.3974473058415,Oil Price Shock
2025-08-01,6486.511691869211,Oil Price Shock
2025-09-01,6500.696935178476,Oil Price Shock
2025-10-01,6502.3152387429,Oil Price Shock
2025-11-01,6510.407257980398,Oil Price Shock
2025-12-01,6515.150180826023,Oil Price Shock
2026-01-01,6521.622680120556,Oil Price Shock
2026-02-01,6527.199445068181,Oil Price Shock
2026-03-01,6533.240780065617,Oil Price Shock
2025-04-01,6388.737534425059,IMF Tranche Delay
2025-05-01,6510.722861846818,IMF Tranche Delay
2025-06-01,6462.930524484697,IMF Tranche Delay
2025-07-01,6501.996684928741,IMF Tranche Delay
2025-08-01,6493.61434735462,IMF Tranche Delay
2025-09-01,6509.802560512563,IMF Tranche Delay
2025-10-01,6513.096065639342,IMF Tranche Delay
2025-11-01,6523.071366102034,IMF Tranche Delay
2025-12-01,6529.570527295343,IMF Tranche Delay
2026-01-01,6537.874938094335,IMF Tranche Delay
2026-02-01,6545.2395119073835,IMF Tranche Delay
2026-03-01,6553.093940915895,IMF Tranche Delay
2025-04-01,6388.737534425059,Combined Adverse
2025-05-01,6457.5260350071,Combined Adverse
2025-06-01,6371.835297197291,Combined Adverse
2025-07-01,6360.855554529589,Combined Adverse
2025-08-01,6308.3135526433425,Combined Adverse
2025-09-01,6276.8230161840775,Combined Adverse
2025-10-01,6234.330426015356,Combined Adverse
2025-11-01,6197.46152773939,Combined Adverse
2025-12-01,6157.692215852149,Combined Adverse
2026-01-01,6119.413531533119,Combined Adverse
2026-02-01,6080.365375734461,Combined Adverse
2026-03-01,6041.714985863485,Combined Adverse
2025-04-01,6388.737534425059,Combined Upside
2025-05-01,6554.321685617396,Combined Upside
2025-06-01,6537.918162070367,Combined Upside
2025-07-01,6617.876941462753,Combined Upside
2025-08-01,6645.970787756435,Combined Upside
2025-09-01,6701.210508923889,Combined Upside
2025-10-01,6742.215824507633,Combined Upside
2025-11-01,6790.634139106836,Combined Upside
2025-12-01,6835.188198212447,Combined Upside
2026-01-01,6881.755384417088,Combined Upside
2026-02-01,6927.272249407616,Combined Upside
2026-03-01,6973.337751556475,Combined Upside
