scenario,description,start_level,end_level,total_change,pct_change,avg_monthly_change,min_level,max_level
Combined Upside,Favorable conditions across the board,6531.0,6973.337751556475,442.33775155647527,6.772894680086898,36.86147929637294,6388.737534425059,6973.337751556475
Export Shock (-15%),Global demand contraction hits exports,6531.0,6841.390562870673,310.3905628706734,4.752573309916911,25.865880239222786,6388.737534425059,6841.390562870673
Baseline,Current trajectory continues,6531.0,6710.521845395481,179.52184539548125,2.748765049693481,14.960153782956771,6388.737534425059,6710.521845395481
Tourism Recovery (+25%),Post-COVID tourism boom,6531.0,6710.521845395481,179.52184539548125,2.748765049693481,14.960153782956771,6388.737534425059,6710.521845395481
IMF Tranche Delay,Expected disbursement delayed 6 months,6531.0,6553.093940915895,22.093940915894564,0.3382933841049543,1.8411617429912137,6388.737534425059,6553.093940915895
Oil Price Shock,Import bill rises due to energy prices,6531.0,6533.240780065617,2.2407800656174004,0.03430990760400246,0.18673167213478337,6388.737534425059,6533.240780065617
LKR Depreciation 10%,Exchange rate depreciates 10% over horizon,6531.0,6448.163239091352,-82.8367609086481,-1.2683625923847512,-6.903063409054009,6388.737534425059,6499.827592507633
Remittance Decline (-20%),Gulf employment crisis or hawala channel disruption,6531.0,6345.8283793828605,-185.17162061713952,-2.835272096419224,-15.430968384761627,6345.8283793828605,6488.973860558512
LKR Depreciation 20%,Severe exchange rate pressure,6531.0,6185.804632787222,-345.19536721277836,-5.285490234462998,-28.766280601064864,6185.804632787222,6472.668394680587
Combined Adverse,Multiple simultaneous shocks (stress test),6531.0,6041.714985863485,-489.2850141365152,-7.491731957380419,-40.773751178042936,6041.714985863485,6457.5260350071
