scenario,description,start_level,end_level,total_change,pct_change,avg_monthly_change,min_level,max_level
Combined Upside,Favorable conditions across the board,6081.0,6554.338646538163,473.3386465381627,7.7838948616701655,39.44488721151356,6163.088675589617,6554.338646538163
Baseline,Current trajectory continues,6081.0,6468.640520322112,387.640520322112,6.3746179957591185,32.303376693509335,6159.0639560868085,6468.640520322112
Export Shock (-15%),Global demand contraction hits exports,6081.0,6468.640520322112,387.640520322112,6.3746179957591185,32.303376693509335,6159.0639560868085,6468.640520322112
Remittance Decline (-20%),Gulf employment crisis or hawala channel disruption,6081.0,6468.640520322112,387.640520322112,6.3746179957591185,32.303376693509335,6159.0639560868085,6468.640520322112
Tourism Recovery (+25%),Post-COVID tourism boom,6081.0,6468.640520322112,387.640520322112,6.3746179957591185,32.303376693509335,6159.0639560868085,6468.640520322112
Oil Price Shock,Import bill rises due to energy prices,6081.0,6468.640520322112,387.640520322112,6.3746179957591185,32.303376693509335,6159.0639560868085,6468.640520322112
IMF Tranche Delay,Expected disbursement delayed 6 months,6081.0,6331.523518376432,250.52351837643164,4.119775010301457,20.876959864702638,6144.6670916021785,6331.523518376432
LKR Depreciation 10%,Exchange rate depreciates 10% over horizon,6081.0,6297.2442678900115,216.24426789001154,3.556064263937042,18.02035565750096,6141.0678754810215,6297.2442678900115
Combined Adverse,Multiple simultaneous shocks (stress test),6081.0,6211.546141673961,130.54614167396085,2.1467873980259964,10.878845139496738,6132.069835178127,6211.546141673961
LKR Depreciation 20%,Severe exchange rate pressure,6081.0,6125.848015457911,44.84801545791106,0.7375105321149656,3.737334621492588,6123.0717948752335,6163.088675589617
