date,trade_balance_usd_m,usd_lkr,scenario
2026-01-01,-730.664234669928,309.72,Baseline
2026-02-01,-730.664234669928,309.72,Baseline
2026-03-01,-730.664234669928,309.72,Baseline
2026-04-01,-730.664234669928,309.72,Baseline
2026-05-01,-730.664234669928,309.72,Baseline
2026-06-01,-730.664234669928,309.72,Baseline
2026-07-01,-730.664234669928,309.72,Baseline
2026-08-01,-730.664234669928,309.72,Baseline
2026-09-01,-730.664234669928,309.72,Baseline
2026-10-01,-730.664234669928,309.72,Baseline
2026-11-01,-730.664234669928,309.72,Baseline
2026-12-01,-730.664234669928,309.72,Baseline
2026-01-01,-730.664234669928,309.72,LKR Depreciation 10%
2026-02-01,-730.664234669928,312.5356363636364,LKR Depreciation 10%
2026-03-01,-730.664234669928,315.3512727272728,LKR Depreciation 10%
2026-04-01,-730.664234669928,318.16690909090914,LKR Depreciation 10%
2026-05-01,-730.664234669928,320.98254545454546,LKR Depreciation 10%
2026-06-01,-730.664234669928,323.79818181818183,LKR Depreciation 10%
2026-07-01,-730.664234669928,326.61381818181826,LKR Depreciation 10%
2026-08-01,-730.664234669928,329.4294545454546,LKR Depreciation 10%
2026-09-01,-730.664234669928,332.24509090909095,LKR Depreciation 10%
2026-10-01,-730.664234669928,335.0607272727273,LKR Depreciation 10%
2026-11-01,-730.664234669928,337.8763636363637,LKR Depreciation 10%
2026-12-01,-730.664234669928,340.69200000000006,LKR Depreciation 10%
2026-01-01,-730.664234669928,309.72,LKR Depreciation 20%
2026-02-01,-730.664234669928,315.3512727272727,LKR Depreciation 20%
2026-03-01,-730.664234669928,320.98254545454546,LKR Depreciation 20%
2026-04-01,-730.664234669928,326.6138181818182,LKR Depreciation 20%
2026-05-01,-730.664234669928,332.24509090909095,LKR Depreciation 20%
2026-06-01,-730.664234669928,337.87636363636364,LKR Depreciation 20%
2026-07-01,-730.664234669928,343.5076363636364,LKR Depreciation 20%
2026-08-01,-730.664234669928,349.1389090909091,LKR Depreciation 20%
2026-09-01,-730.664234669928,354.77018181818187,LKR Depreciation 20%
2026-10-01,-730.664234669928,360.40145454545456,LKR Depreciation 20%
2026-11-01,-730.664234669928,366.03272727272724,LKR Depreciation 20%
2026-12-01,-730.664234669928,371.66400000000004,LKR Depreciation 20%
2026-01-01,-730.664234669928,309.72,Export Shock (-15%)
2026-02-01,-710.737028269839,309.72,Export Shock (-15%)
2026-03-01,-690.8098218697501,309.72,Export Shock (-15%)
2026-04-01,-670.8826154696611,309.72,Export Shock (-15%)
2026-05-01,-650.9554090695722,309.72,Export Shock (-15%)
2026-06-01,-631.0282026694832,309.72,Export Shock (-15%)
2026-07-01,-611.1009962693943,309.72,Export Shock (-15%)
2026-08-01,-591.1737898693053,309.72,Export Shock (-15%)
2026-09-01,-571.2465834692164,309.72,Export Shock (-15%)
2026-10-01,-551.3193770691274,309.72,Export Shock (-15%)
2026-11-01,-531.3921706690385,309.72,Export Shock (-15%)
2026-12-01,-511.46496426894953,309.72,Export Shock (-15%)
2026-01-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-02-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-03-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-04-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-05-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-06-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-07-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-08-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-09-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-10-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-11-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-12-01,-730.664234669928,309.72,Remittance Decline (-20%)
2026-01-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-02-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-03-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-04-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-05-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-06-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-07-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-08-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-09-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-10-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-11-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-12-01,-730.664234669928,309.72,Tourism Recovery (+25%)
2026-01-01,-730.664234669928,309.72,Oil Price Shock
2026-02-01,-714.0582293365205,309.72,Oil Price Shock
2026-03-01,-697.4522240031131,309.72,Oil Price Shock
2026-04-01,-680.8462186697056,309.72,Oil Price Shock
2026-05-01,-664.2402133362981,309.72,Oil Price Shock
2026-06-01,-647.6342080028907,309.72,Oil Price Shock
2026-07-01,-631.0282026694832,309.72,Oil Price Shock
2026-08-01,-614.4221973360758,309.72,Oil Price Shock
2026-09-01,-597.8161920026683,309.72,Oil Price Shock
2026-10-01,-581.2101866692609,309.72,Oil Price Shock
2026-11-01,-564.6041813358535,309.72,Oil Price Shock
2026-12-01,-547.9981760024459,309.72,Oil Price Shock
2026-01-01,-730.664234669928,309.72,IMF Tranche Delay
2026-02-01,-730.664234669928,311.9725090909091,IMF Tranche Delay
2026-03-01,-730.664234669928,314.22501818181826,IMF Tranche Delay
2026-04-01,-730.664234669928,316.4775272727273,IMF Tranche Delay
2026-05-01,-730.664234669928,318.7300363636364,IMF Tranche Delay
2026-06-01,-730.664234669928,320.98254545454546,IMF Tranche Delay
2026-07-01,-730.664234669928,323.2350545454546,IMF Tranche Delay
2026-08-01,-730.664234669928,325.4875636363637,IMF Tranche Delay
2026-09-01,-730.664234669928,327.74007272727283,IMF Tranche Delay
2026-10-01,-730.664234669928,329.99258181818186,IMF Tranche Delay
2026-11-01,-730.664234669928,332.24509090909095,IMF Tranche Delay
2026-12-01,-730.664234669928,334.49760000000003,IMF Tranche Delay
2026-01-01,-730.664234669928,309.72,Combined Adverse
2026-02-01,-730.664234669928,313.9434545454546,Combined Adverse
2026-03-01,-730.664234669928,318.16690909090914,Combined Adverse
2026-04-01,-730.664234669928,322.39036363636365,Combined Adverse
2026-05-01,-730.664234669928,326.6138181818182,Combined Adverse
2026-06-01,-730.664234669928,330.83727272727276,Combined Adverse
2026-07-01,-730.664234669928,335.0607272727273,Combined Adverse
2026-08-01,-730.664234669928,339.2841818181818,Combined Adverse
2026-09-01,-730.664234669928,343.5076363636364,Combined Adverse
2026-10-01,-730.664234669928,347.7310909090909,Combined Adverse
