scenario,description,start_level,end_level,total_change,pct_change,avg_monthly_change,min_level,max_level
Combined Upside,Favorable conditions across the board,6825.0,6837.684869377294,12.68486937729358,0.18585889197499753,1.0570724481077984,6573.560518092945,6837.684869377294
Baseline,Current trajectory continues,6825.0,6755.7005084321945,-69.29949156780549,-1.015377165828652,-5.774957630650458,6573.560518092945,6755.7005084321945
Remittance Decline (-20%),Gulf employment crisis or hawala channel disruption,6825.0,6755.7005084321945,-69.29949156780549,-1.015377165828652,-5.774957630650458,6573.560518092945,6755.7005084321945
Tourism Recovery (+25%),Post-COVID tourism boom,6825.0,6755.7005084321945,-69.29949156780549,-1.015377165828652,-5.774957630650458,6573.560518092945,6755.7005084321945
Oil Price Shock,Import bill rises due to energy prices,6825.0,6724.8561583059745,-100.14384169402547,-1.467309035809897,-8.34532014116879,6573.560518092945,6739.179494703167
Export Shock (-15%),Global demand contraction hits exports,6825.0,6718.68728828073,-106.31271171926983,-1.5576954098061513,-8.859392643272486,6573.560518092945,6738.5316542443115
IMF Tranche Delay,Expected disbursement delayed 6 months,6825.0,6624.525530920036,-200.47446907996436,-2.9373548583144964,-16.706205756663696,6573.560518092945,6728.618600349095
LKR Depreciation 10%,Exchange rate depreciates 10% over horizon,6825.0,6591.7317865419955,-233.26821345800454,-3.417849281435964,-19.439017788167046,6573.560518092945,6725.168576187008
Combined Adverse,Multiple simultaneous shocks (stress test),6825.0,6509.747425596897,-315.2525744031027,-4.6190853392396,-26.271047866925226,6509.747425596897,6716.54351578179
LKR Depreciation 20%,Severe exchange rate pressure,6825.0,6427.763064651797,-397.2369353482027,-5.820321397043263,-33.10307794568356,6427.763064651797,6707.918455376573
